backbone_id	n_training_records	mean_amr_software_count	mean_gene_agreement_jaccard	mean_class_agreement_jaccard	mean_amr_uncertainty_score	amr_agreement_score
AA379	232	1.0	1.0	1.0	0.0	1.0
AA996	45	1.0	1.0	1.0	0.0	1.0
AA955	24	1.0	1.0	1.0	0.0	1.0
AA902	22	1.0	1.0	1.0	0.0	1.0
AC163	17	1.0	1.0	1.0	0.0	1.0
AB434	15	1.0	1.0	1.0	0.0	1.0
AB272	13	1.0	1.0	1.0	0.0	1.0
AB621	12	1.0	1.0	1.0	0.0	1.0
AB233	11	1.0	1.0	1.0	0.0	1.0
AA345	10	1.0	1.0	1.0	0.0	1.0
AB946	9	1.0	1.0	1.0	0.0	1.0
AA614	8	1.0	1.0	1.0	0.0	1.0
AB042	8	1.0	1.0	1.0	0.0	1.0
AA184	7	1.0	1.0	1.0	0.0	1.0
AA783	7	1.0	1.0	1.0	0.0	1.0
AA410	6	1.0	1.0	1.0	0.0	1.0
AB229	6	1.0	1.0	1.0	0.0	1.0
AB620	6	1.0	1.0	1.0	0.0	1.0
AB815	6	1.0	1.0	1.0	0.0	1.0
AA295	5	1.0	1.0	1.0	0.0	1.0
AA337	5	1.0	1.0	1.0	0.0	1.0
AA531	5	1.0	1.0	1.0	0.0	1.0
AA792	5	1.0	1.0	1.0	0.0	1.0
AB742	5	1.0	1.0	1.0	0.0	1.0
AC570	5	1.0	1.0	1.0	0.0	1.0
AC796	5	1.0	1.0	1.0	0.0	1.0
AE249	5	1.0	1.0	1.0	0.0	1.0
AE457	5	1.0	1.0	1.0	0.0	1.0
AF085	5	1.0	1.0	1.0	0.0	1.0
AG104	5	1.0	1.0	1.0	0.0	1.0
AA162	4	1.0	1.0	1.0	0.0	1.0
AA346	4	1.0	1.0	1.0	0.0	1.0
AA513	4	1.0	1.0	1.0	0.0	1.0
AA609	4	1.0	1.0	1.0	0.0	1.0
AB528	4	1.0	1.0	1.0	0.0	1.0
AB538	4	1.0	1.0	1.0	0.0	1.0
AB788	4	1.0	1.0	1.0	0.0	1.0
AB947	4	1.0	1.0	1.0	0.0	1.0
AD488	4	1.0	1.0	1.0	0.0	1.0
AE283	4	1.0	1.0	1.0	0.0	1.0
AG189	4	1.0	1.0	1.0	0.0	1.0
AG728	4	1.0	1.0	1.0	0.0	1.0
AA010	3	1.0	1.0	1.0	0.0	1.0
AA035	3	1.0	1.0	1.0	0.0	1.0
AA147	3	1.0	1.0	1.0	0.0	1.0
AA178	3	1.0	1.0	1.0	0.0	1.0
AA406	3	1.0	1.0	1.0	0.0	1.0
AA710	3	1.0	1.0	1.0	0.0	1.0
AA724	3	1.0	1.0	1.0	0.0	1.0
AA747	3	1.0	1.0	1.0	0.0	1.0
AA832	3	1.0	1.0	1.0	0.0	1.0
AB081	3	1.0	1.0	1.0	0.0	1.0
AB232	3	1.0	1.0	1.0	0.0	1.0
AB592	3	1.0	1.0	1.0	0.0	1.0
AB672	3	1.0	1.0	1.0	0.0	1.0
AB674	3	1.0	1.0	1.0	0.0	1.0
AB679	3	1.0	1.0	1.0	0.0	1.0
AB804	3	1.0	1.0	1.0	0.0	1.0
AB872	3	1.0	1.0	1.0	0.0	1.0
AC122	3	1.0	1.0	1.0	0.0	1.0
AC125	3	1.0	1.0	1.0	0.0	1.0
AC313	3	1.0	1.0	1.0	0.0	1.0
AC689	3	1.0	1.0	1.0	0.0	1.0
AC978	3	1.0	1.0	1.0	0.0	1.0
AD358	3	1.0	1.0	1.0	0.0	1.0
AE088	3	1.0	1.0	1.0	0.0	1.0
AE465	3	1.0	1.0	1.0	0.0	1.0
AE548	3	1.0	1.0	1.0	0.0	1.0
AF686	3	1.0	1.0	1.0	0.0	1.0
AG351	3	1.0	1.0	1.0	0.0	1.0
AG433	3	1.0	1.0	1.0	0.0	1.0
AG445	3	1.0	1.0	1.0	0.0	1.0
AA011	2	1.0	1.0	1.0	0.0	1.0
AA026	2	1.0	1.0	1.0	0.0	1.0
AA045	2	1.0	1.0	1.0	0.0	1.0
AA183	2	1.0	1.0	1.0	0.0	1.0
AA314	2	1.0	1.0	1.0	0.0	1.0
AA330	2	1.0	1.0	1.0	0.0	1.0
AA424	2	1.0	1.0	1.0	0.0	1.0
AA425	2	1.0	1.0	1.0	0.0	1.0
AA472	2	1.0	1.0	1.0	0.0	1.0
AA613	2	1.0	1.0	1.0	0.0	1.0
AA618	2	1.0	1.0	1.0	0.0	1.0
AA833	2	1.0	1.0	1.0	0.0	1.0
AB007	2	1.0	1.0	1.0	0.0	1.0
AB159	2	1.0	1.0	1.0	0.0	1.0
AB169	2	1.0	1.0	1.0	0.0	1.0
AB269	2	1.0	1.0	1.0	0.0	1.0
AB280	2	1.0	1.0	1.0	0.0	1.0
AB438	2	1.0	1.0	1.0	0.0	1.0
AB444	2	1.0	1.0	1.0	0.0	1.0
AB676	2	1.0	1.0	1.0	0.0	1.0
AB681	2	1.0	1.0	1.0	0.0	1.0
AB738	2	1.0	1.0	1.0	0.0	1.0
AB810	2	1.0	1.0	1.0	0.0	1.0
AB957	2	1.0	1.0	1.0	0.0	1.0
AC030	2	1.0	1.0	1.0	0.0	1.0
AC129	2	1.0	1.0	1.0	0.0	1.0
AC216	2	1.0	1.0	1.0	0.0	1.0
AC222	2	1.0	1.0	1.0	0.0	1.0
AC305	2	1.0	1.0	1.0	0.0	1.0
AC411	2	1.0	1.0	1.0	0.0	1.0
AC635	2	1.0	1.0	1.0	0.0	1.0
AC724	2	1.0	1.0	1.0	0.0	1.0
AC726	2	1.0	1.0	1.0	0.0	1.0
AC837	2	1.0	1.0	1.0	0.0	1.0
AC888	2	1.0	1.0	1.0	0.0	1.0
AC898	2	1.0	1.0	1.0	0.0	1.0
AD186	2	1.0	1.0	1.0	0.0	1.0
AD453	2	1.0	1.0	1.0	0.0	1.0
AD702	2	1.0	1.0	1.0	0.0	1.0
AD969	2	1.0	1.0	1.0	0.0	1.0
AD972	2	1.0	1.0	1.0	0.0	1.0
AE093	2	1.0	1.0	1.0	0.0	1.0
AE236	2	1.0	1.0	1.0	0.0	1.0
AE700	2	1.0	1.0	1.0	0.0	1.0
AE773	2	1.0	1.0	1.0	0.0	1.0
AE923	2	1.0	1.0	1.0	0.0	1.0
AF093	2	1.0	1.0	1.0	0.0	1.0
AF449	2	1.0	1.0	1.0	0.0	1.0
AF456	2	1.0	1.0	1.0	0.0	1.0
AF503	2	1.0	1.0	1.0	0.0	1.0
AF563	2	1.0	1.0	1.0	0.0	1.0
AF582	2	1.0	1.0	1.0	0.0	1.0
AF632	2	1.0	1.0	1.0	0.0	1.0
AF772	2	1.0	1.0	1.0	0.0	1.0
AG092	2	1.0	1.0	1.0	0.0	1.0
AG446	2	1.0	1.0	1.0	0.0	1.0
AG533	2	1.0	1.0	1.0	0.0	1.0
AG595	2	1.0	1.0	1.0	0.0	1.0
AG800	2	1.0	1.0	1.0	0.0	1.0
AA001	1	1.0	1.0	1.0	0.0	1.0
AA031	1	1.0	1.0	1.0	0.0	1.0
AA043	1	1.0	1.0	1.0	0.0	1.0
AA096	1	1.0	1.0	1.0	0.0	1.0
AA097	1	1.0	1.0	1.0	0.0	1.0
AA143	1	1.0	1.0	1.0	0.0	1.0
AA215	1	1.0	1.0	1.0	0.0	1.0
AA283	1	1.0	1.0	1.0	0.0	1.0
AA297	1	1.0	1.0	1.0	0.0	1.0
AA302	1	1.0	1.0	1.0	0.0	1.0
AA306	1	1.0	1.0	1.0	0.0	1.0
AA316	1	1.0	1.0	1.0	0.0	1.0
AA326	1	1.0	1.0	1.0	0.0	1.0
AA329	1	1.0	1.0	1.0	0.0	1.0
AA331	1	1.0	1.0	1.0	0.0	1.0
AA343	1	1.0	1.0	1.0	0.0	1.0
AA349	1	1.0	1.0	1.0	0.0	1.0
AA351	1	1.0	1.0	1.0	0.0	1.0
AA352	1	1.0	1.0	1.0	0.0	1.0
AA358	1	1.0	1.0	1.0	0.0	1.0
AA363	1	1.0	1.0	1.0	0.0	1.0
AA398	1	1.0	1.0	1.0	0.0	1.0
AA407	1	1.0	1.0	1.0	0.0	1.0
AA423	1	1.0	1.0	1.0	0.0	1.0
AA440	1	1.0	1.0	1.0	0.0	1.0
AA451	1	1.0	1.0	1.0	0.0	1.0
AA560	1	1.0	1.0	1.0	0.0	1.0
AA563	1	1.0	1.0	1.0	0.0	1.0
AA593	1	1.0	1.0	1.0	0.0	1.0
AA615	1	1.0	1.0	1.0	0.0	1.0
AA675	1	1.0	1.0	1.0	0.0	1.0
AA736	1	1.0	1.0	1.0	0.0	1.0
AA791	1	1.0	1.0	1.0	0.0	1.0
AA798	1	1.0	1.0	1.0	0.0	1.0
AA818	1	1.0	1.0	1.0	0.0	1.0
AA828	1	1.0	1.0	1.0	0.0	1.0
AA830	1	1.0	1.0	1.0	0.0	1.0
AA831	1	1.0	1.0	1.0	0.0	1.0
AA859	1	1.0	1.0	1.0	0.0	1.0
AA964	1	1.0	1.0	1.0	0.0	1.0
AB008	1	1.0	1.0	1.0	0.0	1.0
AB131	1	1.0	1.0	1.0	0.0	1.0
AB132	1	1.0	1.0	1.0	0.0	1.0
AB133	1	1.0	1.0	1.0	0.0	1.0
AB183	1	1.0	1.0	1.0	0.0	1.0
AB230	1	1.0	1.0	1.0	0.0	1.0
AB267	1	1.0	1.0	1.0	0.0	1.0
AB275	1	1.0	1.0	1.0	0.0	1.0
AB277	1	1.0	1.0	1.0	0.0	1.0
AB282	1	1.0	1.0	1.0	0.0	1.0
AB283	1	1.0	1.0	1.0	0.0	1.0
AB601	1	1.0	1.0	1.0	0.0	1.0
AB625	1	1.0	1.0	1.0	0.0	1.0
AB682	1	1.0	1.0	1.0	0.0	1.0
AB728	1	1.0	1.0	1.0	0.0	1.0
AB729	1	1.0	1.0	1.0	0.0	1.0
AB741	1	1.0	1.0	1.0	0.0	1.0
AB743	1	1.0	1.0	1.0	0.0	1.0
AB785	1	1.0	1.0	1.0	0.0	1.0
AB820	1	1.0	1.0	1.0	0.0	1.0
AB885	1	1.0	1.0	1.0	0.0	1.0
AB888	1	1.0	1.0	1.0	0.0	1.0
AB890	1	1.0	1.0	1.0	0.0	1.0
AB944	1	1.0	1.0	1.0	0.0	1.0
