backbone_id	member_count_train	n_countries_train	spread_label	backbone_purity_score	genus_purity_train	family_purity_train	mobility_purity_train	replicon_purity_train	mean_n_replicon_types_train	multi_replicon_fraction_train	primary_replicon_diversity_train	replicon_architecture_norm	assignment_primary_fraction	assignment_confidence_score	mash_neighbor_distance_train_mean
AB371	2	0		0.875	1.0	1.0	1.0	0.5	1.0	0.0	0.5	0.4863702623906706	0.0	0.5	0.0
AA155	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
UNSEEN::AA537	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AC510	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
UNSEEN::AA344	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AA315	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AB270	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AB050	3	0		0.9166666666666666	0.6666666666666666	1.0	1.0	1.0	1.3333333333333333	0.3333333333333333	0.0	0.5109086491739553	0.0	0.5	0.0
AA175	2	1	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	0.0	0.7965014577259475	0.0	0.5	0.0
AA378	5	2	1.0	0.7666666666666666	0.6	0.8	1.0	0.6666666666666666	0.6	0.0	0.3333333333333333	0.0861273080660835	0.0	0.5	0.1052182
AA295	5	3	1.0	0.9	1.0	1.0	0.6	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
AA329	1	0		1.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	0.7842565597667639	0.0	0.5	0.0
UNSEEN::AA156	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AB002	1	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
UNSEEN::AB059	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AA747	3	0		0.9166666666666666	1.0	1.0	1.0	0.6666666666666666	1.0	0.0	0.3333333333333333	0.4530369290573372	0.0	0.5	0.0
AA739	12	2	1.0	0.8541666666666666	0.5	0.9166666666666666	1.0	1.0	1.9166666666666667	0.9166666666666666	0.0	0.7246963070942662	0.0	0.5	0.0
UNSEEN::AG165	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AB042	8	4		0.875	0.5	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
AB233	11	4		0.931818181818182	0.7272727272727273	1.0	1.0	1.0	1.3636363636363635	0.3636363636363636	0.0	0.5217333686721441	0.0	0.5	0.0
AA627	11	3	1.0	0.8409090909090909	0.7272727272727273	1.0	0.7272727272727273	0.9090909090909092	1.0909090909090908	0.0909090909090909	0.0909090909090909	0.4376822157434402	0.0	0.5	0.0
AA302	1	1	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	0.0	0.7995626822157433	0.0	0.5	0.0
AG690	2	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.02717945
AB446	4	0		0.9375	0.75	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
AA336	12	2	1.0	0.9583333333333334	0.8333333333333334	1.0	1.0	1.0	1.3333333333333333	0.3333333333333333	0.0	0.5109086491739553	0.0	0.5	0.0
AD485	2	1	1.0	0.875	0.5	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
AA338	8	2	1.0	0.9375	0.75	1.0	1.0	1.0	1.125	0.125	0.0	0.4325255102040816	0.0	0.5	0.0
AA379	232	12		0.3244252873563218	0.1166666666666666	0.1428571428571428	0.9310344827586208	0.1071428571428571	0.1206896551724138	0.0	0.8928571428571429	0.1790087463556851	0.0	0.5	1.0
AA521	2	0		0.875	0.5	1.0	1.0	1.0	1.5	0.5	0.0	0.5766763848396501	0.0	0.5	0.0
AA144	5	1	1.0	1.0	1.0	1.0	1.0	1.0	0.8	0.0	0.0	0.0240524781341107	0.0	0.5	0.0
UNSEEN::AA583	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AG363	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AA860	45	8		0.75625	0.275	0.75	1.0	1.0	1.2	0.2	0.0	0.4605247813411078	0.0	0.5	0.0012527408666666
AA343	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
AB193	3	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
UNSEEN::AA300	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AA474	51	6		0.8846153846153846	0.6538461538461539	1.0	1.0	0.8846153846153846	1.0961538461538465	0.0576923076923076	0.1153846153846154	0.4311701054047993	0.0	0.5	0.0
UNSEEN::AC009	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AB390	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AE039	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
UNSEEN::AE024	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AC841	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AC842	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AF957	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AE788	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AA038	13	3	1.0	0.9464285714285714	0.8571428571428571	1.0	1.0	0.9285714285714286	1.0714285714285714	0.0714285714285714	0.0714285714285714	0.4267492711370262	0.0	0.5	1.8863142857142855e-05
AA752	3	1	1.0	0.8333333333333333	0.3333333333333333	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
UNSEEN::AC083	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AC100	4	0		0.875	1.0	1.0	1.0	0.5	1.0	0.0	0.5	0.4863702623906706	0.0	0.5	0.0
AA947	1	0		0.75	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AC431	4	1	1.0	0.625	0.25	0.75	0.5	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
UNSEEN::AF709	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AB082	9	4		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	1.3277333333333332e-05
UNSEEN::AB113	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AG484	2	0		0.875	1.0	1.0	1.0	0.5	1.0	0.0	0.5	0.4863702623906706	0.0	0.5	0.0
AA840	19	2	1.0	0.986842105263158	1.0	1.0	0.9473684210526316	1.0	2.8947368421052633	0.9473684210526316	0.0	0.7710833205462636	0.0	0.5	0.015577947368421
AB721	8	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
AB232	3	0		1.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	0.7842565597667639	0.0	0.5	0.0
AD318	1	0		1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.3863702623906705	0.0	0.5	0.0
AC493	1	0		0.75	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AA506	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AA482	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AF916	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
UNSEEN::AC908	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
AF809	1	1	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	0.7842565597667639	0.0	0.5	0.023602
