backbone_id	base_priority_index	base_rank	top_k	n_bootstrap	bootstrap_top_k_frequency	bootstrap_top_10_frequency	bootstrap_top_25_frequency	bootstrap_mean_rank	bootstrap_median_rank	bootstrap_rank_std
AA175	0.9470329247576177	1	25	100	1.0	1.0	1.0	1.45	1.0	0.7262919523166975
AA324	0.9445852106501772	2	25	100	1.0	1.0	1.0	2.52	2.0	0.9846826900072938
AA319	0.9421752786933351	3	25	100	1.0	1.0	1.0	3.88	4.0	1.1070682002478438
AC301	0.9397523913780482	4	25	100	1.0	1.0	1.0	3.13	3.0	1.7700564962734948
AA323	0.9396822321311906	5	25	100	1.0	1.0	1.0	4.95	5.0	0.9420721840708386
AD100	0.9318466595659971	6	25	100	1.0	0.99	1.0	5.57	6.0	1.5764199947983404
AC305	0.9235644837768793	7	25	100	1.0	0.78	1.0	8.92	7.0	3.471829488900629
AB559	0.9138271449960299	8	25	100	1.0	0.69	1.0	9.67	9.0	1.8550202155232702
AB169	0.9138271449960299	9	25	100	1.0	0.75	1.0	9.63	9.0	1.8201922975334228
AA409	0.9101042789995414	10	25	100	1.0	0.25	1.0	12.15	12.0	2.329699551444349
AA086	0.90889470511324	11	25	100	0.96	0.4	0.96	13.16	13.0	5.285300369893843
AA282	0.9058734182955295	12	25	100	0.93	0.23	0.93	14.94	14.0	5.704068723288666
AA411	0.9043575939855135	13	25	100	1.0	0.24	1.0	12.75	12.0	3.427462618322773
AA279	0.9035221465350444	14	25	100	0.9	0.17	0.9	16.51	15.0	5.888115148330575
AA045	0.8932362212548826	15	25	100	0.87	0.0	0.87	19.23	19.0	5.05935766673992
AA859	0.8900464734214044	16	25	100	0.82	0.04	0.82	19.38	19.0	5.631660501131083
AA850	0.8878026169116578	17	25	100	0.92	0.2	0.92	16.2	14.5	7.508661665037251
AA553	0.8870909471778962	18	25	100	0.88	0.13	0.88	17.43	15.5	7.5408951723253645
AA304	0.8821730366034075	19	25	100	0.61	0.02	0.61	24.24	23.0	8.269365150965339
AB193	0.8807289264013987	20	25	100	0.81	0.02	0.81	20.45	19.0	7.832464490822796
AA184	0.8790254702097855	21	25	100	0.53	0.01	0.53	25.76	23.5	8.042536913188524
AA295	0.878462150996036	22	25	100	0.52	0.0	0.52	26.87	25.0	8.036983264882414
AA767	0.8753194549093629	23	25	100	0.61	0.01	0.61	22.18	21.0	6.411520880415193
AA840	0.8752491068764463	24	25	100	0.71	0.06	0.71	21.62	21.0	9.343211439328556
AB561	0.873639280102571	25	25	100	0.55	0.0	0.55	24.75	24.0	4.61383788185064
AA764	0.8721757227087543	26	25	100	0.55	0.01	0.55	23.81	22.0	6.297134268855953
AA346	0.871416187372027	27	25	100	0.48	0.0	0.48	26.59	26.5	5.366740165128176
AA367	0.8694238626065446	28	25	100	0.42	0.0	0.42	26.68	26.0	3.37010385596646
AA316	0.8673200832210243	29	25	100	0.32	0.0	0.32	27.72	27.0	6.074668715246948
AB710	0.861205125550861	30	25	100	0.44	0.0	0.44	27.27	28.5	6.107135171256651
AB008	0.8571828364137167	31	25	100	0.37	0.0	0.37	29.29	30.0	6.343965636729127
AA739	0.857069851003495	32	25	100	0.14	0.0	0.14	31.7	32.0	6.326926584053272
AE264	0.8527659265602615	33	25	100	0.24	0.0	0.24	31.45	32.0	6.339361166552983
AA144	0.8440790665832396	34	25	100	0.07	0.0	0.07	34.88	35.0	7.268122178389683
AA627	0.828788291122161	35	25	100	0.01	0.0	0.01	39.05	38.0	6.161777340995047
AB557	0.8261446213801331	36	25	100	0.01	0.0	0.01	40.61	41.0	7.395802863787001
AC509	0.8261446213801331	37	25	100	0.02	0.0	0.02	40.56	41.0	7.580659601908002
AC030	0.8261446213801331	38	25	100	0.01	0.0	0.01	40.63	40.0	7.553350250054608
AC120	0.8183025148302957	39	25	100	0.0	0.0	0.0	41.46	40.0	8.732032982072388
AE249	0.8163529067307329	40	25	100	0.01	0.0	0.01	43.67	43.0	7.148503339860729
AA143	0.8140001790159276	41	25	100	0.0	0.0	0.0	43.43	43.0	6.961688013693231
AA557	0.8135379559925735	42	25	100	0.12	0.0	0.12	42.03	40.0	17.383011821890932
AA842	0.812851353894658	43	25	100	0.05	0.0	0.05	40.17	37.0	13.443998661112698
AA338	0.8081108033007618	44	25	100	0.0	0.0	0.0	46.44	46.0	7.804255249541753
AA473	0.8051343711303429	45	25	100	0.0	0.0	0.0	48.11	47.0	7.919463365658054
AB192	0.8047365965415094	46	25	100	0.1	0.0	0.1	45.71	42.0	17.861856006585654
AA551	0.8015637330040187	47	25	100	0.0	0.0	0.0	49.82	49.0	8.062729066513397
AB628	0.8006513272644659	48	25	100	0.0	0.0	0.0	45.45	42.0	11.29457834538324
AA336	0.7910312141351415	49	25	100	0.0	0.0	0.0	52.86	52.5	9.232572772526627
AB159	0.7857173512633641	50	25	100	0.0	0.0	0.0	55.25	55.0	10.01636161487793
