backbone_id	priority_group	priority_index	selection_score	selection_score_column	dominant_species	dominant_genus	primary_replicon	amr_gene_count	card_matched_gene_count	card_exact_match_gene_count	card_normalized_match_gene_count	card_match_fraction	card_gene_family_count	card_mechanism_count	card_drug_class_count	card_top_gene_families	card_top_mechanisms	card_top_drug_classes	card_any_support
AA525	high	0.7189553514089343	0.9878889772505652	primary_model_oof_prediction	Escherichia_coli	Escherichia	ColRNAI_rep_cluster_1987	3	3	1	2	1.0	2	4	1	aminoglycoside antibiotic,aminoglycoside antibiotic;fluoroquinolone antibiotic	AAC(6')-Ib8,AAC(6')-Ib,AAC(6')-Ib',AAC(6')-Ib-cr4	antibiotic inactivation	True
AD488	high	0.6961301196567516	0.9874156907592616	primary_model_oof_prediction	Escherichia_coli	Klebsiella	Col3M	4	4	1	3	1.0	2	3	2	aminoglycoside antibiotic,fluoroquinolone antibiotic	APH(3')-VIb,QnrD1,QnrD2	antibiotic inactivation,antibiotic target protection	True
AD644	high	0.6311813016646094	0.9841542492394162	primary_model_oof_prediction	Bradyrhizobium_japonicum	Bradyrhizobium	rep_cluster_506	2	2	2	0	1.0	2	2	1	aminoglycoside antibiotic,fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic	acrD,smeE	antibiotic efflux	True
AE538	high	0.5968802711958187	0.9839718616813078	primary_model_oof_prediction	Rhizobium_leguminosarum	Rhizobium	rep_cluster_287	1	1	1	0	1.0	1	1	1	phosphonic acid antibiotic	FosXCC	antibiotic inactivation	True
AC690	high	0.5054582480212425	0.9826644145678428	primary_model_oof_prediction	Rhizobium_leguminosarum	Rhizobium	rep_cluster_841	4	4	4	0	1.0	3	4	2	glycopeptide antibiotic,cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penicillin beta-lactam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic,fluoroquinolone antibiotic;tetracycline antibiotic	Paer_soxR,adeF,vanS_in_vanP_cl,vanY_in_vanB_cl	antibiotic target alteration,antibiotic efflux	True
AA783	high	0.4722273926759558	0.9811368094128344	primary_model_oof_prediction	Bacillus_thuringiensis	Bacillus	rep_cluster_125	4	4	4	0	1.0	3	4	3	glycopeptide antibiotic,carbapenem;cephalosporin,tetracycline antibiotic	FIM-1,tet(45),vanT_in_vanG_cl,vanY_in_vanA_cl	antibiotic target alteration,antibiotic inactivation,antibiotic efflux	True
AA614	high	0.7130695958331774	0.9791343125104218	primary_model_oof_prediction	Sinorhizobium_meliloti	Sinorhizobium	rep_cluster_492	4	4	4	0	1.0	3	4	3	aminoglycoside antibiotic,fluoroquinolone antibiotic;tetracycline antibiotic,oxazolidinone antibiotic;phenicol antibiotic;tetracycline antibiotic	AAC(3)-IIc,aadA14,adeF,poxtA	antibiotic inactivation,antibiotic efflux,antibiotic target protection	True
AB979	high	0.5322587257669004	0.977548280269749	primary_model_oof_prediction	Bacillus_thuringiensis	Bacillus	rep_cluster_169	2	2	2	0	1.0	2	2	2	macrolide antibiotic,macrolide antibiotic;streptogramin antibiotic	mef(F),msr(G)	antibiotic efflux,antibiotic target protection	True
AB040	high	0.5785322820197561	0.9748421613151924	primary_model_oof_prediction	Enterobacter_hormaechei	Enterobacter	rep_cluster_2335	1	1	0	1	1.0	1	1	1	fluoroquinolone antibiotic	QnrB19	antibiotic target protection	True
AD350	high	0.5649487198609352	0.9734720883794916	primary_model_oof_prediction	Novosphingobium_sp._MBES04	Sphingobium	rep_cluster_647	2	2	2	0	1.0	2	2	2	fluoroquinolone antibiotic;tetracycline antibiotic,glycopeptide antibiotic	adeF,vanH_in_vanO_cl	antibiotic efflux,antibiotic target alteration	True
AA650	high	0.5903613264410442	0.9691959905584916	primary_model_oof_prediction	Prescottella_equi	Prescottella	rep_cluster_1307	1	1	1	0	1.0	1	1	1	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic	erm(46)	antibiotic target alteration	True
AB561	high	0.6391931771956321	0.964939916743913	primary_model_oof_prediction	Staphylococcus_epidermidis	Staphylococcus	rep_cluster_1256	3	3	2	1	1.0	1	2	1	lincosamide antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic	vgaA,vgaALC	antibiotic target protection	True
AC095	high	0.6425694873432497	0.9628838920202348	primary_model_oof_prediction	Rhizobium_leguminosarum	Rhizobium	rep_cluster_287	2	2	2	0	1.0	2	2	1	aminoglycoside antibiotic,glycopeptide antibiotic	rmtH,vanY_in_vanG_cl	antibiotic target alteration	True
AC654	high	0.6312084283128719	0.9569581429717996	primary_model_oof_prediction	Ligilactobacillus_salivarius	Ligilactobacillus	rep_cluster_707	1	1	1	0	1.0	1	1	1	aminoglycoside antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;penicillin beta-lactam;tetracycline antibiotic	mdeA	antibiotic efflux	True
AC222	high	0.3615241677073184	0.9561577473472028	primary_model_oof_prediction	Streptomyces_goshikiensis	Streptomyces	rep_cluster_43	1	1	1	0	1.0	1	1	1	aminocoumarin antibiotic;aminoglycoside antibiotic	cpxA	antibiotic efflux	True
AC216	high	0.6570142714990114	0.9525447459507336	primary_model_oof_prediction	Aeromonas_veronii	Aeromonas	rep_cluster_1068	2	2	0	2	1.0	1	2	1	fluoroquinolone antibiotic	QnrS2,QnrS6	antibiotic target protection	True
AB702	high	0.8547429784052923	0.9492809830983344	primary_model_oof_prediction	Acinetobacter_baumannii	Acinetobacter		2	2	1	1	1.0	1	1	1	aminoglycoside antibiotic	ANT(2'')-Ia	antibiotic inactivation	True
AC686	high	0.5778941646669776	0.9489479833856354	primary_model_oof_prediction	Vibrio_parahaemolyticus	Vibrio	rep_cluster_1486	1	1	1	0	1.0	1	1	1	phenicol antibiotic	catA1	antibiotic inactivation	True
AC888	high	0.8420053893505323	0.945982405180463	primary_model_oof_prediction	Neisseria_gonorrhoeae	Neisseria	rep_cluster_1410	1	1	1	0	1.0	1	1	1	tetracycline antibiotic	tet(M)	antibiotic target protection	True
AD838	high	0.6104905728616336	0.9452514452816032	primary_model_oof_prediction	Agrobacterium_vitis	Agrobacterium	rep_cluster_592	1	1	1	0	1.0	1	1	1	streptogramin A antibiotic;streptogramin antibiotic	vatH	antibiotic inactivation	True
AC694	high	0.2606772337328794	0.9396253466623182	primary_model_oof_prediction	Rhizobium_phaseoli	Rhizobium	rep_cluster_841	2	2	2	0	1.0	1	2	1	fluoroquinolone antibiotic;tetracycline antibiotic	adeF,adeH	antibiotic efflux	True
AC468	high	0.6536500612181936	0.9372073341489108	primary_model_oof_prediction	Limosilactobacillus_fermentum	Limosilactobacillus	rep_cluster_707	1	1	1	0	1.0	1	1	1	aminoglycoside antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;penicillin beta-lactam;tetracycline antibiotic	mdeA	antibiotic efflux	True
AA531	high	0.956202499190903	0.932693104529571	primary_model_oof_prediction	Klebsiella_pneumoniae	Klebsiella	ColRNAI_rep_cluster_1987	2	2	2	0	1.0	1	2	1	disinfecting agents and antiseptics	qacG,qacJ	antibiotic efflux	True
AB593	high	0.5337288960408623	0.9319653714589308	primary_model_oof_prediction	Sphingobium_yanoikuyae	Sphingobium		1	1	1	0	1.0	1	1	1	glycopeptide antibiotic	vanR_in_vanB_cl	antibiotic target alteration	True
AA011	high	0.7522743539521356	0.9262095861193104	primary_model_oof_prediction	Staphylococcus_aureus	Staphylococcus	rep_cluster_1118	1	1	1	0	1.0	1	1	1	aminoglycoside antibiotic	spd	antibiotic inactivation	True
AD859	high	0.3572036697638309	0.9191903039672982	primary_model_oof_prediction	Priestia_megaterium	Priestia	rep_cluster_385	7	7	7	0	1.0	4	7	4	glycopeptide antibiotic,phosphonic acid antibiotic,antibacterial free fatty acids,tetracycline antibiotic	FosBx1,farB,tetB(P),vanG,vanT_in_vanG_cl	antibiotic target alteration,antibiotic inactivation,antibiotic efflux,antibiotic target protection	True
AE548	high	0.4494973959737036	0.9171326740521872	primary_model_oof_prediction	Burkholderia_sp._RPE67	Burkholderia	rep_cluster_1100	1	1	1	0	1.0	1	1	1	fluoroquinolone antibiotic;tetracycline antibiotic	adeF	antibiotic efflux	True
AC689	high	0.6538951856105969	0.91591204494809	primary_model_oof_prediction	Rhizobium_beringeri	Rhizobium	rep_cluster_841	2	2	2	0	1.0	2	2	2	carbapenem;penicillin beta-lactam,fluoroquinolone antibiotic;tetracycline antibiotic	OXA-801,adeF	antibiotic inactivation,antibiotic efflux	True
AF428	high	0.3919864500790319	0.9143817527876172	primary_model_oof_prediction	Burkholderia_cepacia	Burkholderia	rep_cluster_1398	5	5	5	0	1.0	4	5	2	aminoglycoside antibiotic;fluoroquinolone antibiotic,cephalosporin,fluoroquinolone antibiotic;tetracycline antibiotic,disinfecting agents and antiseptics	CTX-M-122,adeF,ceoA,ceoB,qacJ	antibiotic efflux,antibiotic inactivation	True
AG189	high	0.4195643585171779	0.9114855500502186	primary_model_oof_prediction	Haloarcula_marismortui	Haloarcula	rep_cluster_15	2	2	2	0	1.0	2	2	2	fluoroquinolone antibiotic,mupirocin-like antibiotic	QnrC,Saur_mupB_MUP	antibiotic target protection,antibiotic target alteration	True
AC570	high	0.803085390774962	0.9071113339996896	primary_model_oof_prediction	Lacticaseibacillus_paracasei	Lacticaseibacillus	rep_cluster_850	1	1	1	0	1.0	1	1	1	aminoglycoside antibiotic	APH(2'')-Ie	antibiotic inactivation	True
AC260	high	0.7149824676897278	0.9023267891310568	primary_model_oof_prediction	Glutamicibacter_nicotianae	Glutamicibacter	rep_cluster_1547	14	14	12	2	1.0	8	12	4	macrolide antibiotic,aminoglycoside antibiotic,lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,disinfecting agents and antiseptics,phenicol antibiotic	ErmX,mphA,Mrx,aadA2,aadA3	antibiotic inactivation,antibiotic efflux,antibiotic target alteration,antibiotic target replacement	True
AC344	high	0.5545930015878935	0.8980094093983633	primary_model_oof_prediction	Agrobacterium_pusense	Agrobacterium		5	5	4	1	1.0	3	5	3	aminoglycoside antibiotic,tetracycline antibiotic,fluoroquinolone antibiotic;tetracycline antibiotic	APH(3'')-Ib,APH(3')-Ib,APH(6)-Id,otr(A)S.rim,adeF	antibiotic inactivation,antibiotic target protection,antibiotic efflux	True
AA698	high	0.3393575903209306	0.897794137621115	primary_model_oof_prediction	Lactiplantibacillus_plantarum	Lactiplantibacillus	rep_cluster_2119	1	1	1	0	1.0	1	1	1	tetracycline antibiotic	tet(M)	antibiotic target protection	True
AC948	high	0.7657845742560326	0.8944862438443234	primary_model_oof_prediction	Bacteroides_fragilis	Bacteroides	rep_cluster_1079	4	4	3	1	1.0	3	3	3	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,nitroimidazole antibiotic,sulfonamide antibiotic;sulfone antibiotic	ErmF,nimE,sul2	antibiotic target alteration,antibiotic inactivation,antibiotic target replacement	True
AE644	high	0.7122851978249886	0.8890768045541652	primary_model_oof_prediction	Ensifer_adhaerens	Ensifer	rep_cluster_473	5	5	5	0	1.0	4	5	4	aminoglycoside antibiotic,tetracycline antibiotic,fluoroquinolone antibiotic;tetracycline antibiotic,aminocoumarin antibiotic	AAC(3)-IIc,otr(A)S.rim,adeF,mdtB,rmtA	antibiotic efflux,antibiotic inactivation,antibiotic target protection,antibiotic target alteration	True
AC677	high	0.8880110140775722	0.8878070050409566	primary_model_oof_prediction	Paenibacillus_larvae	Paenibacillus	rep_cluster_1827	4	4	4	0	1.0	2	4	1	disinfecting agents and antiseptics,tetracycline antibiotic	qacG,qacH,tet(45),tet(L)	antibiotic efflux	True
AA609	high	0.7599494989558204	0.8848910517561306	primary_model_oof_prediction	Sinorhizobium_meliloti	Sinorhizobium	rep_cluster_77	3	3	3	0	1.0	3	3	3	aminoglycoside antibiotic,fluoroquinolone antibiotic;tetracycline antibiotic,oxazolidinone antibiotic;phenicol antibiotic;tetracycline antibiotic	AAC(3)-IIc,adeF,poxtA	antibiotic inactivation,antibiotic efflux,antibiotic target protection	True
AG445	high	0.8191112347353727	0.878447775292365	primary_model_oof_prediction	Ralstonia_solanacearum	Ralstonia	rep_cluster_46	3	3	3	0	1.0	3	3	1	cephalosporin;moenomycin antibiotic;penicillin beta-lactam;peptide antibiotic,fluoroquinolone antibiotic;tetracycline antibiotic,disinfecting agents and antiseptics	abcA,adeF,qacG	antibiotic efflux	True
AB148	high	0.2654665432457452	0.8643042437486956	primary_model_oof_prediction	Vibrio_anguillarum	Vibrio	rep_cluster_1317	1	1	1	0	1.0	1	1	1	phosphonic acid antibiotic	Abau_AbaF	antibiotic efflux	True
AB338	high	0.3754392863177163	0.8595428547231341	primary_model_oof_prediction	Acinetobacter_baumannii	Acinetobacter	rep_cluster_1226	6	6	4	2	1.0	4	6	3	aminoglycoside antibiotic,cephalosporin,sulfonamide antibiotic;sulfone antibiotic,tetracycline antibiotic	APH(3'')-Ib,APH(3')-Ib,ADC-8,APH(6)-Id,sul2	antibiotic inactivation,antibiotic target replacement,antibiotic efflux	True
AD100	high	0.7257042314365775	0.9056886261059288	primary_model_oof_prediction	Enterococcus_faecium	Enterococcus	rep_cluster_889	10	9	5	4	0.9	4	6	2	aminoglycoside antibiotic,lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,nucleoside antibiotic,phenicol antibiotic	APH(3')-IIIa,ErmB,SAT-4,Efac_ACT_CHL,aad(6)	antibiotic inactivation,antibiotic target alteration	True
AC345	high	0.641606066622498	0.9126357484574592	primary_model_oof_prediction	Ligilactobacillus_salivarius	Ligilactobacillus	rep_cluster_530	9	8	6	2	0.8888888888888888	4	6	4	tetracycline antibiotic,lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,lincosamide antibiotic,phenicol antibiotic	ErmC,lnuA,catA8,tet(45),tet(L)	antibiotic inactivation,antibiotic target alteration,antibiotic efflux,antibiotic target protection	True
AD910	high	0.6773786078715821	0.993318376564874	primary_model_oof_prediction	Enterococcus_faecium	Enterococcus	rep_cluster_889	17	15	9	6	0.8823529411764706	6	13	4	aminoglycoside antibiotic,lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,tetracycline antibiotic,phenicol antibiotic,lincosamide antibiotic;macrolide antibiotic;orthosomycin antibiotic	ErmB,ErmT,AAC6_Ie_APH2_Ia,Ssui_ACT_CHL,AAC(6')-Im	antibiotic inactivation,antibiotic target alteration,antibiotic efflux,antibiotic target protection	True
AC408	high	0.9048225766016648	0.9265651451260708	primary_model_oof_prediction	Actinobacillus_pleuropneumoniae	Actinobacillus	IncP	8	7	5	2	0.875	3	8	3	aminoglycoside antibiotic,phenicol antibiotic,sulfonamide antibiotic;sulfone antibiotic	APH(3'')-Ib,APH(3')-Ib,APH(6)-Id,APH(3'')-Ia,APH(3')-Ia	antibiotic inactivation,antibiotic efflux,antibiotic target replacement	True
AF479	high	0.3988186140106387	0.9648055608231914	primary_model_oof_prediction	Ligilactobacillus_salivarius	Ligilactobacillus	rep_cluster_1685	7	6	3	3	0.8571428571428571	4	6	2	aminoglycoside antibiotic,lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,lincosamide antibiotic,lincosamide antibiotic;macrolide antibiotic	AAC6_Ie_APH2_Ia,ErmA,ANT(6)-Ia,ANT(9)-Ia,lnuC	antibiotic inactivation,antibiotic target alteration	True
AB672	high	0.5311136771261914	0.957874181300873	primary_model_oof_prediction	Bacillus_cereus	Bacillus	rep_cluster_125	7	6	6	0	0.8571428571428571	3	6	3	glycopeptide antibiotic,cephalosporin,tetracycline antibiotic	BcIII,tet(45),vanR_in_vanA_cl,vanY_in_vanA_cl,vanY_in_vanF_cl	antibiotic target alteration,antibiotic inactivation,antibiotic efflux	True
AC442	high	0.731065439094526	0.9648655165667388	primary_model_oof_prediction	Sphingobium_yanoikuyae	Sphingobium	rep_cluster_1617	6	5	3	2	0.8333333333333334	2	5	2	aminoglycoside antibiotic,sulfonamide antibiotic;sulfone antibiotic	AAC(6')-Ib9,AAC(6')-Ib4,aadA,ANT(2'')-Ia,sul1	antibiotic inactivation,antibiotic target replacement	True
AF225	high	0.415487525071412	0.8851151116478226	primary_model_oof_prediction	Azospirillum_brasilense	Azospirillum	rep_cluster_1067	6	5	5	0	0.8333333333333334	5	5	3	aminoglycoside antibiotic,cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penicillin beta-lactam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic,cephalosporin,fluoroquinolone antibiotic;tetracycline antibiotic,glycopeptide antibiotic	AAC(3)-IIb,Paer_soxR,RAHN-2,adeF,vanT_in_vanG_cl	antibiotic inactivation,antibiotic efflux,antibiotic target alteration	True
AB756	high	0.8495288808271922	0.9891355437246336	primary_model_oof_prediction	Enterococcus_faecium	Enterococcus	rep_cluster_185	63	51	39	12	0.8095238095238095	16	41	5	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,glycopeptide antibiotic,aminoglycoside antibiotic,phenicol antibiotic,tetracycline antibiotic	ANT(6)-Ia,ErmB,ErmC,ErmT,SAT-4	antibiotic inactivation,antibiotic target alteration,antibiotic target protection,antibiotic efflux,antibiotic target replacement	True
AC082	high	0.6202905376909498	0.8851387879448829	primary_model_oof_prediction	Escherichia_coli	Escherichia	IncQ1	42	34	26	8	0.8095238095238095	9	33	5	aminoglycoside antibiotic,macrolide antibiotic,diaminopyrimidine antibiotic,phenicol antibiotic,tetracycline antibiotic	APH(3'')-Ib,APH(3')-Ib,mphA,mphB,AAC(6')-Ib9	antibiotic inactivation,antibiotic target replacement,antibiotic efflux,antibiotic target protection,antibiotic target alteration	True
AC333	high	0.8532284991006046	0.9568677560037466	primary_model_oof_prediction	Staphylococcus_aureus	Staphylococcus	rep_cluster_1118	5	4	3	1	0.8	2	3	2	lincosamide antibiotic;macrolide antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,tetracycline antibiotic	ErmC,tet(45),tet(K)	antibiotic target alteration,antibiotic efflux	True
AB724	high	0.5037187670010065	0.8746346355518775	primary_model_oof_prediction	Staphylococcus_epidermidis	Staphylococcus	rep_cluster_1017	5	4	3	1	0.8	2	4	2	phosphonic acid antibiotic,disinfecting agents and antiseptics	FosB4,FosB,qacG,qacJ	antibiotic inactivation,antibiotic efflux	True
