card_resistance_mechanism	high	low	prevalence_delta_high_minus_low
sul1	0.3360323886639676	0.0040485829959514	0.3319838056680162
APH(3')-Ib	0.3319838056680162	0.0080971659919028	0.3238866396761133
APH(6)-Id	0.3319838056680162	0.0080971659919028	0.3238866396761133
APH(3'')-Ib	0.3319838056680162	0.0080971659919028	0.3238866396761133
qacEdelta1	0.3238866396761133	0.0040485829959514	0.3198380566801619
aadA	0.3036437246963562	0.0	0.3036437246963562
sul2	0.2955465587044534	0.0080971659919028	0.2874493927125506
tet(A)	0.2591093117408907	0.0080971659919028	0.2510121457489878
aadA2	0.2510121457489878	0.0	0.2510121457489878
APH(3'')-Ia	0.2469635627530364	0.0	0.2469635627530364
APH(3')-Ia	0.2469635627530364	0.0	0.2469635627530364
mphA	0.2307692307692307	0.0	0.2307692307692307
Mrx	0.2307692307692307	0.0	0.2307692307692307
AAC(6')-Ib-cr6	0.2226720647773279	0.0	0.2226720647773279
AAC(6')-Ib-cr5	0.2186234817813765	0.0	0.2186234817813765
AAC(6')-Ib'	0.2145748987854251	0.0	0.2145748987854251
AAC(6')-Ib	0.2145748987854251	0.0	0.2145748987854251
catB3	0.2145748987854251	0.0	0.2145748987854251
QnrS1	0.1983805668016194	0.0	0.1983805668016194
dfrA12	0.194331983805668	0.0	0.194331983805668
floR	0.194331983805668	0.0040485829959514	0.1902834008097166
dfrA14	0.1862348178137652	0.0	0.1862348178137652
AAC(3)-IId	0.1781376518218623	0.0	0.1781376518218623
AAC(6')-Ib9	0.1740890688259109	0.0	0.1740890688259109
arr-3	0.1700404858299595	0.0	0.1700404858299595
dfrA1	0.1578947368421052	0.0	0.1578947368421052
AAC(6')-Ib10	0.1538461538461538	0.0	0.1538461538461538
AAC(3)-IIe	0.1497975708502024	0.0	0.1497975708502024
aadA5	0.145748987854251	0.0040485829959514	0.1417004048582995
catA1	0.1376518218623481	0.0	0.1376518218623481
qacJ	0.1417004048582996	0.0040485829959514	0.1376518218623481
BRP(MBL)	0.1336032388663967	0.0	0.1336032388663967
dfrA17	0.1336032388663967	0.0	0.1336032388663967
qacL	0.1295546558704453	0.0	0.1295546558704453
msrE	0.1295546558704453	0.0040485829959514	0.1255060728744939
mphE	0.1255060728744939	0.0040485829959514	0.1214574898785425
cmlA1	0.1133603238866396	0.0	0.1133603238866396
ErmB	0.1133603238866396	0.0	0.1133603238866396
ANT(2'')-Ia	0.1133603238866396	0.0	0.1133603238866396
tet(B)	0.117408906882591	0.0080971659919028	0.1093117408906882
Ecol_catII	0.1093117408906882	0.0	0.1093117408906882
tet(D)	0.1052631578947368	0.0	0.1052631578947368
sul3	0.1052631578947368	0.0	0.1052631578947368
qacE	0.1052631578947368	0.0	0.1052631578947368
tetR	0.1133603238866396	0.0080971659919028	0.1052631578947368
armA	0.1012145748987854	0.0	0.1012145748987854
cmlA5	0.1012145748987854	0.0	0.1012145748987854
adeF	0.1093117408906882	0.0121457489878542	0.097165991902834
dfrA27	0.097165991902834	0.0	0.097165991902834
arr-2	0.0931174089068826	0.0	0.0931174089068826
aadA16	0.0931174089068826	0.0	0.0931174089068826
QnrB4	0.0931174089068826	0.0	0.0931174089068826
mef(B)	0.0931174089068826	0.0	0.0931174089068826
aadA23	0.0850202429149797	0.0	0.0850202429149797
QnrB1	0.0850202429149797	0.0	0.0850202429149797
AAC(3)-IVa	0.0850202429149797	0.0	0.0850202429149797
AAC(3)-IIc	0.0850202429149797	0.0	0.0850202429149797
AAC(6')-Ib4	0.0809716599190283	0.0	0.0809716599190283
APH(4)-Ia	0.0809716599190283	0.0	0.0809716599190283
aadA15	0.0809716599190283	0.0	0.0809716599190283
TEM-244	0.0809716599190283	0.0	0.0809716599190283
tet(M)	0.0809716599190283	0.0	0.0809716599190283
FosA3	0.0769230769230769	0.0	0.0769230769230769
AAC(3)-Ib	0.0769230769230769	0.0	0.0769230769230769
AAC(6')-Ib3	0.0728744939271255	0.0	0.0728744939271255
rmtB	0.0728744939271255	0.0	0.0728744939271255
dfrA5	0.0728744939271255	0.0	0.0728744939271255
QnrB19	0.068825910931174	0.0	0.068825910931174
AAC6_Ie_APH2_Ia	0.068825910931174	0.0	0.068825910931174
TEM-185	0.068825910931174	0.0	0.068825910931174
APH(3')-VIa	0.0647773279352226	0.0	0.0647773279352226
OXA-9	0.0647773279352226	0.0	0.0647773279352226
APH(3')-IIIa	0.0647773279352226	0.0	0.0647773279352226
AAC(6')-Ib8	0.0647773279352226	0.0	0.0647773279352226
qacG	0.0647773279352226	0.0	0.0647773279352226
QnrA1	0.0607287449392712	0.0	0.0607287449392712
aadA22	0.0607287449392712	0.0	0.0607287449392712
TEM-95	0.0607287449392712	0.0	0.0607287449392712
EreA	0.0607287449392712	0.0	0.0607287449392712
lnuF	0.0566801619433198	0.0	0.0566801619433198
QnrS2	0.0566801619433198	0.0	0.0566801619433198
TEM-81	0.0566801619433198	0.0	0.0566801619433198
tet(C)	0.0566801619433198	0.0	0.0566801619433198
QnrB2	0.0566801619433198	0.0	0.0566801619433198
aadA3	0.0566801619433198	0.0	0.0566801619433198
OXA-1	0.0566801619433198	0.0	0.0566801619433198
linG	0.0566801619433198	0.0	0.0566801619433198
AAC(6')-Il	0.0566801619433198	0.0	0.0566801619433198
TEM-112	0.0526315789473684	0.0	0.0526315789473684
oqxB	0.0526315789473684	0.0	0.0526315789473684
TEM-1	0.0526315789473684	0.0	0.0526315789473684
TEM-214	0.0526315789473684	0.0	0.0526315789473684
oqxA	0.048582995951417	0.0	0.048582995951417
SAT-4	0.048582995951417	0.0	0.048582995951417
PC1_blaZ	0.048582995951417	0.0	0.048582995951417
cmlA6	0.048582995951417	0.0	0.048582995951417
EreA2	0.048582995951417	0.0	0.048582995951417
blaI	0.048582995951417	0.0	0.048582995951417
blaR1	0.048582995951417	0.0	0.048582995951417
aad(6)	0.048582995951417	0.0	0.048582995951417
AAC(3)-VIa	0.0445344129554655	0.0	0.0445344129554655
TEM-243	0.0445344129554655	0.0	0.0445344129554655
dfrA7	0.0404858299595141	0.0	0.0404858299595141
OXA-17	0.0404858299595141	0.0	0.0404858299595141
TEM-196	0.0404858299595141	0.0	0.0404858299595141
tet(X4)	0.0404858299595141	0.0	0.0404858299595141
ANT(6)-Ia	0.0404858299595141	0.0	0.0404858299595141
APH(3')-IIa	0.0404858299595141	0.0	0.0404858299595141
tet(45)	0.0404858299595141	0.0	0.0404858299595141
QnrB6	0.0404858299595141	0.0	0.0404858299595141
AAC(6')-Ib7	0.0445344129554655	0.0040485829959514	0.0404858299595141
dfrG	0.0364372469635627	0.0	0.0364372469635627
aadA12	0.0364372469635627	0.0	0.0364372469635627
dfrA19	0.0364372469635627	0.0	0.0364372469635627
MCR-1.1	0.0364372469635627	0.0	0.0364372469635627
QepA2	0.0364372469635627	0.0	0.0364372469635627
TEM-93	0.0364372469635627	0.0	0.0364372469635627
msrA	0.0364372469635627	0.0	0.0364372469635627
tet(G)	0.0323886639676113	0.0	0.0323886639676113
TEM-246	0.0323886639676113	0.0	0.0323886639676113
QnrB20	0.0323886639676113	0.0	0.0323886639676113
AAC(3)-Ia	0.0323886639676113	0.0	0.0323886639676113
vanY_in_vanA_cl	0.0323886639676113	0.0	0.0323886639676113
rmtF	0.0323886639676113	0.0	0.0323886639676113
Erm(42)	0.0323886639676113	0.0	0.0323886639676113
cfrA	0.0323886639676113	0.0	0.0323886639676113
mphC	0.0323886639676113	0.0	0.0323886639676113
tet(L)	0.0323886639676113	0.0	0.0323886639676113
TEM-10	0.0283400809716599	0.0	0.0283400809716599
MCR-5.1	0.0283400809716599	0.0	0.0283400809716599
TEM-163	0.0283400809716599	0.0	0.0283400809716599
qacA	0.0283400809716599	0.0	0.0283400809716599
MCR-3.5	0.0283400809716599	0.0	0.0283400809716599
dfrA8	0.0283400809716599	0.0	0.0283400809716599
Saur_mupA_MUP	0.0283400809716599	0.0	0.0283400809716599
ANT3II_ANT6II	0.0283400809716599	0.0	0.0283400809716599
AAC(6')-IIa	0.0283400809716599	0.0	0.0283400809716599
ErmC	0.0283400809716599	0.0	0.0283400809716599
vanR_in_vanA_cl	0.0283400809716599	0.0	0.0283400809716599
QepA1	0.0283400809716599	0.0	0.0283400809716599
catB8	0.0283400809716599	0.0	0.0283400809716599
FosA4	0.0242914979757085	0.0	0.0242914979757085
AAC(6')-Ib-cr3	0.0242914979757085	0.0	0.0242914979757085
MCR-8.2	0.0242914979757085	0.0	0.0242914979757085
MCR-3.1	0.0242914979757085	0.0	0.0242914979757085
evgS	0.0242914979757085	0.0	0.0242914979757085
TEM-245	0.0242914979757085	0.0	0.0242914979757085
FosA8	0.0242914979757085	0.0	0.0242914979757085
aadA6	0.0242914979757085	0.0	0.0242914979757085
sepA	0.0242914979757085	0.0	0.0242914979757085
DHA-7	0.0242914979757085	0.0	0.0242914979757085
mcr-10.1	0.0242914979757085	0.0	0.0242914979757085
ANT(4')-Ia	0.0242914979757085	0.0	0.0242914979757085
cmlA9	0.0242914979757085	0.0	0.0242914979757085
STA-1	0.0242914979757085	0.0	0.0242914979757085
SAT-2	0.0242914979757085	0.0	0.0242914979757085
AAC(6')-IIc	0.0242914979757085	0.0	0.0242914979757085
dfrA16	0.0242914979757085	0.0	0.0242914979757085
dfrA15	0.0242914979757085	0.0	0.0242914979757085
lnuA	0.0242914979757085	0.0	0.0242914979757085
aadA25	0.0242914979757085	0.0	0.0242914979757085
aphA15	0.020242914979757	0.0	0.020242914979757
tet(S)	0.020242914979757	0.0	0.020242914979757
mecR1	0.020242914979757	0.0	0.020242914979757
LAP-2	0.020242914979757	0.0	0.020242914979757
ErmA	0.020242914979757	0.0	0.020242914979757
catA8	0.020242914979757	0.0	0.020242914979757
dfrC	0.020242914979757	0.0	0.020242914979757
CTX-M-187	0.020242914979757	0.0	0.020242914979757
vanS_in_vanA_cl	0.020242914979757	0.0	0.020242914979757
aadA17	0.020242914979757	0.0	0.020242914979757
catB2	0.020242914979757	0.0	0.020242914979757
vanT_in_vanG_cl	0.020242914979757	0.0	0.020242914979757
vanX_in_vanA_cl	0.020242914979757	0.0	0.020242914979757
aadA24	0.020242914979757	0.0	0.020242914979757
ANT(9)-Ia	0.020242914979757	0.0	0.020242914979757
vanZ_in_vanA_cl	0.020242914979757	0.0	0.020242914979757
qacB	0.020242914979757	0.0	0.020242914979757
vanH_in_vanA_cl	0.020242914979757	0.0	0.020242914979757
vanA	0.020242914979757	0.0	0.020242914979757
NDM-31	0.020242914979757	0.0	0.020242914979757
pp_cat	0.020242914979757	0.0	0.020242914979757
LEN-14	0.0161943319838056	0.0	0.0161943319838056
Ssui_ACT_CHL	0.0161943319838056	0.0	0.0161943319838056
evgA	0.0161943319838056	0.0	0.0161943319838056
dfrB1	0.0161943319838056	0.0	0.0161943319838056
SHV-123	0.0161943319838056	0.0	0.0161943319838056
fexA	0.0161943319838056	0.0	0.0161943319838056
QepA4	0.0161943319838056	0.0	0.0161943319838056
EstT	0.0161943319838056	0.0	0.0161943319838056
dfrA25	0.0161943319838056	0.0	0.0161943319838056
KPC-16	0.0161943319838056	0.0	0.0161943319838056
KPC-34	0.0161943319838056	0.0	0.0161943319838056
aadA13	0.0161943319838056	0.0	0.0161943319838056
fosA5	0.0161943319838056	0.0	0.0161943319838056
MCR-9.1	0.020242914979757	0.0040485829959514	0.0161943319838056
dfrA23	0.0161943319838056	0.0	0.0161943319838056
TEM-232	0.0161943319838056	0.0	0.0161943319838056
TEM-68	0.0161943319838056	0.0	0.0161943319838056
tet(39)	0.0161943319838056	0.0	0.0161943319838056
AAC(6')-Im	0.0161943319838056	0.0	0.0161943319838056
AAC(6')-Ib11	0.0161943319838056	0.0	0.0161943319838056
AAC(6')-Ib-cr7	0.0161943319838056	0.0	0.0161943319838056
AAC(6')-Ib-cr4	0.0161943319838056	0.0	0.0161943319838056
CTX-M-226	0.0161943319838056	0.0	0.0161943319838056
mphB	0.0161943319838056	0.0	0.0161943319838056
Ecol_EFTu_PLV	0.0161943319838056	0.0	0.0161943319838056
CARB-3	0.0161943319838056	0.0	0.0161943319838056
CTX-M-236	0.0161943319838056	0.0	0.0161943319838056
AAC(6')-Iaf	0.0161943319838056	0.0	0.0161943319838056
poxtA	0.0161943319838056	0.0	0.0161943319838056
CMY-132	0.0161943319838056	0.0	0.0161943319838056
ErmT	0.0161943319838056	0.0	0.0161943319838056
CRP	0.0161943319838056	0.0	0.0161943319838056
ArnT	0.0161943319838056	0.0	0.0161943319838056
aadA8b	0.0121457489878542	0.0	0.0121457489878542
aadA7	0.0121457489878542	0.0	0.0121457489878542
Saga_mprF	0.0121457489878542	0.0	0.0121457489878542
SHV-7	0.0121457489878542	0.0	0.0121457489878542
aadA8	0.0121457489878542	0.0	0.0121457489878542
APH(2'')-IIa	0.0121457489878542	0.0	0.0121457489878542
APH(3')-VIb	0.0121457489878542	0.0	0.0121457489878542
APH(6)-Ic	0.0121457489878542	0.0	0.0121457489878542
