selection_mode	top_k	n_selected	n_positive_selected	precision_at_k	mean_n_new_countries	mean_knownness_score
primary_natural	10	10	8	0.8	10.7	0.5855578024941018
baseline_natural	10	10	9	0.9	12.8	0.6789012470508932
primary_matched_to_baseline	10	10	9	0.9	11.3	0.6406976744186047
baseline_matched_to_primary	10	10	9	0.9	10.8	0.602696326255477
primary_natural	25	25	20	0.8	9.44	0.603855746545332
baseline_natural	25	25	22	0.88	14.32	0.6875497135153354
primary_matched_to_baseline	25	25	23	0.92	11.16	0.6658847320525784
baseline_matched_to_primary	25	25	20	0.8	11.72	0.5926322885069093
primary_natural	50	50	44	0.88	10.8	0.6090697674418606
baseline_natural	50	50	41	0.82	13.7	0.7030535894843275
primary_matched_to_baseline	50	50	46	0.92	12.74	0.6922076171216719
baseline_matched_to_primary	50	50	42	0.84	12.6	0.6015335355578025
