backbone_id	n_countries_train	training_country_missing_fraction	testing_country_missing_fraction	observed_new_countries	optimistic_new_countries	midpoint_new_countries	weighted_new_countries	eligible_for_country_bounds	label_observed	label_midpoint	label_optimistic	label_weighted
AB371	0	1.0	0.017857142857142856	9	10	10	9.163636363636362	False				
AA155	0	1.0	0.06666666666666667	7	8	8	7.5	False				
AA537	0	0.0	0.0	15	15	15	15.0	False				
AC510	0	1.0	0.11428571428571428	12	16	14	13.548387096774192	False				
AA344	0	0.0	0.0	5	5	5	5.0	False				
AA315	0	0.0	0.13924050632911392	15	26	21	17.426470588235297	False				
AB270	0	0.0	1.0	0	1	1	0.0	False				
AB050	0	1.0	0.07575757575757576	11	16	14	11.901639344262296	False				
AA175	1	0.5	0.12857142857142856	19	37	28	21.80327868852459	True	1.0	1.0	1.0	1.0
AA378	2	0.4	0.1044776119402985	35	77	56	39.083333333333336	True	1.0	1.0	1.0	1.0
AA295	3	0.2	0.12903225806451613	6	10	8	6.888888888888889	True	1.0	1.0	1.0	1.0
AA329	0	1.0	0.14285714285714285	14	21	18	16.333333333333336	False				
AA156	0	0.0	0.1111111111111111	6	7	7	6.75	False				
AB002	1	0.0	0.11538461538461539	21	33	27	23.739130434782606	True	1.0	1.0	1.0	1.0
AB059	0	0.0	0.0	8	8	8	8.0	False				
AA747	0	1.0	0.11688311688311688	32	50	41	36.23529411764706	False				
AA739	2	0.3333333333333333	0.14018691588785046	36	96	66	41.869565217391305	True	1.0	1.0	1.0	1.0
AG165	0	0.0	0.0	4	4	4	4.0	False				
AB042	4	0.25	0.10377358490566038	20	31	26	22.31578947368421	False				
AB233	4	0.5454545454545454	0.14646464646464646	27	56	42	31.633136094674555	False				
AA627	3	0.45454545454545453	0.17054263565891473	11	33	22	13.261682242990654	True	1.0	1.0	1.0	1.0
AA302	1	0.0	0.016666666666666666	8	9	9	8.135593220338983	True	1.0	1.0	1.0	1.0
AG690	0	1.0	0.5	1	2	2	2.0	False				
AB446	0	1.0	0.037037037037037035	8	9	9	8.307692307692308	False				
AA336	2	0.8333333333333334	0.14015151515151514	25	62	44	29.074889867841406	True	1.0	1.0	1.0	1.0
AD485	1	0.5	0.022222222222222223	13	14	14	13.295454545454545	True	1.0	1.0	1.0	1.0
AA338	2	0.75	0.20307692307692307	33	99	66	41.40926640926641	True	1.0	1.0	1.0	1.0
AA379	12	0.9094827586206896	0.1368124118476728	53	247	150	61.40032679738562	False				
AA521	0	1.0	0.03333333333333333	18	22	20	18.620689655172416	False				
