backbone_id	n_training_records	complete_fraction	duplicate_fraction	change_flag_fraction	duplicate_completeness_score
AD384	2	1.0	0.0	1.0	0.8
AG088	2	1.0	0.0	1.0	0.8
AA123	1	1.0	0.0	1.0	0.8
AA435	1	1.0	0.0	1.0	0.8
AA668	1	1.0	0.0	1.0	0.8
AA704	1	1.0	0.0	1.0	0.8
AB089	1	1.0	0.0	1.0	0.8
AB217	1	1.0	0.0	1.0	0.8
AB303	1	1.0	0.0	1.0	0.8
AB522	1	1.0	0.0	1.0	0.8
AB523	1	1.0	0.0	1.0	0.8
AC162	1	1.0	0.0	1.0	0.8
AC876	1	1.0	0.0	1.0	0.8
AC982	1	1.0	0.0	1.0	0.8
AD751	1	1.0	0.0	1.0	0.8
AD760	1	1.0	0.0	1.0	0.8
AD943	1	1.0	0.0	1.0	0.8
AD988	1	1.0	0.0	1.0	0.8
AE059	1	1.0	0.0	1.0	0.8
AE151	1	1.0	0.0	1.0	0.8
AE297	1	1.0	0.0	1.0	0.8
AE821	1	1.0	0.0	1.0	0.8
AF123	1	1.0	0.0	1.0	0.8
AF681	1	1.0	0.0	1.0	0.8
AF792	1	1.0	0.0	1.0	0.8
AF793	1	1.0	0.0	1.0	0.8
AG172	1	1.0	0.0	1.0	0.8
AB260	8	0.875	0.0	1.0	0.7375
AC524	8	0.875	0.0	1.0	0.7375
AC874	8	0.875	0.0	1.0	0.7375
AD209	8	0.875	0.0	1.0	0.7375
AD216	5	0.8	0.0	1.0	0.7
AC744	9	0.7777777777777778	0.0	1.0	0.6888888888888889
AA710	3	0.6666666666666666	0.0	1.0	0.6333333333333333
AA862	3	0.6666666666666666	0.0	1.0	0.6333333333333333
AB161	4	0.5	0.0	1.0	0.55
AD488	4	0.5	0.0	1.0	0.55
AA046	2	0.5	0.0	1.0	0.55
AA430	2	0.5	0.0	1.0	0.55
AA558	2	0.5	0.0	1.0	0.55
AA628	2	0.5	0.0	1.0	0.55
AB040	2	0.5	0.0	1.0	0.55
AB337	2	0.5	0.0	1.0	0.55
AB843	2	0.5	0.0	1.0	0.55
AC129	2	0.5	0.0	1.0	0.55
AD182	2	0.5	0.0	1.0	0.55
AD495	2	0.5	0.0	1.0	0.55
AD917	2	0.5	0.0	1.0	0.55
AE259	2	0.5	0.0	1.0	0.55
AE689	2	0.5	0.0	1.0	0.55
AE740	2	0.5	0.0	1.0	0.55
AF003	2	0.5	0.0	1.0	0.55
AF050	2	0.5	0.0	1.0	0.55
AF052	2	0.5	0.0	1.0	0.55
AF053	2	0.5	0.0	1.0	0.55
AF455	2	0.5	0.0	1.0	0.55
AF669	2	0.5	0.0	1.0	0.55
AB721	10	0.4	0.0	1.0	0.5
AC623	5	0.4	0.0	1.0	0.5
AC796	5	0.4	0.0	1.0	0.5
AB042	8	0.375	0.0	1.0	0.4875
AC525	8	0.375	0.0	1.0	0.4875
AB978	14	0.35714285714285715	0.0	1.0	0.47857142857142854
AA742	34	0.35294117647058826	0.0	1.0	0.4764705882352941
AA667	6	0.3333333333333333	0.0	1.0	0.4666666666666667
AB702	6	0.3333333333333333	0.0	1.0	0.4666666666666667
AC120	6	0.3333333333333333	0.0	1.0	0.4666666666666667
AA114	3	0.3333333333333333	0.0	1.0	0.4666666666666667
