backbone_id	n_new_countries_recomputed	time_to_first_new_country_years	time_to_third_new_country_years	event_within_1y_label	event_within_3y_label	event_within_5y_label	three_countries_within_3y_label	three_countries_within_5y_label	spread_severity_bin
AB371	9	1.0	2.0						
AA155	7	4.0	5.0						
AA537	15	4.0	5.0						
AC510	12	1.0	4.0						
AA344	5	3.0	4.0						
AA315	15	1.0	2.0						
AB270	0								
AB050	11	2.0	4.0						
AA175	19	2.0	2.0	0.0	1.0	1.0	1.0	1.0	3.0
AA378	35	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0
AA295	6	3.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0
AA329	14	1.0	4.0						
AA156	6	4.0	7.0						
AB002	21	3.0	3.0	0.0	1.0	1.0	1.0	1.0	3.0
AB059	8	3.0	4.0						
AA747	32	1.0	2.0						
AA739	36	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AG165	4	4.0	7.0						
AB042	20	4.0	4.0						
AB233	27	1.0	2.0						
AA627	11	1.0	3.0	1.0	1.0	1.0	1.0	1.0	3.0
AA302	8	4.0	5.0	0.0	0.0	1.0	0.0	1.0	3.0
AG690	1	1.0							
AB446	8	4.0	5.0						
AA336	25	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AD485	13	2.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0
AA338	33	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AA379	53	1.0	2.0						
AA521	18	1.0	3.0						
AA144	7	1.0	5.0	1.0	1.0	1.0	0.0	1.0	3.0
AA583	9	2.0	5.0						
AG363	1	4.0							
AA860	40	1.0	1.0						
AA343	7	2.0	3.0						
AB193	22	1.0	4.0	1.0	1.0	1.0	0.0	1.0	3.0
AA300	7	3.0	6.0						
AA474	50	1.0	2.0						
AC009	2	1.0							
AB390	4	1.0	5.0						
AE039	1	4.0							
AE024	1	6.0							
AC841	0								
AC842	1	7.0							
AF957	2	8.0							
AE788	7	3.0	6.0						
AA038	35	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AA752	21	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AC083	1	5.0							
AC100	6	1.0	5.0						
AA947	5	1.0	2.0						
AC431	15	3.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AF709	7	3.0	5.0						
AB082	18	1.0	2.0						
AB113	3	3.0	7.0						
AG484	2	5.0							
AA840	9	2.0	5.0	0.0	1.0	1.0	0.0	1.0	3.0
AB721	9	2.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0
AB232	3	3.0	7.0						
AD318	3	1.0	8.0						
AC493	3	2.0	7.0						
AA506	3	4.0	5.0						
AA482	2	3.0							
AF916	3	5.0	8.0						
AC908	3	2.0	6.0						
AF809	7	1.0	4.0	1.0	1.0	1.0	0.0	1.0	3.0
AA372	39	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AA576	16	1.0	4.0						
AA161	22	2.0	3.0						
AA279	9	2.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0
AA179	24	2.0	2.0						
AA252	1	2.0							
AG115	5	1.0	6.0						
AA276	18	3.0	4.0	0.0	1.0	1.0	0.0	1.0	3.0
AC509	26	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0
AA405	35	1.0	2.0						
AA103	23	1.0	3.0	1.0	1.0	1.0	1.0	1.0	3.0
AC125	26	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0
AB477	1	3.0							
AH073	2	1.0							
AB391	3	2.0	8.0						
AA487	2	4.0							
AC359	5	2.0	7.0						
AA631	2	3.0							
AA662	3	5.0	7.0						
AC305	15	4.0	4.0	0.0	0.0	1.0	0.0	1.0	3.0
AC163	18	2.0	3.0						
AB352	3	3.0	8.0						
AH385	1	2.0							
AG475	3	3.0	7.0						
AD751	2	1.0		1.0	1.0	1.0	0.0	0.0	1.0
AG539	1	3.0							
AB825	3	1.0	5.0						
AC965	2	5.0							
AC962	5	2.0	5.0						
AD868	4	1.0	6.0						
AD974	2	1.0							
AE688	9	2.0	3.0						
AB339	2	3.0							
AE841	3	5.0	7.0						
AB829	3	3.0	8.0						
AB081	1	1.0							
AD750	1	5.0							
AF735	1	2.0							
AC601	6	3.0	6.0	0.0	1.0	1.0	0.0	0.0	3.0
AB828	1	3.0							
AG049	3	3.0	5.0						
AG481	1	3.0							
AC861	5	3.0	5.0						
