backbone_id	n_new_countries_recomputed	time_to_first_new_country_years	time_to_third_new_country_years	spread_severity_bin	weighted_new_country_burden	rarity_weighted_new_country_burden	exposure_years	new_country_rate_per_year	weighted_new_country_rate_per_year	rarity_weighted_new_country_rate_per_year	first_event_speed_score	third_event_speed_score	fast_or_broad_expansion_label
AA001	7	1.0	5.0	3.0	0.7231245884904974	6.530805029154026	8	0.875	0.0903905735613121	0.8163506286442532	0.5	0.1666666666666666	
AA002	43	1.0	1.0		9.246649666105036	42.153948381403474	8	5.375	1.1558312082631297	5.269243547675434	0.5	0.5	
AA003	2	6.0		1.0	0.3319899427772339	1.9346167316977945	8	0.25	0.0414987428471542	0.2418270914622243	0.1428571428571428	0.0	
AA004	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AA005	2	7.0		1.0	0.0480614102221742	1.688994275663748	8	0.25	0.0060076762777717	0.2111242844579685	0.125	0.0	
AA006	4	6.0	8.0		0.2820371113882874	3.582121793024205	8	0.5	0.0352546389235359	0.4477652241280256	0.1428571428571428	0.1111111111111111	
AA007	3	5.0	7.0		0.2323230483347994	2.7241398190428896	8	0.375	0.0290403810418499	0.3405174773803612	0.1666666666666666	0.125	
AA008	2	5.0			0.2304692271868647	1.9268107181118408	8	0.25	0.028808653398358	0.2408513397639801	0.1666666666666666	0.0	
AA009	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AA010	9	2.0	5.0		1.1225179279823374	8.811311261597945	8	1.125	0.1403147409977921	1.1014139076997431	0.3333333333333333	0.1666666666666666	
AA011	2	7.0		1.0	0.0676421525100871	1.6431911913074635	8	0.25	0.0084552690637608	0.2053988989134329	0.125	0.0	
AA013	5	4.0	6.0		0.4755832863276727	4.5886923550723715	8	0.625	0.059447910790959	0.5735865443840464	0.2	0.1428571428571428	
AA014	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AA016	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
AA017	0				0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	
