model_name	outcome_name	status	n_backbones	spearman_corr	spearman_ci_lower	spearman_ci_upper	pearson_corr	mean_count_top_25	median_count_top_25	mean_count_overall	median_count_overall	audit_family
bio_clean_priority	new_country_rate_per_year	ok	989	0.46964202377998354	0.4174874256020513	0.5208757094145416	0.4604100938143244	1.18	1.0	0.4443882709807887	0.25	exposure_adjusted
parsimonious_priority	new_country_rate_per_year	ok	989	0.4782432742974997	0.425980096601037	0.5309297156844242	0.4799956510085233	1.355	1.0	0.4443882709807887	0.25	exposure_adjusted
natural_auc_priority	new_country_rate_per_year	ok	989	0.5462456402362267	0.49749274595177206	0.5904256113178352	0.5144855849336903	1.815	1.5	0.4443882709807887	0.25	exposure_adjusted
knownness_robust_priority	new_country_rate_per_year	ok	989	0.5769161436567326	0.5308134521624074	0.6191933723390471	0.5332564630276284	1.82	1.75	0.4443882709807887	0.25	exposure_adjusted
support_calibrated_priority	new_country_rate_per_year	ok	989	0.5853772423125272	0.5398858056967902	0.6281528764676282	0.5481825165747647	1.88	1.5	0.4443882709807887	0.25	exposure_adjusted
support_synergy_priority	new_country_rate_per_year	ok	989	0.6237078190887912	0.5802036281348829	0.6624347001535621	0.5723695399065821	1.81	1.5	0.4443882709807887	0.25	exposure_adjusted
host_transfer_synergy_priority	new_country_rate_per_year	ok	989	0.5800147518723382	0.5339079648117641	0.6219117374810492	0.5337376741610453	1.865	1.75	0.4443882709807887	0.25	exposure_adjusted
ecology_clinical_priority	new_country_rate_per_year	ok	989	0.5709817451578204	0.523307321385447	0.6138030331807093	0.5486316243682084	1.815	1.5	0.4443882709807887	0.25	exposure_adjusted
adaptive_natural_priority	new_country_rate_per_year	ok	989	0.581969516652884	0.5370781080516966	0.6247070307689666	0.5338889020048408	1.815	1.5	0.4443882709807887	0.25	exposure_adjusted
adaptive_knownness_robust_priority	new_country_rate_per_year	ok	989	0.592209255187335	0.5486521520409349	0.6338022626888423	0.5380920777274544	1.82	1.75	0.4443882709807887	0.25	exposure_adjusted
adaptive_knownness_blend_priority	new_country_rate_per_year	ok	989	0.5883184324561176	0.5428521268620494	0.6295050646931426	0.5419866443341843	1.82	1.75	0.4443882709807887	0.25	exposure_adjusted
adaptive_support_calibrated_blend_priority	new_country_rate_per_year	ok	989	0.5961135001470235	0.5509226246770507	0.6367172171568687	0.5536011794862424	1.88	1.5	0.4443882709807887	0.25	exposure_adjusted
adaptive_support_synergy_blend_priority	new_country_rate_per_year	ok	989	0.6217520387691159	0.5782154206088623	0.6622366109762862	0.5797900577792411	1.81	1.5	0.4443882709807887	0.25	exposure_adjusted
adaptive_host_transfer_synergy_blend_priority	new_country_rate_per_year	ok	989	0.5904834238923244	0.546715762333852	0.6316456480017734	0.5434737954710989	1.865	1.75	0.4443882709807887	0.25	exposure_adjusted
adaptive_threat_architecture_blend_priority	new_country_rate_per_year	ok	989	0.5667556268467229	0.521721390866958	0.6092275580805436	0.5176695200829257	1.545	1.5	0.4443882709807887	0.25	exposure_adjusted
baseline_both	new_country_rate_per_year	ok	989	0.42691355866868747	0.37160094900151136	0.47823548011167316	0.5138376332811325	1.79	1.375	0.4443882709807887	0.25	exposure_adjusted
bio_clean_priority	weighted_new_country_rate_per_year	ok	989	0.4623632108257489	0.4073864906505842	0.5132882822839083	0.38010570395404625	0.1567274636547468	0.11923299752693665	0.05557467153333487	0.010991314049695864	exposure_adjusted
parsimonious_priority	weighted_new_country_rate_per_year	ok	989	0.46884045473811703	0.41564143989014035	0.5214403954938244	0.4287233963608351	0.18133473462523472	0.12089925862777814	0.05557467153333487	0.010991314049695864	exposure_adjusted
natural_auc_priority	weighted_new_country_rate_per_year	ok	989	0.5423816608280291	0.4918521034145534	0.5896715503545081	0.4625903509439042	0.26854522913256457	0.16896266979988528	0.05557467153333487	0.010991314049695864	exposure_adjusted
knownness_robust_priority	weighted_new_country_rate_per_year	ok	989	0.575600632646661	0.5267283396186864	0.6207141808850155	0.46948614348059137	0.27284660751676926	0.22379771426968928	0.05557467153333487	0.010991314049695864	exposure_adjusted
support_calibrated_priority	weighted_new_country_rate_per_year	ok	989	0.5833560794051195	0.5335651242054616	0.6285394561898414	0.4838999294304391	0.2880482879953488	0.22379771426968928	0.05557467153333487	0.010991314049695864	exposure_adjusted
support_synergy_priority	weighted_new_country_rate_per_year	ok	989	0.6201793311493567	0.5768647939221652	0.661020859252226	0.4965194134621042	0.2950819038829311	0.22044701251836946	0.05557467153333487	0.010991314049695864	exposure_adjusted
host_transfer_synergy_priority	weighted_new_country_rate_per_year	ok	989	0.5778673468448796	0.5300767730709052	0.6217435204096573	0.46936045193641535	0.2738171343969306	0.22379771426968928	0.05557467153333487	0.010991314049695864	exposure_adjusted
ecology_clinical_priority	weighted_new_country_rate_per_year	ok	989	0.5660114433709402	0.5172101897803006	0.6101598742364966	0.4899374868409691	0.28095091187292065	0.16896266979988528	0.05557467153333487	0.010991314049695864	exposure_adjusted
adaptive_natural_priority	weighted_new_country_rate_per_year	ok	989	0.5779880217901747	0.5319567030516065	0.6227176452311373	0.4727116381974751	0.26854522913256457	0.16896266979988528	0.05557467153333487	0.010991314049695864	exposure_adjusted
adaptive_knownness_robust_priority	weighted_new_country_rate_per_year	ok	989	0.5916907261514129	0.545262496868712	0.6336944251021148	0.4736110523239257	0.27284660751676926	0.22379771426968928	0.05557467153333487	0.010991314049695864	exposure_adjusted
adaptive_knownness_blend_priority	weighted_new_country_rate_per_year	ok	989	0.5877558144914847	0.5406998831656081	0.6293337278987019	0.4770992222563723	0.27284660751676926	0.22379771426968928	0.05557467153333487	0.010991314049695864	exposure_adjusted
adaptive_support_calibrated_blend_priority	weighted_new_country_rate_per_year	ok	989	0.5942600779286072	0.5478812632189854	0.6379002324360996	0.48746777724034224	0.2880482879953488	0.22379771426968928	0.05557467153333487	0.010991314049695864	exposure_adjusted
adaptive_support_synergy_blend_priority	weighted_new_country_rate_per_year	ok	989	0.6194308872825991	0.5765219706484433	0.6596008210264567	0.5070305720297137	0.2950819038829311	0.22044701251836946	0.05557467153333487	0.010991314049695864	exposure_adjusted
adaptive_host_transfer_synergy_blend_priority	weighted_new_country_rate_per_year	ok	989	0.589794669882075	0.5428395372063456	0.6310752529774766	0.47761248006590173	0.2738171343969306	0.22379771426968928	0.05557467153333487	0.010991314049695864	exposure_adjusted
adaptive_threat_architecture_blend_priority	weighted_new_country_rate_per_year	ok	989	0.5633396712745786	0.5161809746392413	0.6072064039132601	0.4556070990412926	0.22723063480516817	0.15557485787891995	0.05557467153333487	0.010991314049695864	exposure_adjusted
baseline_both	weighted_new_country_rate_per_year	ok	989	0.43199730403314285	0.37798278730366186	0.4837375149059972	0.491398550783846	0.2858070748480949	0.1783119239242019	0.05557467153333487	0.010991314049695864	exposure_adjusted
bio_clean_priority	rarity_weighted_new_country_rate_per_year	ok	989	0.4728205148632028	0.4193516872176494	0.5249182505484267	0.45689595449169046	1.1240776849846734	0.9365101330906864	0.4171391561535266	0.18800175614651282	exposure_adjusted
parsimonious_priority	rarity_weighted_new_country_rate_per_year	ok	989	0.4809725708413129	0.42984640367698235	0.5339399285004112	0.477447013627282	1.2881652145600528	0.9545354446532839	0.4171391561535266	0.18800175614651282	exposure_adjusted
natural_auc_priority	rarity_weighted_new_country_rate_per_year	ok	989	0.5492467435153987	0.5007579250254762	0.5934812769976932	0.511942364131532	1.740450074040175	1.409072430420296	0.4171391561535266	0.18800175614651282	exposure_adjusted
knownness_robust_priority	rarity_weighted_new_country_rate_per_year	ok	989	0.5814528287873383	0.5340375513350619	0.6241986691563374	0.530114377002766	1.745227802003739	1.6372780075846451	0.4171391561535266	0.18800175614651282	exposure_adjusted
support_calibrated_priority	rarity_weighted_new_country_rate_per_year	ok	989	0.5884886523835449	0.5413274757853663	0.6316135232606358	0.5448872075141399	1.804780596520278	1.409072430420296	0.4171391561535266	0.18800175614651282	exposure_adjusted
support_synergy_priority	rarity_weighted_new_country_rate_per_year	ok	989	0.6281623558785715	0.5839324482553293	0.6688341167620162	0.568601768449636	1.7376959194059827	1.409072430420296	0.4171391561535266	0.18800175614651282	exposure_adjusted
host_transfer_synergy_priority	rarity_weighted_new_country_rate_per_year	ok	989	0.5839996567506894	0.537120790869602	0.6267235885136538	0.5305770390317952	1.786484790845562	1.6372780075846451	0.4171391561535266	0.18800175614651282	exposure_adjusted
ecology_clinical_priority	rarity_weighted_new_country_rate_per_year	ok	989	0.5736969959544995	0.5256037161084032	0.6180141041523747	0.5461081698108038	1.7444719126041224	1.409072430420296	0.4171391561535266	0.18800175614651282	exposure_adjusted
adaptive_natural_priority	rarity_weighted_new_country_rate_per_year	ok	989	0.5846506682841102	0.5380337984953449	0.6273701093306248	0.530795248532468	1.740450074040175	1.409072430420296	0.4171391561535266	0.18800175614651282	exposure_adjusted
adaptive_knownness_robust_priority	rarity_weighted_new_country_rate_per_year	ok	989	0.5959672419903386	0.5515792748143277	0.6368978761916906	0.5352338812364168	1.745227802003739	1.6372780075846451	0.4171391561535266	0.18800175614651282	exposure_adjusted
adaptive_knownness_blend_priority	rarity_weighted_new_country_rate_per_year	ok	989	0.5925508114475626	0.5454584555347765	0.6336966241622597	0.5389655243356369	1.745227802003739	1.6372780075846451	0.4171391561535266	0.18800175614651282	exposure_adjusted
adaptive_support_calibrated_blend_priority	rarity_weighted_new_country_rate_per_year	ok	989	0.5995401202204726	0.5534288025720088	0.6425500886055574	0.5504994538000547	1.804780596520278	1.409072430420296	0.4171391561535266	0.18800175614651282	exposure_adjusted
adaptive_support_synergy_blend_priority	rarity_weighted_new_country_rate_per_year	ok	989	0.6260204999045568	0.5824739877174249	0.6663600216243956	0.5765465130994188	1.7376959194059827	1.409072430420296	0.4171391561535266	0.18800175614651282	exposure_adjusted
adaptive_host_transfer_synergy_blend_priority	rarity_weighted_new_country_rate_per_year	ok	989	0.5944319808692607	0.5492452004377019	0.6352214241397903	0.5404922294137745	1.786484790845562	1.6372780075846451	0.4171391561535266	0.18800175614651282	exposure_adjusted
