backbone_id	mean_jump_distance_km	max_jump_distance_km	jump_distance_dispersion_km	interregional_leap_count	long_jump_label
AB371	0.0	0.0	0.0	3	
AA155	0.0	0.0	0.0	3	
AA537	0.0	0.0	0.0	5	
AC510	0.0	0.0	0.0	3	
AA344	0.0	0.0	0.0	4	
AA315	0.0	0.0	0.0	5	
AB270	0.0	0.0	0.0	0	
AB050	0.0	0.0	0.0	4	
AA175	0.0	0.0	0.0	6	1.0
AA378	0.0	0.0	0.0	5	1.0
AA295	0.0	0.0	0.0	3	1.0
AA329	0.0	0.0	0.0	4	
AA156	0.0	0.0	0.0	3	
AB002	0.0	0.0	0.0	4	1.0
AB059	0.0	0.0	0.0	3	
AA747	0.0	0.0	0.0	7	
AA739	0.0	0.0	0.0	5	1.0
AG165	0.0	0.0	0.0	2	
AB042	0.0	0.0	0.0	4	
AB233	0.0	0.0	0.0	4	
AA627	0.0	0.0	0.0	4	1.0
AA302	0.0	0.0	0.0	3	1.0
AG690	0.0	0.0	0.0	1	
AB446	0.0	0.0	0.0	4	
AA336	0.0	0.0	0.0	5	1.0
AD485	0.0	0.0	0.0	4	1.0
AA338	0.0	0.0	0.0	5	1.0
AA379	0.0	0.0	0.0	1	
AA521	0.0	0.0	0.0	5	
AA144	0.0	0.0	0.0	4	1.0
AA583	0.0	0.0	0.0	3	
AG363	0.0	0.0	0.0	1	
AA860	0.0	0.0	0.0	3	
AA343	0.0	0.0	0.0	4	
AB193	0.0	0.0	0.0	5	1.0
AA300	0.0	0.0	0.0	3	
AA474	0.0	0.0	0.0	3	
AC009	0.0	0.0	0.0	1	
AB390	0.0	0.0	0.0	2	
AE039	0.0	0.0	0.0	1	
AE024	0.0	0.0	0.0	1	
AC841	0.0	0.0	0.0	0	
AC842	0.0	0.0	0.0	1	
AF957	0.0	0.0	0.0	1	
AE788	0.0	0.0	0.0	4	
AA038	0.0	0.0	0.0	5	1.0
AA752	0.0	0.0	0.0	5	1.0
AC083	0.0	0.0	0.0	1	
AC100	0.0	0.0	0.0	2	
AA947	0.0	0.0	0.0	2	
AC431	0.0	0.0	0.0	5	1.0
AF709	0.0	0.0	0.0	4	
AB082	0.0	0.0	0.0	4	
AB113	0.0	0.0	0.0	2	
AG484	0.0	0.0	0.0	2	
AA840	0.0	0.0	0.0	4	1.0
AB721	0.0	0.0	0.0	5	1.0
AB232	0.0	0.0	0.0	3	
AD318	0.0	0.0	0.0	1	
AC493	0.0	0.0	0.0	2	
AA506	0.0	0.0	0.0	2	
AA482	0.0	0.0	0.0	1	
AF916	0.0	0.0	0.0	2	
AC908	0.0	0.0	0.0	2	
AF809	0.0	0.0	0.0	3	1.0
AA372	0.0	0.0	0.0	4	1.0
AA576	0.0	0.0	0.0	5	
AA161	0.0	0.0	0.0	6	
AA279	0.0	0.0	0.0	3	1.0
AA179	0.0	0.0	0.0	6	
AA252	0.0	0.0	0.0	1	
AG115	0.0	0.0	0.0	2	
AA276	0.0	0.0	0.0	5	1.0
AC509	0.0	0.0	0.0	5	1.0
AA405	0.0	0.0	0.0	2	
AA103	0.0	0.0	0.0	6	1.0
AC125	0.0	0.0	0.0	6	1.0
AB477	0.0	0.0	0.0	1	
AH073	0.0	0.0	0.0	1	
AB391	0.0	0.0	0.0	2	
AA487	0.0	0.0	0.0	1	
AC359	0.0	0.0	0.0	3	
AA631	0.0	0.0	0.0	1	
AA662	0.0	0.0	0.0	3	
AC305	0.0	0.0	0.0	4	1.0
AC163	0.0	0.0	0.0	2	
AB352	0.0	0.0	0.0	2	
AH385	0.0	0.0	0.0	1	
AG475	0.0	0.0	0.0	2	
AD751	0.0	0.0	0.0	2	1.0
AG539	0.0	0.0	0.0	1	
AB825	0.0	0.0	0.0	2	
AC965	0.0	0.0	0.0	1	
AC962	0.0	0.0	0.0	4	
AD868	0.0	0.0	0.0	4	
AD974	0.0	0.0	0.0	2	
AE688	0.0	0.0	0.0	6	
AB339	0.0	0.0	0.0	2	
AE841	0.0	0.0	0.0	2	
AB829	0.0	0.0	0.0	3	
AB081	0.0	0.0	0.0	1	
AD750	0.0	0.0	0.0	1	
AF735	0.0	0.0	0.0	1	
AC601	0.0	0.0	0.0	3	1.0
AB828	0.0	0.0	0.0	1	
AG049	0.0	0.0	0.0	1	
AG481	0.0	0.0	0.0	1	
AC861	0.0	0.0	0.0	2	
AD859	0.0	0.0	0.0	3	1.0
AB130	0.0	0.0	0.0	5	1.0
AA738	0.0	0.0	0.0	7	
AD293	0.0	0.0	0.0	3	
AB320	0.0	0.0	0.0	4	
AD289	0.0	0.0	0.0	1	
AC757	0.0	0.0	0.0	1	
AD204	0.0	0.0	0.0	3	
AA199	0.0	0.0	0.0	3	
AD295	0.0	0.0	0.0	1	
AC756	0.0	0.0	0.0	4	
AA218	0.0	0.0	0.0	2	
AD294	0.0	0.0	0.0	3	
AB971	0.0	0.0	0.0	1	
AA202	0.0	0.0	0.0	2	
AA203	0.0	0.0	0.0	2	
AC477	0.0	0.0	0.0	1	
AD292	0.0	0.0	0.0	2	
AB018	0.0	0.0	0.0	2	
AG485	0.0	0.0	0.0	2	
AG646	0.0	0.0	0.0	1	
AB324	0.0	0.0	0.0	3	
AD290	0.0	0.0	0.0	3	
AD707	0.0	0.0	0.0	2	
AC595	0.0	0.0	0.0	3	
AD296	0.0	0.0	0.0	4	
AA207	0.0	0.0	0.0	2	
AC019	0.0	0.0	0.0	0	
AD208	0.0	0.0	0.0	3	
AD298	0.0	0.0	0.0	1	
AC018	0.0	0.0	0.0	3	
AD270	0.0	0.0	0.0	2	
AC022	0.0	0.0	0.0	1	
AB322	0.0	0.0	0.0	1	
AD042	0.0	0.0	0.0	0	
AD207	0.0	0.0	0.0	2	
AD291	0.0	0.0	0.0	2	
AD297	0.0	0.0	0.0	2	
AE713	0.0	0.0	0.0	1	
AC594	0.0	0.0	0.0	0	0.0
AC021	0.0	0.0	0.0	1	
AB020	0.0	0.0	0.0	3	
AD286	0.0	0.0	0.0	2	
AC758	0.0	0.0	0.0	2	
AB323	0.0	0.0	0.0	0	
AC833	0.0	0.0	0.0	1	
AA200	0.0	0.0	0.0	3	
AA216	0.0	0.0	0.0	1	
AA204	0.0	0.0	0.0	1	
AA171	0.0	0.0	0.0	6	1.0
AD272	0.0	0.0	0.0	1	
AE296	0.0	0.0	0.0	5	
AD041	0.0	0.0	0.0	1	
AE712	0.0	0.0	0.0	2	
AD871	0.0	0.0	0.0	2	
AA205	0.0	0.0	0.0	0	
AD710	0.0	0.0	0.0	1	
AA211	0.0	0.0	0.0	3	
AE425	0.0	0.0	0.0	3	
AC476	0.0	0.0	0.0	1	
AE670	0.0	0.0	0.0	1	
AE423	0.0	0.0	0.0	1	
AE420	0.0	0.0	0.0	1	
AC864	0.0	0.0	0.0	4	
AE419	0.0	0.0	0.0	1	
AE422	0.0	0.0	0.0	1	
AE424	0.0	0.0	0.0	1	
AC588	0.0	0.0	0.0	3	
AC627	0.0	0.0	0.0	3	
AA848	0.0	0.0	0.0	2	
AF901	0.0	0.0	0.0	1	
AD663	0.0	0.0	0.0	1	
AC320	0.0	0.0	0.0	2	1.0
AC540	0.0	0.0	0.0	2	1.0
AD572	0.0	0.0	0.0	1	1.0
AB284	0.0	0.0	0.0	1	
AB285	0.0	0.0	0.0	0	0.0
AD058	0.0	0.0	0.0	2	1.0
AD157	0.0	0.0	0.0	4	
AB325	0.0	0.0	0.0	2	
AA558	0.0	0.0	0.0	3	
AC813	0.0	0.0	0.0	1	
AB794	0.0	0.0	0.0	2	
AG287	0.0	0.0	0.0	2	
AG282	0.0	0.0	0.0	2	
AE983	0.0	0.0	0.0	2	
AG742	0.0	0.0	0.0	3	
AF315	0.0	0.0	0.0	2	
AE383	0.0	0.0	0.0	2	
AB090	0.0	0.0	0.0	1	
AE306	0.0	0.0	0.0	1	
AB087	0.0	0.0	0.0	2	
AF747	0.0	0.0	0.0	3	1.0
AG389	0.0	0.0	0.0	1	1.0
AD352	0.0	0.0	0.0	3	
AG108	0.0	0.0	0.0	2	1.0
AD038	0.0	0.0	0.0	2	
AF475	0.0	0.0	0.0	1	
AC995	0.0	0.0	0.0	1	
AB088	0.0	0.0	0.0	1	
AG700	0.0	0.0	0.0	2	
AA450	0.0	0.0	0.0	5	
AE437	0.0	0.0	0.0	4	
AA404	0.0	0.0	0.0	5	
AA406	0.0	0.0	0.0	6	
