matched_stratum	member_bin	country_bin	source_bin	stratum_definition	model_name	status	n_backbones	n_treated	n_control	treated_fraction	treatment_threshold	mean_propensity_score	propensity_overlap_min	treated_outcome_ipw	control_outcome_ipw	ipw_risk_difference	naive_risk_difference
(292.499, 680.0]|(441.499, 981.0]|refseq_leaning	(292.499, 680.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	adaptive_host_transfer_synergy_blend_priority	ok	695	90	605	0.12949640287769784	0.6315950644959643	0.12721293054484334	0.2618286846968432	0.6029915121633473	0.22858149269105096	0.37441001947229635	0.38797061524334253
(680.0, 989.0]|(441.499, 981.0]|refseq_leaning	(680.0, 989.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	adaptive_host_transfer_synergy_blend_priority	ok	195	148	47	0.7589743589743589	0.6315950644959643	0.7493318234145332	0.2823872876229362	0.7963351567353285	0.6380132806690789	0.1583218760662496	0.2508625646923519
(292.499, 680.0]|(441.499, 981.0]|insd_leaning	(292.499, 680.0]	(441.499, 981.0]	insd_leaning	member_bin,country_bin,source_bin	adaptive_host_transfer_synergy_blend_priority	ok	80	1	79	0.0125	0.6315950644959643	0.05518700906237732	0.05	0.0	0.22869951850221773	-0.22869951850221773	-0.22784810126582278
(680.0, 989.0]|(441.499, 981.0]|insd_leaning	(680.0, 989.0]	(441.499, 981.0]	insd_leaning	member_bin,country_bin,source_bin	adaptive_host_transfer_synergy_blend_priority	ok	19	9	10	0.47368421052631576	0.6315950644959643	0.5005048089373872	0.6089547035887292	0.4751639703055873	0.6020275524824515	-0.12686358217686422	0.15555555555555556
__weighted_overall__				member_bin,country_bin,source_bin	adaptive_host_transfer_synergy_blend_priority	ok	989	248	741	0.25075834175935285	0.6315950644959643	0.2512206717788682	0.05	0.5898812658773727	0.3164926310698633	0.27338863480750936	0.3066587312066951
(292.499, 680.0]|(441.499, 981.0]|refseq_leaning	(292.499, 680.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	adaptive_knownness_blend_priority	ok	695	89	606	0.12805755395683452	0.6560969740042767	0.12598391993589417	0.2588054055129211	0.6413314871067816	0.22714709871826047	0.4141843883885211	0.40809137093484626
(680.0, 989.0]|(441.499, 981.0]|refseq_leaning	(680.0, 989.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	adaptive_knownness_blend_priority	ok	195	149	46	0.764102564102564	0.6560969740042767	0.7508120740673222	0.2996858333413188	0.7956034458154541	0.6203066901367594	0.17529675567869463	0.2618908666472133
(292.499, 680.0]|(441.499, 981.0]|insd_leaning	(292.499, 680.0]	(441.499, 981.0]	insd_leaning	member_bin,country_bin,source_bin	adaptive_knownness_blend_priority	ok	80	2	78	0.025	0.6560969740042767	0.05680599591527312	0.05	0.0	0.23173191987655367	-0.23173191987655367	-0.23076923076923078
(680.0, 989.0]|(441.499, 981.0]|insd_leaning	(680.0, 989.0]	(441.499, 981.0]	insd_leaning	member_bin,country_bin,source_bin	adaptive_knownness_blend_priority	ok	19	8	11	0.42105263157894735	0.6560969740042767	0.5163475095067497	0.600419237869304	0.5896684215095236	0.5713571175272881	0.01831130398223546	0.26136363636363635
__weighted_overall__				member_bin,country_bin,source_bin	adaptive_knownness_blend_priority	ok	989	248	741	0.25075834175935285	0.6560969740042767	0.25108418721175363	0.05	0.6188794292031422	0.31164952174823246	0.3072299074549098	0.3247690519972653
(292.499, 680.0]|(441.499, 981.0]|refseq_leaning	(292.499, 680.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	adaptive_knownness_robust_priority	ok	695	87	608	0.1251798561151079	0.6466216657341166	0.12340251927202653	0.27613150263584085	0.6487672515773816	0.2248029491176321	0.4239643024597495	0.42328342407743497
(680.0, 989.0]|(441.499, 981.0]|refseq_leaning	(680.0, 989.0]	(441.499, 981.0]	refseq_leaning	member_bin,country_bin,source_bin	adaptive_knownness_robust_priority	ok	195	151	44	0.7743589743589744	0.6466216657341166	0.7649116806573368	0.27208684243888437	0.8009516749950227	0.6122950887118644	0.1886565862831583	0.285219747140277
(292.499, 680.0]|(441.499, 981.0]|insd_leaning	(292.499, 680.0]	(441.499, 981.0]	insd_leaning	member_bin,country_bin,source_bin	adaptive_knownness_robust_priority	ok	80	1	79	0.0125	0.6466216657341166	0.0519263917386254	0.05	0.0	0.22843867371581342	-0.22843867371581342	-0.22784810126582278
