backbone_id	metadata_quality_mean	metadata_quality_min	n_training_records	country_coverage_fraction	assembly_status_fraction	duplicate_fraction	assignment_confidence_score	metadata_quality_score	metadata_quality_tier
AA291	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AA940	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AB423	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AB566	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AB583	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AC886	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AD206	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AD468	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AE448	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AE945	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AF107	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AF258	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AF815	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AG077	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AG106	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AG367	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AH008	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AH119	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AH230	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AH428	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AH479	0.7	0.7	1	1.0	0.0	0.0	1.0	0.7749999999999999	high
AA759	0.6499999999999999	0.6	2	0.5	0.0	0.0	1.0	0.7374999999999999	high
AD223	0.6499999999999999	0.6	2	0.5	0.0	0.0	1.0	0.7374999999999999	high
AD255	0.6499999999999999	0.6	2	0.5	0.0	0.0	1.0	0.7374999999999999	high
AA261	0.6	0.4	13	0.3076923076923077	0.0	0.0	1.0	0.7	medium
AF844	0.6	0.4	4	0.5	0.0	0.0	1.0	0.7	medium
AF676	0.6	0.4	3	0.5	0.0	0.0	1.0	0.7	medium
AB904	0.6	0.6	2	0.0	0.0	0.0	1.0	0.7	medium
AA703	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AA780	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AB773	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AC173	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AC712	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AC845	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AC846	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AC922	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AD045	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AD165	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AD401	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AD619	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AD795	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AE201	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AE212	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AE721	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AE851	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AE852	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AE853	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AE854	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AE865	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AE866	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AF005	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AF129	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AF138	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AF348	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AF349	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AF350	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AF351	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AF377	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AF378	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AF516	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AF940	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AG031	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AG192	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AG242	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AG308	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AG349	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AG350	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AG723	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AG770	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AG810	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AG909	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AG991	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AH019	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AH041	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AH133	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AH195	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AH261	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AH268	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AH363	0.6	0.6	1	1.0	0.0	0.0	1.0	0.7	medium
AH395	0.6	0.6	1	1.0	0.0	0.0	1.0	0.7	medium
AH495	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AH512	0.6	0.6	1	0.0	0.0	0.0	1.0	0.7	medium
AD209	0.5875	0.4	8	0.0	0.0	0.0	1.0	0.690625	medium
AC744	0.5777777777777778	0.4	9	0.0	0.0	0.0	1.0	0.6833333333333333	medium
AB260	0.5764705882352941	0.4	9	0.0	0.0	0.0	1.0	0.6823529411764706	medium
AB649	0.575	0.4	3	0.25	0.0	0.0	1.0	0.6812499999999999	medium
AC874	0.5666666666666667	0.4	10	0.0	0.0	0.0	1.0	0.675	medium
AA387	0.5666666666666667	0.4	3	0.3333333333333333	0.0	0.0	1.0	0.675	medium
AC919	0.5666666666666667	0.4	3	0.3333333333333333	0.0	0.0	1.0	0.675	medium
AB217	0.5666666666666668	0.4	2	0.3333333333333333	0.0	0.0	1.0	0.675	medium
AD501	0.5666666666666667	0.4	2	0.3333333333333333	0.0	0.0	1.0	0.675	medium
AG241	0.5666666666666667	0.4	2	0.3333333333333333	0.0	0.0	1.0	0.675	medium
AA936	0.5599999999999999	0.4	4	0.4	0.0	0.0	1.0	0.6699999999999999	medium
AC773	0.55	0.4	4	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AD264	0.55	0.4	4	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AD539	0.55	0.4	4	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AA043	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AA131	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AA830	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB766	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AC035	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AC890	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AD467	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AD949	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AD950	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AE108	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AE259	0.55	0.4	2	0.0	0.0	0.0	1.0	0.6625000000000001	medium
AE740	0.55	0.4	2	0.0	0.0	0.0	1.0	0.6625000000000001	medium
AF042	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AF455	0.55	0.4	2	0.0	0.0	0.0	1.0	0.6625000000000001	medium
AF552	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AG057	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AG076	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AG152	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AG283	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AG348	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AG555	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AG719	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AH122	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AH442	0.55	0.4	2	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AA005	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AA062	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AA250	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AA308	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AA390	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AA460	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AA466	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AA788	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AA871	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AA879	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB057	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB175	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB472	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB500	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB507	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB520	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB525	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB568	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB601	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB611	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB612	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB650	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB664	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB682	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB719	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB767	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB768	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB769	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB780	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB784	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB786	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB802	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB803	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB865	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB871	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB877	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB884	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AB896	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AC034	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AC117	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AC127	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AC171	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AC174	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AC177	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AC187	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AC204	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AC209	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AC229	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AC230	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
AC279	0.55	0.4	1	0.5	0.0	0.0	1.0	0.6625000000000001	medium
