backbone_id	priority_group	priority_index	selection_score	selection_score_column	dominant_species	primary_replicon	replicon_types	mobsuite_literature_record_count	mobsuite_literature_sample_count	mobsuite_literature_host_species_count	mobsuite_reported_host_range_taxid_count	mobsuite_literature_pmid_count	mobsuite_literature_year_min	mobsuite_literature_year_max	mobsuite_literature_conjugative_note_fraction	mobsuite_cluster_record_count	mobsuite_cluster_taxid_count	mobsuite_cluster_mobilizable_fraction	mobsuite_cluster_conjugative_fraction	mobsuite_cluster_relaxase_presence_fraction	mobsuite_cluster_mpf_presence_fraction	mobsuite_cluster_orit_presence_fraction	mobsuite_any_literature_support	mobsuite_any_cluster_support
AA859	high	0.4842649593147545	0.8645139584271743	primary_model_oof_prediction	Salmonella_enterica	IncC	IncA,IncC	18.0	18.0	10.0	3.0	8.0	2009.0	2017.0	0.0	305.0	79.0	0.05573770491803279	0.9442622950819672	0.9475409836065574	0.0	0.0	True	True
AA627	high	0.9713694290075786	0.8027758039323262	primary_model_oof_prediction	Salmonella_enterica	IncC	IncC,IncFIA,IncFIB,IncFIC,IncHI1B,IncN,IncR,IncU,rep_cluster_1254,rep_cluster_1367	18.0	18.0	10.0	3.0	8.0	2009.0	2017.0	0.0	305.0	79.0	0.05573770491803279	0.9442622950819672	0.9475409836065574	0.0	0.0	True	True
AA593	high	0.5004466074650242	0.5833997057690864	primary_model_oof_prediction	Edwardsiella_ictaluri	IncC	IncC	18.0	18.0	10.0	3.0	8.0	2009.0	2017.0	0.0	305.0	79.0	0.05573770491803279	0.9442622950819672	0.9475409836065574	0.0	0.0	True	True
AA040	high	0.5467794418795734	0.5806463841828278	primary_model_oof_prediction	Klebsiella_pneumoniae	IncU	IncU,IncX3	7.0	7.0	5.0	3.0	6.0	2006.0	2014.0	0.42857142857142855	41.0	17.0	0.0975609756097561	0.6341463414634146	0.7317073170731707	0.0	0.0	True	True
AC212	high	0.8946117690497029	0.5342850484517686	primary_model_oof_prediction	Klebsiella_pneumoniae	IncU	IncFIA,IncFIB,IncFII,IncR,IncU,rep_cluster_1172,rep_cluster_1254,rep_cluster_1332,rep_cluster_1418,rep_cluster_2183	7.0	7.0	5.0	3.0	6.0	2006.0	2014.0	0.42857142857142855	41.0	17.0	0.0975609756097561	0.6341463414634146	0.7317073170731707	0.0	0.0	True	True
AC540	high	0.1490722968650032	0.5006225920055916	primary_model_oof_prediction	Aeromonas_caviae	IncU	IncU	7.0	7.0	5.0	3.0	6.0	2006.0	2014.0	0.42857142857142855	41.0	17.0	0.0975609756097561	0.6341463414634146	0.7317073170731707	0.0	0.0	True	True
AA353	high	0.8927560702247163	0.4987748433532178	primary_model_oof_prediction	Serratia_marcescens	IncU	IncU,IncX5	7.0	7.0	5.0	3.0	6.0	2006.0	2014.0	0.42857142857142855	41.0	17.0	0.0975609756097561	0.6341463414634146	0.7317073170731707	0.0	0.0	True	True
AC281	high	0.4495327647326395	0.4878518237070884	primary_model_oof_prediction	Vibrio_cholerae	IncC	IncC,rep_cluster_2294	18.0	18.0	10.0	3.0	8.0	2009.0	2017.0	0.0	305.0	79.0	0.05573770491803279	0.9442622950819672	0.9475409836065574	0.0	0.0	True	True
AA363	high	0.4281497424618253	0.455731073150121	primary_model_oof_prediction	Citrobacter_freundii	IncU	IncU,IncX5,rep_cluster_2037	7.0	7.0	5.0	3.0	6.0	2006.0	2014.0	0.42857142857142855	41.0	17.0	0.0975609756097561	0.6341463414634146	0.7317073170731707	0.0	0.0	True	True
AA324	high	0.6842506124888571	0.9500590025110696	primary_model_oof_prediction	Escherichia_coli	IncFIA	Col156,IncFIA,IncFIB,IncFIC,IncFII,IncHI1B,IncI-gamma/K1,IncI1,IncN,IncQ1,rep_cluster_1195,rep_cluster_1254,rep_cluster_2131,rep_cluster_2232,rep_cluster_2244	14.0	14.0	6.0	2.0	8.0	2000.0	2017.0	0.07142857142857142	240.0	48.0	0.175	0.7833333333333333	0.9125	0.5666666666666667	0.5166666666666667	True	True
AA319	high	0.6613541335232236	0.9394285854263564	primary_model_oof_prediction	Escherichia_coli	IncFIA	IncFIA,IncFIB,IncFIC,IncFII,IncQ1,IncX1,IncX3,rep_cluster_2244	14.0	14.0	6.0	2.0	8.0	2000.0	2017.0	0.07142857142857142	240.0	48.0	0.175	0.7833333333333333	0.9125	0.5666666666666667	0.5166666666666667	True	True
AA323	high	0.6488616540510477	0.93916184524964	primary_model_oof_prediction	Escherichia_coli	IncFIA	IncFIA,IncFIB,IncFIC,IncN,IncR,IncY,rep_cluster_2244,rep_cluster_2335,rep_cluster_2358,rep_cluster_2370	14.0	14.0	6.0	2.0	8.0	2000.0	2017.0	0.07142857142857142	240.0	48.0	0.175	0.7833333333333333	0.9125	0.5666666666666667	0.5166666666666667	True	True
