model_name	average_precision	average_precision_ci_lower	average_precision_ci_upper	average_precision_enrichment	average_precision_lift	brier_reliability	brier_resolution	brier_score	brier_score_ci_lower	brier_score_ci_upper	brier_uncertainty	decision_utility_cost	decision_utility_grid_size	decision_utility_positive_rate	decision_utility_precision	decision_utility_recall	decision_utility_score	error_message	expected_calibration_error	log_loss	log_loss_ci_lower	log_loss_ci_upper	max_calibration_error	n_backbones	n_positive	ndcg_at_10	ndcg_at_25	novelty_adjusted_average_precision	optimal_decision_threshold	positive_prevalence	precision_at_top_10	precision_at_top_25	recall_at_top_10	recall_at_top_25	roc_auc	roc_auc_ci_lower	roc_auc_ci_upper	status	weighted_classification_cost	model_track	track_summary	evidence_role	evidence_summary	primary_reference_model	delta_auc_vs_primary_reference	delta_auc_vs_enhanced_priority	leakage_review_required	leakage_review_reason
source_only	0.3388956194103675	0.3055820284413351	0.3845878160793769	0.9258778110410318	-0.0271306697706233	0.0089749584815736	0.0088529259013132	0.232278266812204	0.2247501617968887	0.2404495097184034	0.2320510448093845	0.2679474216380182	1011.0	1.0	0.3660262891809909	1.0	-0.2679474216380182		0.0619132489815439	0.6572985684083934	0.6418351756843591	0.6740635885033429	0.2449249247194947	989	362	0.2122263659729146	0.2958199513140475	0.0663645663698842	0.0	0.3660262891809909	0.2	0.32	0.005524861878453	0.0220994475138121	0.4522808779860248	0.4143907955899742	0.487494474305036	ok	0.2679474216380182	baseline	count- and source-proxy control surface	easy_proxy	source composition only	phylo_support_fusion_priority	-0.3753822023667909		False	
baseline_both	0.6471951497145494	0.5961715343054814	0.6978753113501718	1.7681657543306335	0.2811688605335585	0.0020198225464385	0.0465119702770989	0.1860639554327758	0.1746158954388083	0.1985925833383458	0.2320510448093845	0.2659251769464105	1047.0	0.9979777553083924	0.3667679837892604	1.0	-0.2659251769464105		0.0393089918413468	0.5582669882296061	0.530809856792477	0.5879771947280971	0.0728166764993547	989	362	0.9363792118010484	0.8969171061077192	0.0851481601810304	0.2131140457948944	0.3660262891809909	0.9	0.88	0.0248618784530386	0.0607734806629834	0.7224968498594553	0.6885303288845395	0.7557956656227933	ok	0.2659251769464105	baseline	count- and source-proxy control surface	easy_proxy	training visibility counts only	phylo_support_fusion_priority	-0.1051662304933604		False	
full_priority	0.6867095570772024	0.6347388675870339	0.7393796603597317	1.8761208617385448	0.3206832678962115	0.0017790167963143	0.0559620351944468	0.1785210265463874	0.1670161154018968	0.1919052909922945	0.2320510448093845	0.2376137512639029	1088.0	0.6582406471183013	0.488479262672811	0.8784530386740331	-0.2376137512639029		0.0342238009825754	0.5405352851711963	0.5121439753145046	0.573017595883286	0.0742990446617118	989	362	0.8364586133797037	0.8785367668125895	0.0953711796223636	0.2170665618568261	0.3660262891809909	0.8	0.88	0.0220994475138121	0.0607734806629834	0.7747891829020064	0.743197993176183	0.8041466052935224	ok	0.2376137512639029	governance	support-augmented governance/watch-only surface	handcrafted_score	counts plus arithmetic conservative priority index	phylo_support_fusion_priority	-0.0528738974508093		False	
bio_clean_priority	0.6538034832512319	0.6050611620152475	0.708639570860335	1.7862200136338906	0.287777194070241	0.006201992597303	0.0500498563081237	0.1884316055588872	0.1761088829326668	0.2014667609325806	0.2320510448093845	0.2679474216380182	1077.0	1.0	0.3660262891809909	1.0	-0.2679474216380182		0.0634492458143225	0.562069065844752	0.5333989763093867	0.5919990468759473	0.1615004549408162	989	362	0.8115558478722846	0.8075134314458513	0.1161485709974717	0.0	0.3660262891809909	0.8	0.8	0.0220994475138121	0.0552486187845303	0.7454289918669099	0.7139373086934071	0.7780493217226125	ok	0.2679474216380182	discovery	pre-event biological discovery surface	biological_core	raw biological T/A plus host specialization and oriT support	phylo_support_fusion_priority	-0.0822340884859058		False	
parsimonious_priority	0.6591153194245379	0.6092958713211324	0.7121877917196128	1.800732184836652	0.293089030243547	0.0032996047672822	0.0475373704791566	0.1867326848792296	0.1744603306500594	0.1997632830750205	0.2320510448093845	0.2679474216380182	1083.0	1.0	0.3660262891809909	1.0	-0.2679474216380182		0.0461777627794156	0.5572179565687624	0.529148547329148	0.5868095111748155	0.1238122835842175	989	362	0.6874708847784539	0.8253768422882413	0.1033223983557039	0.0	0.3660262891809909	0.7	0.88	0.0193370165745856	0.0607734806629834	0.7505793615127724	0.7189538236033528	0.7836444475339182	ok	0.2679474216380182	discovery	pre-event biological discovery surface	legacy_published_primary	support-adjusted T/H/A plus coherence; retained as the legacy interpretable benchmark	phylo_support_fusion_priority	-0.0770837188400433		False	
natural_auc_priority	0.6929323560191941	0.6465683780981119	0.7450719769671205	1.8931218234889031	0.3269060668382032	0.0035372263535222	0.056612250852607	0.178144032430087	0.1662324289503454	0.191015046756657	0.2320510448093845	0.1617795753286147	1087.0	0.7593528816986855	0.4567243675099867	0.947513812154696	-0.1617795753286147		0.0464916862871224	0.5340563000823503	0.5062948627628661	0.5638712388590246	0.1399579013770802	989	362	1.0	0.912713507793894	0.1075547866435523	0.15	0.3660262891809909	1.0	0.88	0.0276243093922651	0.0607734806629834	0.7852397190867676	0.7561715225315364	0.813191546218155	ok	0.1617795753286147	governance	support-augmented governance/watch-only surface	augmented_biological_core	biological core plus external host-range, backbone purity, assignment confidence, mash-based novelty, and replicon architecture	phylo_support_fusion_priority	-0.0424233612660481		False	
phylogeny_aware_priority	0.6940569247548637	0.64697364495436	0.7448240582971952	1.896194194979448	0.3280306355738728	0.0029334296687571	0.0548147000156224	0.1792319716982625	0.1671030181413263	0.192027063180508	0.2320510448093845	0.198179979777553	1086.0	0.7603640040444893	0.449468085106383	0.9337016574585636	-0.198179979777553		0.0457427497981023	0.5380550069449302	0.5096319428170406	0.5671803514885286	0.0898232161022509	989	362	1.0	0.9399463200458535	0.1077333502705571	0.156405442885203	0.3660262891809909	1.0	0.92	0.0276243093922651	0.0635359116022099	0.7774546864398566	0.7468435442955477	0.8063136928410011	ok	0.198179979777553	governance	support-augmented governance/watch-only surface	phylogeny_augmented_core	augmented biological core with host specialization replaced by taxonomy-aware phylogenetic host breadth	phylo_support_fusion_priority	-0.0502083939129591		False	
structured_signal_priority	0.720685362223955	0.6709287851400508	0.7672634225389348	1.9689442630925176	0.354659073042964	0.0021927784873345	0.0649497893793698	0.1670207893923977	0.1549007949974831	0.1806071340888129	0.2320510448093845	0.1678463094034378	1087.0	0.7583417593528817	0.456	0.9447513812154696	-0.1678463094034378		0.0313433431296132	0.5077180570250608	0.4786092259072852	0.5402215064602901	0.1245891182769184	989	362	1.0	0.9710507009056476	0.1128868699387931	0.1234423416014725	0.3660262891809909	1.0	0.96	0.0276243093922651	0.0662983425414364	0.8097403226801307	0.7802858121907985	0.8366267603461759	ok	0.1678463094034378	governance	support-augmented governance/watch-only surface	structure_augmented_core	phylogeny-aware biological core plus phylogenetically augmented host specialization, host dispersion, host evenness, recurrent AMR structure, replicon multiplicity, and orthogonal PlasmidFinder complexity	phylo_support_fusion_priority	-0.017922757672685		False	
ecology_clinical_priority	0.7038929394199659	0.656628054617608	0.7544769453107181	1.923066621785487	0.337866650238975	0.0036206231572635	0.0620661835057307	0.1741468405593137	0.1622717329640857	0.1867999411114237	0.2320510448093845	0.1557128412537917	1086.0	0.78159757330637	0.4489003880983182	0.9585635359116024	-0.1557128412537917		0.0521303158197124	0.5241318755034595	0.4959274150249058	0.5541503255568678	0.1254511116582611	989	362	1.0	0.9098206519771822	0.1083745922857855	0.1431759445418591	0.3660262891809909	1.0	0.88	0.0276243093922651	0.0607734806629834	0.798672975759338	0.7699875538700184	0.8258086159862548	ok	0.1557128412537917	governance	support-augmented governance/watch-only surface	eco_clinical_augmented_core	augmented biological core plus clinical-context prevalence and ecological-context diversity	phylo_support_fusion_priority	-0.0289901045934777		False	
knownness_robust_priority	0.7125010981098948	0.6643579957413911	0.7608230055250634	1.946584491797475	0.3464748089289039	0.0177593217974932	0.0652290934287158	0.1832583052445109	0.1728043591551186	0.1944022212457533	0.2320510448093845	0.1496461071789686	1084.0	0.7118301314459049	0.4801136363636363	0.9337016574585636	-0.1496461071789686		0.1210828635638728	0.5510360388146706	0.5259244993286173	0.5773537687296085	0.2088753305423398	989	362	1.0	0.8910586505373238	0.1090655626490531	0.2813450821389265	0.3660262891809909	1.0	0.84	0.0276243093922651	0.0580110497237569	0.8045987646162116	0.7756602851567435	0.8317765259996682	ok	0.1496461071789686	governance	support-augmented governance/watch-only surface	knownness_robust_core	augmented biological core plus clinical-context prevalence, ecological-context diversity, recurrent AMR structure, and pMLST coherence under class+knownness balancing	phylo_support_fusion_priority	-0.0230643157366041		False	
