model_name	subgroup_name	subgroup_value	n_backbones	n_positive	roc_auc	average_precision	brier_score	status
bio_clean_priority	overall	all	989	362	0.7467881783816649	0.660052719022453	0.18735091069790924	ok
bio_clean_priority	dominant_source	insd_leaning	99	27	0.5946502057613169	0.48100706066083604	0.18701952311705983	ok
bio_clean_priority	dominant_source	refseq_leaning	890	335	0.759878983461073	0.6758937351040091	0.1873877729119588	ok
bio_clean_priority	member_count_band	1	584	117	0.6913102362781164	0.41585453668067657	0.14765204600124893	ok
bio_clean_priority	member_count_band	2	191	91	0.6860439560439561	0.7070788236202968	0.22751017359078332	ok
bio_clean_priority	member_count_band	3_plus	214	154	0.6603896103896104	0.8398847457394552	0.2598449189703891	ok
bio_clean_priority	country_count_band	1	882	289	0.7281578041394119	0.6047181947793238	0.1828238552752122	ok
bio_clean_priority	country_count_band	2	90	60	0.7466666666666667	0.8757012226215412	0.2293876654803788	ok
bio_clean_priority	country_count_band	3	17	13				skipped_insufficient_label_variation
parsimonious_priority	overall	all	989	362	0.7515266065716778	0.6644882701832903	0.18521666240678153	ok
parsimonious_priority	dominant_source	insd_leaning	99	27	0.6172839506172839	0.45832762558010576	0.18462270031758032	ok
parsimonious_priority	dominant_source	refseq_leaning	890	335	0.7622320828290977	0.6890483412438673	0.185282732347041	ok
parsimonious_priority	member_count_band	1	584	117	0.6753600907776497	0.3760114940195335	0.1507618457917167	ok
parsimonious_priority	member_count_band	2	191	91	0.6369230769230769	0.67565495038201	0.23887967794735077	ok
parsimonious_priority	member_count_band	3_plus	214	154	0.6614718614718614	0.810570777404273	0.23134739574766533	ok
parsimonious_priority	country_count_band	1	882	289	0.7309032133833595	0.6114409582919822	0.18191640538375742	ok
parsimonious_priority	country_count_band	2	90	60	0.7033333333333334	0.8025755885646962	0.2201835712172725	ok
parsimonious_priority	country_count_band	3	17	13				skipped_insufficient_label_variation
phylo_support_fusion_priority	overall	all	989	362	0.8266982121300237	0.7662311920388732	0.16610100253302312	ok
phylo_support_fusion_priority	dominant_source	insd_leaning	99	27	0.6944444444444444	0.5341988960170696	0.20731203540838858	ok
phylo_support_fusion_priority	dominant_source	refseq_leaning	890	335	0.8369181121419927	0.7841711030832016	0.1615168539322802	ok
phylo_support_fusion_priority	member_count_band	1	584	117	0.7462252237412837	0.4884594226349748	0.14264063710866107	ok
phylo_support_fusion_priority	member_count_band	2	191	91	0.6884615384615385	0.6814783719005892	0.23286559132855544	ok
phylo_support_fusion_priority	member_count_band	3_plus	214	154	0.7932900432900433	0.9141442774572812	0.17053472658854077	ok
phylo_support_fusion_priority	country_count_band	1	882	289	0.8090583917328463	0.7078023245420395	0.16711834148914473	ok
phylo_support_fusion_priority	country_count_band	2	90	60	0.8388888888888889	0.924783237485299	0.1632089473213158	ok
phylo_support_fusion_priority	country_count_band	3	17	13				skipped_insufficient_label_variation
knownness_robust_priority	overall	all	989	362	0.8058544150431327	0.7155925461344174	0.18227610810622247	ok
