amr_drug_classes	high	low	prevalence_delta_high_minus_low
BETA-LACTAM	0.4180066719142397	0.12904194184749979	0.2889647300667399
AMINOGLYCOSIDE	0.32403763259492485	0.12248048717728793	0.20155714541763692
SULFONAMIDE	0.24213801116983394	0.08199674071532721	0.1601412704545067
AMINOGLYCOSIDE ANTIBIOTIC	0.22017316990891714	0.08264002058495583	0.13753314932396132
QUATERNARY AMMONIUM	0.18077888976348438	0.052748949309546274	0.12802994045393812
TRIMETHOPRIM	0.16676037332733612	0.06630071189638906	0.10045966143094706
MACROLIDE ANTIBIOTIC	0.12867798643127554	0.036023672699202335	0.0926543137320732
TETRACYCLINE	0.16870947186926047	0.08071018097607	0.08799929089319047
MACROLIDE	0.11484688331646613	0.028861823484003773	0.08598505983246235
PHENICOL	0.12969001836650548	0.05703748177373703	0.07265253659276846
QUINOLONE	0.10521383859964767	0.042499356720130374	0.0627144818795173
BLEOMYCIN	0.07429064057873233	0.014881207650741916	0.05940943292799042
TELLURIUM	0.06465759586191386	0.006647225319495668	0.05801037054241819
MERCURY	0.10127815885153117	0.04421476970580667	0.0570633891457245
COLISTIN	0.048615015555305674	0.005446436229522258	0.04316857932578341
PENAM	0.04868998088384122	0.005532206878806073	0.04315777400503515
RIFAMYCIN	0.04677836500618464	0.011364611030105498	0.03541375397607914
PEPTIDE ANTIBIOTIC	0.04040631208066269	0.0056179775280898875	0.034788334552572804
CADMIUM	0.03564601371865512	0.00295908740029162	0.0326869263183635
FLUOROQUINOLONE ANTIBIOTIC; AMINOGLYCOSIDE ANTIBIOTIC	0.04839011956969901	0.018955313491723132	0.02943480607797588
AMINOGLYCOSIDE/QUINOLONE	0.04741557029873683	0.018526460245304056	0.028889110053432775
DIAMINOPYRIMIDINE ANTIBIOTIC	0.03733273361070505	0.010935757783686422	0.026396975827018627
MACROLIDE/STREPTOGRAMIN	0.034746429776228493	0.009263230122652028	0.025483199653576465
COPPER	0.06109674275647513	0.03748177373702719	0.023614969019447936
PHENICOL ANTIBIOTIC	0.05363769256718767	0.0324213054292821	0.021216387137905572
TETRACYCLINE ANTIBIOTIC	0.043742269200494774	0.02264345141092718	0.021098817789567594
ARSENIC	0.04426702650024364	0.025516768161934985	0.018750258338308654
GLYCOPEPTIDE ANTIBIOTIC	0.03826980021739945	0.020499185178831803	0.01777061503856765
COPPER/SILVER	0.05476217249522096	0.03893987477485204	0.015822297720368916
MONOBACTAM; CEPHALOSPORIN; PENAM; PENEM	0.025113385059410024	0.010721331160476884	0.01439205389893314
DISINFECTING AGENTS AND ANTISEPTICS	0.020690430675812437	0.006861651942705206	0.013828778733107231
MACROLIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC	0.02252708122493347	0.009391886096577751	0.013135195128355717
SULFONAMIDE ANTIBIOTIC	0.019078676112298062	0.0063470280470023155	0.012731648065295746
MACROLIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; STREPTOGRAMIN B ANTIBIOTIC	0.013081449829453877	0.0007290505189124282	0.012352399310541448
FLUOROQUINOLONE ANTIBIOTIC	0.01832902282694254	0.007118963890556652	0.011210058936385887
LINCOSAMIDE	0.01626747629221485	0.005961060125225148	0.010306416166989702
LINCOSAMIDE ANTIBIOTIC	0.016117545635143747	0.006304142722360408	0.009813402912783339
NUCLEOSIDE ANTIBIOTIC	0.016829716256231492	0.007376275838408097	0.009453440417823394
STREPTOTHRICIN	0.014243412421754939	0.005446436229522258	0.008796976192232681
PHENICOL/QUINOLONE	0.01023276734510289	0.0018869542842439317	0.008345813060858957
FOSFOMYCIN	0.018966228119494735	0.011364611030105498	0.007601617089389237
MACROLIDE ANTIBIOTIC; LINCOSAMIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; STREPTOGRAMIN A ANTIBIOTIC; STREPTOGRAMIN B ANTIBIOTIC	0.026537726301585518	0.01899819881636504	0.007539527485220479
LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	0.025488211702087784	0.01899819881636504	0.006490012885722745
COPPER/NICKEL	0.007608980846358559	0.0012436744146153186	0.00636530643174324
NICKEL	0.008021290153304097	0.0021013809074534695	0.005919909245850627
SILVER	0.01724202556317703	0.012522514795437001	0.004719510767740029
FLUOROQUINOLONE ANTIBIOTIC; GLYCYLCYCLINE; TETRACYCLINE ANTIBIOTIC; DIAMINOPYRIMIDINE ANTIBIOTIC; NITROFURAN ANTIBIOTIC	0.004347989055062034	0.0004288532464190754	0.003919135808642959
MUPIROCIN-LIKE ANTIBIOTIC	0.004235541062258705	0.000557509220344798	0.0036780318419139067
MUPIROCIN	0.004010645076652049	0.0003430825971352603	0.0036675624795167883
CEPHALOSPORIN; PENAM	0.003448405112635406	0.0009863624667638734	0.0024620426458715327
LINCOSAMIDE/MACROLIDE	0.003373439784099854	0.001115018440689596	0.0022584213434102577
CEPHALOSPORIN	0.003973162412384272	0.0021013809074534695	0.0018717815049308028
CADMIUM/LEAD/ZINC	0.001686719892049927	4.288532464190754e-05	0.0016438345674080193
CEPHALOSPORIN; CEPHAMYCIN	0.001986581206192136	0.0006003945449867056	0.0013861866612054304
IONOPHORE	0.001724202556317703	0.0006003945449867056	0.0011238080113309974
CARBAPENEM; CEPHALOSPORIN; CEPHAMYCIN; PENAM; PENEM	0.0015742718992465985	0.0005146238957028905	0.0010596480035437081
BACITRACIN	0.00097454927096218	0.0	0.00097454927096218
CARBAPENEM; CEPHALOSPORIN; PENAM	0.001724202556317703	0.0009005918174800583	0.0008236107388376447
MONOBACTAM; CEPHALOSPORIN; CEPHAMYCIN; PENAM; OXACEPHEM	0.0007871359496232993	4.288532464190754e-05	0.0007442506249813917
MACROLIDE ANTIBIOTIC; LINCOSAMIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC	0.0010495145994977324	0.0003430825971352603	0.0007064320023624721
TETRACYCLINE ANTIBIOTIC; OXAZOLIDINONE ANTIBIOTIC; PHENICOL ANTIBIOTIC	0.0008995839424266276	0.0002144266232095377	0.00068515731921709
CEPHAMYCIN	0.0010120319352299562	0.0003430825971352603	0.000668949338094696
MACROLIDE ANTIBIOTIC; FLUOROQUINOLONE ANTIBIOTIC; PENAM; TETRACYCLINE ANTIBIOTIC	0.0007121706210877469	0.0002144266232095377	0.0004977439978782092
LINCOSAMIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; STREPTOGRAMIN A ANTIBIOTIC; PLEUROMUTILIN ANTIBIOTIC	0.000749653285355523	0.00025731194785144526	0.0004923413375040777
STREPTOGRAMIN ANTIBIOTIC; STREPTOGRAMIN A ANTIBIOTIC	0.0007121706210877469	0.0003001972724933528	0.0004119733485943941
CEPHALOSPORIN; PENAM; PENEM	0.0006372052925521947	0.00025731194785144526	0.0003798933447007494
CEPHALOSPORIN; PENEM	0.0005997226282844184	0.00025731194785144526	0.00034241068043297317
CARBAPENEM	0.0007121706210877469	0.00038596792177716786	0.00032620269931057905
CARBAPENEM; CEPHALOSPORIN; CEPHAMYCIN; PENAM	0.0013493759136399416	0.001029247791405781	0.00032012812223416055
STREPTOGRAMIN	0.0005622399640166423	0.00025731194785144526	0.00030492801616519705
MONOBACTAM; CARBAPENEM; CEPHALOSPORIN; PENAM	0.0008995839424266276	0.0006003945449867056	0.00029918939743992206
NITROIMIDAZOLE	0.0003373439784099854	4.288532464190754e-05	0.00029445865376807786
LINCOSAMIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; OXAZOLIDINONE ANTIBIOTIC; GLYCOPEPTIDE ANTIBIOTIC; PHENICOL ANTIBIOTIC	0.0003373439784099854	4.288532464190754e-05	0.00029445865376807786
CARBAPENEM; CEPHALOSPORIN	0.0003373439784099854	8.577064928381508e-05	0.0002515733291261703
FUSIDIC ACID	0.0002248959856066569	0.0	0.0002248959856066569
LINCOSAMIDE/STREPTOGRAMIN	0.0021365118632632406	0.0019298396088858394	0.00020667225437740128
FLUOROQUINOLONE	0.00018741332133888076	0.0	0.00018741332133888076
CARBAPENEM; PENAM	0.001986581206192136	0.0018440689596020243	0.00014251224659011185
LINCOSAMIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; PLEUROMUTILIN ANTIBIOTIC	0.0022864425203343456	0.002144266232095377	0.00014217628823896865
MONOBACTAM; CARBAPENEM; CEPHALOSPORIN; PENAM; PENEM	0.0002248959856066569	8.577064928381508e-05	0.00013912533632284184
MACROLIDE ANTIBIOTIC; FLUOROQUINOLONE ANTIBIOTIC; AMINOGLYCOSIDE ANTIBIOTIC; CEPHALOSPORIN	7.49653285355523e-05	0.0	7.49653285355523e-05
MACROLIDE ANTIBIOTIC; TETRACYCLINE ANTIBIOTIC	7.49653285355523e-05	0.0	7.49653285355523e-05
PENAM; PENEM	0.00018741332133888076	0.00012865597392572263	5.875734741315813e-05
PENAM; TETRACYCLINE ANTIBIOTIC	3.748266426777615e-05	0.0	3.748266426777615e-05
MONOBACTAM; CARBAPENEM; CEPHALOSPORIN	3.748266426777615e-05	0.0	3.748266426777615e-05
MACROLIDE ANTIBIOTIC; FLUOROQUINOLONE ANTIBIOTIC; AMINOGLYCOSIDE ANTIBIOTIC; CARBAPENEM; CEPHALOSPORIN; CEPHAMYCIN; PENAM; TETRACYCLINE ANTIBIOTIC; PHENICOL ANTIBIOTIC; DISINFECTING AGENTS AND ANTISEPTICS	3.748266426777615e-05	0.0	3.748266426777615e-05
CADMIUM/COBALT/NICKEL	3.748266426777615e-05	0.0	3.748266426777615e-05
CEPHAMYCIN; OXACEPHEM	3.748266426777615e-05	0.0	3.748266426777615e-05
MACROLIDE ANTIBIOTIC; FLUOROQUINOLONE ANTIBIOTIC; AMINOGLYCOSIDE ANTIBIOTIC; CEPHALOSPORIN; PENAM; TETRACYCLINE ANTIBIOTIC; AMINOCOUMARIN ANTIBIOTIC; DIAMINOPYRIMIDINE ANTIBIOTIC; PHENICOL ANTIBIOTIC	7.49653285355523e-05	4.288532464190754e-05	3.208000389364476e-05
MONOBACTAM; CEPHALOSPORIN; PENAM	7.49653285355523e-05	4.288532464190754e-05	3.208000389364476e-05
FLUOROQUINOLONE ANTIBIOTIC; AMINOGLYCOSIDE ANTIBIOTIC; PHOSPHONIC ACID ANTIBIOTIC	7.49653285355523e-05	4.288532464190754e-05	3.208000389364476e-05
FLUOROQUINOLONE ANTIBIOTIC; CEPHALOSPORIN; CEPHAMYCIN; PENAM	7.49653285355523e-05	4.288532464190754e-05	3.208000389364476e-05
FLUOROQUINOLONE ANTIBIOTIC; CEPHALOSPORIN; GLYCYLCYCLINE; CEPHAMYCIN; PENAM; TETRACYCLINE ANTIBIOTIC; RIFAMYCIN ANTIBIOTIC; PHENICOL ANTIBIOTIC; DISINFECTING AGENTS AND ANTISEPTICS	7.49653285355523e-05	4.288532464190754e-05	3.208000389364476e-05
NITROIMIDAZOLE ANTIBIOTIC	0.0002623786498744331	0.00025731194785144526	5.066702022987833e-06
FUSIDANE ANTIBIOTIC	3.748266426777615e-05	4.288532464190754e-05	-5.402660374131389e-06
AVILAMYCIN	3.748266426777615e-05	4.288532464190754e-05	-5.402660374131389e-06
MACROLIDE ANTIBIOTIC; FLUOROQUINOLONE ANTIBIOTIC; AMINOGLYCOSIDE ANTIBIOTIC; CARBAPENEM; CEPHALOSPORIN; GLYCYLCYCLINE; CEPHAMYCIN; PENAM; TETRACYCLINE ANTIBIOTIC; PEPTIDE ANTIBIOTIC; AMINOCOUMARIN ANTIBIOTIC; RIFAMYCIN ANTIBIOTIC; PHENICOL ANTIBIOTIC; PENEM; DISINFECTING AGENTS AND ANTISEPTICS	7.49653285355523e-05	8.577064928381508e-05	-1.0805320748262778e-05
MACROLIDE ANTIBIOTIC; FLUOROQUINOLONE ANTIBIOTIC; PENAM	0.0001499306570711046	0.00017154129856763016	-2.1610641496525555e-05
TETRACYCLINE ANTIBIOTIC; DISINFECTING AGENTS AND ANTISEPTICS	0.00018741332133888076	0.0002144266232095377	-2.7013301870656937e-05
LINCOSAMIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; STREPTOGRAMIN A ANTIBIOTIC; STREPTOGRAMIN B ANTIBIOTIC; OXAZOLIDINONE ANTIBIOTIC; PHENICOL ANTIBIOTIC; PLEUROMUTILIN ANTIBIOTIC	0.0	4.288532464190754e-05	-4.288532464190754e-05
FLUOROQUINOLONE ANTIBIOTIC; AMINOGLYCOSIDE ANTIBIOTIC; DISINFECTING AGENTS AND ANTISEPTICS	0.0	4.288532464190754e-05	-4.288532464190754e-05
AMINOGLYCOSIDE ANTIBIOTIC; CEPHALOSPORIN; CEPHAMYCIN; PENAM	0.0	4.288532464190754e-05	-4.288532464190754e-05
MACROLIDE ANTIBIOTIC; FLUOROQUINOLONE ANTIBIOTIC; RIFAMYCIN ANTIBIOTIC	0.0	4.288532464190754e-05	-4.288532464190754e-05
GOLD	0.0	4.288532464190754e-05	-4.288532464190754e-05
RIFAMYCIN ANTIBIOTIC; ISONIAZID-LIKE ANTIBIOTIC	0.0	4.288532464190754e-05	-4.288532464190754e-05
COPPER/GOLD	0.0	4.288532464190754e-05	-4.288532464190754e-05
MACROLIDE ANTIBIOTIC; FLUOROQUINOLONE ANTIBIOTIC; MONOBACTAM; AMINOGLYCOSIDE ANTIBIOTIC; CARBAPENEM; CEPHALOSPORIN; CEPHAMYCIN; PENAM; TETRACYCLINE ANTIBIOTIC; PEPTIDE ANTIBIOTIC; AMINOCOUMARIN ANTIBIOTIC; DIAMINOPYRIMIDINE ANTIBIOTIC; SULFONAMIDE ANTIBIOTIC; PHENICOL ANTIBIOTIC; PENEM; DISINFECTING AGENTS AND ANTISEPTICS	0.0	4.288532464190754e-05	-4.288532464190754e-05
STREPTOGRAMIN ANTIBIOTIC; STREPTOGRAMIN B ANTIBIOTIC	0.0	4.288532464190754e-05	-4.288532464190754e-05
BICYCLOMYCIN-LIKE ANTIBIOTIC	0.0	4.288532464190754e-05	-4.288532464190754e-05
MACROLIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; PHOSPHONIC ACID ANTIBIOTIC	0.0	4.288532464190754e-05	-4.288532464190754e-05
LINCOSAMIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; OXAZOLIDINONE ANTIBIOTIC; PHENICOL ANTIBIOTIC; PLEUROMUTILIN ANTIBIOTIC	3.748266426777615e-05	8.577064928381508e-05	-4.828798501603893e-05
CARBAPENEM; PEPTIDE ANTIBIOTIC; AMINOCOUMARIN ANTIBIOTIC; RIFAMYCIN ANTIBIOTIC	3.748266426777615e-05	8.577064928381508e-05	-4.828798501603893e-05
ANTIBACTERIAL FREE FATTY ACIDS	7.49653285355523e-05	0.00012865597392572263	-5.3690645390170325e-05
MACROLIDE ANTIBIOTIC; FLUOROQUINOLONE ANTIBIOTIC; AMINOGLYCOSIDE ANTIBIOTIC; CARBAPENEM; CEPHALOSPORIN; PENAM; PEPTIDE ANTIBIOTIC; PENEM	7.49653285355523e-05	0.00012865597392572263	-5.3690645390170325e-05
MACROLIDE ANTIBIOTIC; GLYCYLCYCLINE; TETRACYCLINE ANTIBIOTIC	7.49653285355523e-05	0.00012865597392572263	-5.3690645390170325e-05
PHENICOL/OXAZOLIDINONE	0.005022677011882005	0.0051033536323869975	-8.067662050499289e-05
LINCOSAMIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; STREPTOGRAMIN A ANTIBIOTIC; STREPTOGRAMIN B ANTIBIOTIC; PLEUROMUTILIN ANTIBIOTIC	0.0	8.577064928381508e-05	-8.577064928381508e-05
MONOBACTAM; CARBAPENEM; CEPHALOSPORIN; CEPHAMYCIN; PENAM; PHENICOL ANTIBIOTIC; PENEM	0.0	8.577064928381508e-05	-8.577064928381508e-05
DISINFECTING AGENTS AND ANTISEPTICS; ISONIAZID-LIKE ANTIBIOTIC	0.0	8.577064928381508e-05	-8.577064928381508e-05
STX1	0.0	8.577064928381508e-05	-8.577064928381508e-05
PLEUROMUTILIN ANTIBIOTIC	0.0	8.577064928381508e-05	-8.577064928381508e-05
FLUOROQUINOLONE ANTIBIOTIC; DIAMINOPYRIMIDINE ANTIBIOTIC; PHENICOL ANTIBIOTIC	0.0002998613141422092	0.00038596792177716786	-8.610660763495864e-05
FLUOROQUINOLONE ANTIBIOTIC; MONOBACTAM; CARBAPENEM; CEPHALOSPORIN; GLYCYLCYCLINE; CEPHAMYCIN; PENAM; TETRACYCLINE ANTIBIOTIC; RIFAMYCIN ANTIBIOTIC; PHENICOL ANTIBIOTIC; PENEM; DISINFECTING AGENTS AND ANTISEPTICS	0.0002998613141422092	0.00038596792177716786	-8.610660763495864e-05
CHROMATE	0.00011244799280332846	0.0002144266232095377	-0.00010197863040620924
MACROLIDE ANTIBIOTIC; FLUOROQUINOLONE ANTIBIOTIC; CEPHALOSPORIN; CEPHAMYCIN; PENAM; TETRACYCLINE ANTIBIOTIC	0.0001499306570711046	0.00025731194785144526	-0.00010738129078034065
MACROLIDE ANTIBIOTIC; FLUOROQUINOLONE ANTIBIOTIC; MONOBACTAM; AMINOGLYCOSIDE ANTIBIOTIC; CARBAPENEM; CEPHALOSPORIN; CEPHAMYCIN; PENAM; TETRACYCLINE ANTIBIOTIC; PEPTIDE ANTIBIOTIC; AMINOCOUMARIN ANTIBIOTIC; DIAMINOPYRIMIDINE ANTIBIOTIC; SULFONAMIDE ANTIBIOTIC; PHENICOL ANTIBIOTIC; PENEM	0.0	0.00012865597392572263	-0.00012865597392572263
MACROLIDE ANTIBIOTIC; FLUOROQUINOLONE ANTIBIOTIC; AMINOGLYCOSIDE ANTIBIOTIC; CARBAPENEM; TETRACYCLINE ANTIBIOTIC	0.0	0.00012865597392572263	-0.00012865597392572263
MACROLIDE ANTIBIOTIC; DISINFECTING AGENTS AND ANTISEPTICS	0.0	0.00012865597392572263	-0.00012865597392572263
MACROLIDE ANTIBIOTIC; AMINOCOUMARIN ANTIBIOTIC	0.0	0.00012865597392572263	-0.00012865597392572263
MACROLIDE ANTIBIOTIC; LINCOSAMIDE ANTIBIOTIC; STREPTOGRAMIN ANTIBIOTIC; STREPTOGRAMIN A ANTIBIOTIC; TETRACYCLINE ANTIBIOTIC	3.748266426777615e-05	0.00017154129856763016	-0.000134058634299854
STX2	3.748266426777615e-05	0.00017154129856763016	-0.000134058634299854
MONOBACTAM; CEPHALOSPORIN	7.49653285355523e-05	0.0002144266232095377	-0.0001394612946739854
MACROLIDE ANTIBIOTIC; AMINOGLYCOSIDE ANTIBIOTIC; CEPHALOSPORIN; TETRACYCLINE ANTIBIOTIC; PEPTIDE ANTIBIOTIC; RIFAMYCIN ANTIBIOTIC; DISINFECTING AGENTS AND ANTISEPTICS	7.49653285355523e-05	0.0002144266232095377	-0.0001394612946739854
CEPHALOSPORIN; CEPHAMYCIN; PENAM	0.00048727463548109	0.0006432798696286131	-0.00015600523414752312
MACROLIDE ANTIBIOTIC; FLUOROQUINOLONE ANTIBIOTIC; LINCOSAMIDE ANTIBIOTIC; CARBAPENEM; CEPHALOSPORIN; TETRACYCLINE ANTIBIOTIC; RIFAMYCIN ANTIBIOTIC; DIAMINOPYRIMIDINE ANTIBIOTIC; PHENICOL ANTIBIOTIC; PENEM	0.0	0.00017154129856763016	-0.00017154129856763016
NUCLEOSIDE ANTIBIOTIC; DISINFECTING AGENTS AND ANTISEPTICS	0.0002998613141422092	0.00047173857106098293	-0.0001718772569187737
