backbone_id	spread_label	visibility_expansion_label	dominant_genus	primary_replicon	dominant_mpf_type	amr_class_tokens	dominant_amr_gene_family
AA378	1	1	Escherichia	IncHI1B	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,COLISTIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,GLYCYLCYCLINE,MACROLIDE,MONOBACTAM,NITROFURAN,PENAM,PENEM,PHENICOL,PHENICOL/QUINOLONE,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AD723	0	0	Serratia	IncI1	MPF_F		
AA231	0	0	Pseudomonas	rep_cluster_283	MPF_I		
AA519	1	1	Cronobacter	rep_cluster_2335			
AB724	1	1	Staphylococcus	rep_cluster_1017		FOSFOMYCIN,PHOSPHONIC ACID	QACJ
AA372	1	1	Escherichia	IncI2	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,CEPHALOSPORIN,COLISTIN,FOSFOMYCIN,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,NUCLEOSIDE,PEPTIDE,PHENICOL,PHENICOL/QUINOLONE,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,STREPTOTHRICIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	MCR
AA452	1	1	Klebsiella	IncFII	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,CEPHALOSPORIN,FLUOROQUINOLONE,MONOBACTAM,PENAM,PENEM,PHENICOL,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AG719	0	0	Limosilactobacillus	rep_cluster_50		LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B	VATE
AA324	1	1	Escherichia	IncFIA	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,CEPHAMYCIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,FOSFOMYCIN,GLYCOPEPTIDE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MACROLIDE/STREPTOGRAMIN,MONOBACTAM,PENAM,PENEM,PHENICOL,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	AAC
AC030	1	1	Escherichia	IncFIA			CSSA
AA739	1	1	Enterobacter	IncHI2A	MPF_F	AMINOCOUMARIN,AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,CEPHALOSPORIN,CEPHAMYCIN,COLISTIN,DIAMINOPYRIMIDINE,EFFLUX,ELFAMYCIN,FLUOROQUINOLONE,FOSFOMYCIN,GLYCOPEPTIDE,GLYCYLCYCLINE,MACROLIDE,MACROLIDE/STREPTOGRAMIN,MONOBACTAM,NITROIMIDAZOLE,NUCLEOSIDE,OXACEPHEM,PENAM,PENEM,PEPTIDE,PHENICOL,PHOSPHONIC ACID,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	AAC
AA001	1	1	Citrobacter	IncL/M	MPF_I	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,FLUOROQUINOLONE,PHENICOL,QUINOLONE,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	BLAOXA
AB705	0	0	Acinetobacter			AMINOGLYCOSIDE	AADA
AC844	0	0	Aliivibrio	rep_cluster_1445			
AH321	0	0	Acetobacter				
AA768	0	0	Staphylococcus	rep_cluster_910		BETA-LACTAM,PENAM	QACA
AA742	1	1	Chlamydia	rep_cluster_308			
AD572	1	1	Streptococcus	rep_cluster_1188			
AG456	1	1	Escherichia			AMINOGLYCOSIDE,BETA-LACTAM	BLATEM
AD570	0	0	Streptococcus	rep_cluster_1188			
AB285	0	0	Streptococcus				
AF917	0	0	Pseudomonas				MERD
AC111	1	1	Xanthomonas	rep_cluster_156	MPF_T		
AC517	1	1	Erwinia	rep_cluster_1099			
AC281	1	1	Vibrio	IncC		AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,CEPHAMYCIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,MACROLIDE,MACROLIDE/STREPTOGRAMIN,PENAM,PHENICOL,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	AADA
AC969	1	1	Acinetobacter	rep_cluster_1218	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,BLEOMYCIN,MACROLIDE,MACROLIDE/STREPTOGRAMIN,PHENICOL,STREPTOGRAMIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AF535	1	1	Mesorhizobium		MPF_T		
AA229	0	0	Pseudomonas	rep_cluster_283			
AA840	1	1	Staphylococcus	rep_cluster_1017		AMINOGLYCOSIDE,BETA-LACTAM,FLUOROQUINOLONE,MACROLIDE,MACROLIDE/STREPTOGRAMIN,MUPIROCIN,MUPIROCIN-LIKE,NUCLEOSIDE,PENAM,STREPTOGRAMIN,STREPTOGRAMIN B,STREPTOTHRICIN,TRIMETHOPRIM	MSRA
AA086	0	0	Staphylococcus	rep_cluster_1017	MPF_T	BETA-LACTAM,DIAMINOPYRIMIDINE,MACROLIDE,MACROLIDE/STREPTOGRAMIN,PENAM,STREPTOGRAMIN,STREPTOGRAMIN B,TRIMETHOPRIM	MPHC
AF912	0	0	Pandoraea		MPF_T		
AB460	1	1	Salmonella	IncFIB	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM,CEPHALOSPORIN,DIAMINOPYRIMIDINE,MACROLIDE,MONOBACTAM,PENAM,PENEM,PHENICOL,PHENICOL/QUINOLONE,QUINOLONE,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	SPVD
AF909	0	0	Pandoraea		MPF_T		
AF910	0	0	Pandoraea	rep_cluster_226	MPF_T		
AC762	0	0	Planococcus	rep_cluster_644			
AA553	1	1	Klebsiella	IncFIA	MPF_I	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,CARBAPENEM,CEPHALOSPORIN,COLISTIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MACROLIDE/STREPTOGRAMIN,MONOBACTAM,PENAM,PENEM,PHENICOL,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	AAC
AA338	1	1	Escherichia	IncFIA	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,CEPHALOSPORIN,CEPHAMYCIN,COLISTIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,FOSFOMYCIN,GLYCOPEPTIDE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MACROLIDE/STREPTOGRAMIN,MONOBACTAM,PENAM,PENEM,PHENICOL,PHENICOL/QUINOLONE,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	MPHA
AD485	1	1	Klebsiella	rep_cluster_2350		AMINOGLYCOSIDE,BETA-LACTAM,DIAMINOPYRIMIDINE	AAC
AD158	1	1	Klebsiella	IncN	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,BLEOMYCIN,DIAMINOPYRIMIDINE,GLYCOPEPTIDE,LINCOSAMIDE,PHENICOL,QUINOLONE,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AA964	1	1	Klebsiella	IncFII	MPF_I	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,FLUOROQUINOLONE,GLYCOPEPTIDE,PHENICOL,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TRIMETHOPRIM	RMTF
AA442	1	1	Klebsiella	IncFIB	MPF_F	AMINOGLYCOSIDE,CARBAPENEM,CEPHALOSPORIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,MACROLIDE,PENAM,PENEM,PEPTIDE,PHENICOL	ARSA
AC330	0	0	Staphylococcus			TETRACYCLINE	TETK
AA770	0	0	Staphylococcus	rep_cluster_1118		BETA-LACTAM,FUSIDIC ACID,PENAM,TETRACYCLINE	PC
AH302	0	0	Kocuria				
AH061	0	0	Kocuria				
AF409	0	0	Kocuria				
AF408	0	0	Kocuria				
AA401	1	1	Klebsiella	IncFIB		AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,COLISTIN,FLUOROQUINOLONE,MACROLIDE,MACROLIDE/STREPTOGRAMIN,PHENICOL,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AD445	0	0	Klebsiella				CLPK
AG076	0	0	Leptolyngbya			PHOSPHONIC ACID	FOSXCC
AH230	0	0	Leptolyngbya				
AG077	0	0	Leptolyngbya			FLUOROQUINOLONE,TETRACYCLINE	ADEF
AH062	0	0	Pandoraea	rep_cluster_877			
AE520	0	0	Clostridium				
AH492	0	0	Leptospira				
AE068	0	0	Leptospira				
AE075	1	1	Fusobacterium	rep_cluster_677			
AD751	0	0	Acinetobacter	rep_cluster_1247			
AC260	0	0	Alcaligenes	rep_cluster_1547	MPF_T	AMINOGLYCOSIDE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,PHENICOL,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	SUL
AA851	1	1	Staphylococcus	rep_cluster_1017		AMINOGLYCOSIDE,BETA-LACTAM,MACROLIDE,MACROLIDE/STREPTOGRAMIN,NUCLEOSIDE,PENAM,STREPTOGRAMIN,STREPTOGRAMIN B,STREPTOTHRICIN	CADD
AF960	0	0	Fusobacterium				
AH119	0	0	Candidatus_Tenderia				
AB653	0	0	Rickettsia	rep_cluster_16			
AF363	0	0	Rickettsia				
AA400	1	1	Klebsiella	IncFIB	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,CEPHALOSPORIN,CEPHAMYCIN,COLISTIN,FLUOROQUINOLONE,GLYCOPEPTIDE,PENAM,PHENICOL,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AC295	0	0	Comamonas	rep_cluster_455		AMINOGLYCOSIDE,BETA-LACTAM,DIAMINOPYRIMIDINE,MACROLIDE,SULFONAMIDE,TRIMETHOPRIM	QACG
AF428	1	1	Burkholderia	rep_cluster_1398	MPF_T	FLUOROQUINOLONE,TETRACYCLINE	ADEF
AG555	0	0	Bacillus	rep_cluster_125	MPF_T		
AB217	0	0	Sphingopyxis	rep_cluster_2256			
AC633	0	0	Sphingopyxis	rep_cluster_2265	MPF_F	FLUOROQUINOLONE,GLYCOPEPTIDE,SULFONAMIDE,TETRACYCLINE	ADEF
AG419	0	0	Microbacterium				
AG418	0	0	Microbacterium	rep_cluster_1579			
AD419	0	0	Lactobacillus	rep_cluster_589			
AF815	0	0	Lactobacillus				
AF258	0	0	Lactobacillus				
AD467	0	0	Lactobacillus				
AD468	0	0	Lactobacillus				
AB146	0	0	Persicobacter	rep_cluster_1992			
AF442	0	0	Persicobacter				
AG942	0	0	Persicobacter	rep_cluster_923			
AB822	0	0	Persicobacter	Inc18	MPF_T		
AB742	1	1	Clostridium	rep_cluster_1519		LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,TETRACYCLINE	CPB
AE381	1	1	Persicobacter	rep_cluster_366		LINCOSAMIDE,MACROLIDE,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B	ERMG
AG057	0	0	Persicobacter	rep_cluster_1747			
AG367	0	0	Persicobacter				
AE935	0	0	Persicobacter		MPF_I	FLUOROQUINOLONE,TETRACYCLINE	ADEF
AB932	1	1	Sphingopyxis	rep_cluster_1168	MPF_T		
AB927	0	0	Sphingopyxis	rep_cluster_736	MPF_T	FLUOROQUINOLONE,TETRACYCLINE	ADEF
AC442	0	0	Sphingopyxis	rep_cluster_1617	MPF_T	AMINOGLYCOSIDE,SULFONAMIDE	AAC
AB220	0	0	Sphingopyxis	rep_cluster_542			
AD655	0	0	Actibacterium	rep_cluster_579	MPF_T		
AD241	0	0	Actibacterium	rep_cluster_160	MPF_T		
AD385	0	0	Actibacterium	rep_cluster_599	MPF_T		
AB410	1	1	Halanaeroarchaeum	rep_cluster_1656	MPF_T		CLPK
AA728	0	0	Piscirickettsia	rep_cluster_1053			
AD942	0	0	Piscirickettsia	rep_cluster_1856			
AA730	0	0	Piscirickettsia	rep_cluster_1053			
AA733	0	0	Piscirickettsia				
AG446	1	1	Ralstonia	rep_cluster_213	MPF_T	FLUOROQUINOLONE,TETRACYCLINE	ADEF
AA162	1	1	Salmonella	rep_cluster_2350		AMINOGLYCOSIDE,BETA-LACTAM	APH
AA316	1	1	Salmonella	IncFIA	MPF_F	AMINOGLYCOSIDE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,COLISTIN,FLUOROQUINOLONE,FOSFOMYCIN,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MONOBACTAM,PENAM,PENEM,PEPTIDE,PHENICOL,PHENICOL/QUINOLONE,QUINOLONE,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	AADA
AA627	1	1	Salmonella	IncC	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,CEPHALOSPORIN,CEPHAMYCIN,COLISTIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,FOSFOMYCIN,GLYCOPEPTIDE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MACROLIDE/STREPTOGRAMIN,MONOBACTAM,PENAM,PENEM,PHENICOL,PHENICOL/QUINOLONE,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AH442	0	0	Arthrobacter				
AA729	0	0	Piscirickettsia				
AC956	0	0	Piscirickettsia	rep_cluster_737			
AA731	0	0	Piscirickettsia	rep_cluster_1053			
AD943	0	0	Piscirickettsia	rep_cluster_715			
AA035	1	1	Klebsiella	IncFIB	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,COLISTIN,ELFAMYCIN,FLUOROQUINOLONE,MACROLIDE,PENAM,PHENICOL,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	YFDX
AA336	1	1	Escherichia	IncFIA	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CARBAPENEM,CEPHALOSPORIN,CEPHAMYCIN,COLISTIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,FOSFOMYCIN,GLYCOPEPTIDE,LINCOSAMIDE,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,MACROLIDE,MONOBACTAM,PENAM,PENEM,PHENICOL,QUINOLONE,RIFAMYCIN,STREPTOGRAMIN,STREPTOGRAMIN A,STREPTOGRAMIN B,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	BLATEM
AB777	0	0	Clavibacter		MPF_T		
AE707	0	0	Clavibacter	rep_cluster_204			
AE249	1	1	Acinetobacter	rep_cluster_481	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,BLEOMYCIN,DIAMINOPYRIMIDINE,FLUOROQUINOLONE,MACROLIDE,MACROLIDE/STREPTOGRAMIN,NUCLEOSIDE,PENAM,PHENICOL,STREPTOGRAMIN,STREPTOTHRICIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AD046	0	0	Candidatus_Profftella	rep_cluster_1361			
AG137	1	1	Bacillus				
AD592	0	0	Bacillus	rep_cluster_1836			
AD595	0	0	Bacillus				
AG431	0	0	Streptomyces	rep_cluster_1910			
AB085	0	0	Sphingopyxis	rep_cluster_694	MPF_F	FLUOROQUINOLONE,TETRACYCLINE	ADEF
AF587	0	0	Corynebacterium				
AG359	0	0	Corynebacterium				
AA833	1	1	Cronobacter	IncFIB	MPF_F		PCOB
AD164	1	1	Cronobacter	IncFIB		AMINOGLYCOSIDE,BETA-LACTAM,CARBAPENEM,CEPHALOSPORIN,CEPHAMYCIN,FLUOROQUINOLONE,MACROLIDE,PENAM,PEPTIDE,PHENICOL,QUINOLONE,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	CPA
AA756	1	1	Cronobacter	rep_cluster_763			
AG573	0	0	Anabaena	rep_cluster_1727			
AD162	0	0	Cronobacter	IncFIB			ARSA
AD161	0	0	Cronobacter	IncFIB			
AD166	0	0	Cronobacter	IncFIB			
AD105	0	0	Spiroplasma				
AE692	0	0	Spiroplasma				
AB648	0	0	Rickettsia	rep_cluster_41			
AB040	1	1	Enterobacter	rep_cluster_2335		QUINOLONE	QNRB
AG640	1	1	Enterobacter	rep_cluster_1778		BETA-LACTAM	BLAKPC
AA514	1	1	Enterobacter	rep_cluster_2335			
AB978	1	1	Enterobacter	rep_cluster_1367	MPF_T	AMINOGLYCOSIDE,BETA-LACTAM,CARBAPENEM,CEPHALOSPORIN,MONOBACTAM,PENAM,PENEM,QUINOLONE,SULFONAMIDE	BLATEM
AA622	1	1	Enterobacter	IncA	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,FLUOROQUINOLONE,MACROLIDE,PHENICOL,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	SUL
AA424	1	1	Enterobacter	IncFIB	MPF_F	AMINOGLYCOSIDE,AMINOGLYCOSIDE/QUINOLONE,BETA-LACTAM,BLEOMYCIN,CEPHALOSPORIN,COLISTIN,FLUOROQUINOLONE,GLYCOPEPTIDE,MONOBACTAM,PENAM,PENEM,PHENICOL,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	APH
AB169	1	1	Enterobacter	rep_cluster_1444		AMINOGLYCOSIDE,BETA-LACTAM,PHENICOL,QUINOLONE,RIFAMYCIN,SULFONAMIDE,TETRACYCLINE,TRIMETHOPRIM	BLALAP
AC689	0	0	Chelatococcus	rep_cluster_841	MPF_T	CARBAPENEM,FLUOROQUINOLONE,PENAM,TETRACYCLINE	ADEF
AF420	0	0	Streptomyces				
AE202	0	0	Candidatus_Palibaumannia	rep_cluster_1539			
AA539	1	1	Enterobacter	ColRNAI_rep_cluster_1987			
AC753	0	0	Lactobacillus	rep_cluster_556			
