feature_group	feature_value	n_backbones_with_feature	positive_with_feature	negative_with_feature	positive_without_feature	negative_without_feature	odds_ratio	p_value	prevalence_with_feature	prevalence_without_feature	prevalence_delta	positive_prevalence	q_value	enriched_in_positive
amr_class	BETA-LACTAM	110	87	23	275	604	8.30798418972332	7.250828935429922e-22	0.7909090909090909	0.31285551763367464	0.47805357327541625	0.3660262891809909	6.45323775253263e-20	True
dominant_genus	Escherichia	56	51	5	311	622	20.4	2.684119710770059e-18	0.9107142857142857	0.3333333333333333	0.5773809523809523	0.3660262891809909	1.1944332712926764e-16	True
amr_class	AMINOGLYCOSIDE	120	84	36	278	591	4.960431654676259	2.9899113751837133e-15	0.7	0.31990794016110474	0.3800920598388952	0.3660262891809909	8.870070413045017e-14	True
dominant_genus	Klebsiella	55	46	9	316	618	9.995780590717299	2.1364021358891005e-13	0.8363636363636363	0.33832976445396146	0.49803387190967485	0.3660262891809909	4.753494752353249e-12	True
amr_class	SULFONAMIDE	68	52	16	310	611	6.405645161290322	4.7638519974711494e-12	0.7647058823529411	0.33659066232356133	0.4281152200293798	0.3660262891809909	8.479656555498646e-11	True
dominant_mpf_type	MPF_F	78	57	21	305	606	5.392974238875878	1.0638227547187104e-11	0.7307692307692307	0.33479692645444564	0.3959723043147851	0.3660262891809909	1.5780037528327537e-10	True
genus_amr_class	Escherichia + BETA-LACTAM	21	21	0	341	627	inf	4.675026178594868e-10	1.0	0.3522727272727273	0.6477272727272727	0.3660262891809909	5.943961855642046e-09	True
amr_class	QUINOLONE	24	23	1	339	626	42.471976401179944	9.223427516059973e-10	0.9583333333333334	0.35129533678756475	0.6070379965457686	0.3660262891809909	1.026106311161672e-08	True
primary_replicon	IncFIB	38	32	6	330	621	10.036363636363637	1.0426219888379978e-09	0.8421052631578947	0.3470031545741325	0.4951021085837622	0.3660262891809909	1.0310373000731311e-08	True
amr_class	TETRACYCLINE	94	62	32	300	595	3.8427083333333334	1.6775337921597758e-09	0.6595744680851063	0.33519553072625696	0.3243789373588494	0.3660262891809909	1.4930050750222006e-08	True
amr_class	TRIMETHOPRIM	54	41	13	321	614	6.032590462497004	1.9341309401699354e-09	0.7592592592592593	0.3433155080213904	0.4159437512378689	0.3660262891809909	1.564887760682948e-08	True
amr_class	PENAM	44	35	9	327	618	7.349643221202855	4.346764253299826e-09	0.7954545454545454	0.346031746031746	0.4494227994227994	0.3660262891809909	3.2238501545307045e-08	True
genus_amr_class	Escherichia + SULFONAMIDE	17	17	0	345	627	inf	2.978977956112596e-08	1.0	0.3549382716049383	0.6450617283950617	0.3660262891809909	2.039454139184777e-07	True
amr_class	PHENICOL	52	38	14	324	613	5.135361552028218	5.5665943076658846e-08	0.7307692307692307	0.3457844183564568	0.38498481241277394	0.3660262891809909	3.302845955881758e-07	True
amr_class	MACROLIDE	61	43	18	319	609	4.5606060606060606	5.554244884012621e-08	0.7049180327868853	0.34375	0.36116803278688525	0.3660262891809909	3.302845955881758e-07	True
genus_amr_class	Klebsiella + AMINOGLYCOSIDE	25	22	3	340	624	13.458823529411765	1.1073329454643172e-07	0.88	0.35269709543568467	0.5273029045643154	0.3660262891809909	6.159539509145265e-07	True
genus_amr_class	Escherichia + AMINOGLYCOSIDE	19	18	1	344	626	32.75581395348837	1.3347043498901126e-07	0.9473684210526315	0.354639175257732	0.5927292457948996	0.3660262891809909	6.987569831777649e-07	True
genus_amr_class	Klebsiella + BETA-LACTAM	27	23	4	339	623	10.567109144542773	1.9713645024741577e-07	0.8518518518518519	0.3523908523908524	0.4994609994609995	0.3660262891809909	9.747302262233335e-07	True
replicon_amr_class	IncFIB + BETA-LACTAM	15	15	0	347	627	inf	2.351437896223467e-07	1.0	0.35626283367556466	0.6437371663244353	0.3660262891809909	1.1014630145467818e-06	True
dominant_genus	Salmonella	29	24	5	338	622	8.833136094674556	3.106913528126579e-07	0.8275862068965517	0.35208333333333336	0.47550287356321835	0.3660262891809909	1.3825765200163275e-06	True
primary_replicon	IncFIA	21	19	2	343	625	17.310495626822156	3.469584989748809e-07	0.9047619047619048	0.3543388429752066	0.5504230617866981	0.3660262891809909	1.4704431623221144e-06	True
