feature_group	feature_value	n_backbones_with_feature	positive_with_feature	negative_with_feature	positive_without_feature	negative_without_feature	odds_ratio	p_value	prevalence_with_feature	prevalence_without_feature	prevalence_delta	positive_prevalence	q_value	enriched_in_positive	log2_odds_ratio
amr_class	BETA-LACTAM	176	139	37	223	590	9.939401284692764	4.609396208266681e-37	0.7897727272727273	0.2742927429274293	0.515479984345298	0.3660262891809909	8.250819212797356e-35	True	3.3131589514234565
amr_class	AMINOGLYCOSIDE	203	150	53	212	574	7.662869348522606	3.1403763452443273e-34	0.7389162561576355	0.2697201017811705	0.4691961543764649	0.3660262891809909	2.8106368289936727e-32	True	2.9378847080451704
amr_class	QUINOLONE	78	74	4	288	623	40.01909722222222	8.678750021402497e-30	0.9487179487179488	0.3161361141602634	0.6325818345576852	0.3660262891809909	5.17832084610349e-28	True	5.322616717210639
dominant_genus	Escherichia	56	51	5	311	622	20.4	2.684119710770059e-18	0.9107142857142856	0.3333333333333333	0.5773809523809523	0.3660262891809909	2.6692079345991138e-17	True	4.350497247084133
dominant_mpf_type	MPF_F	94	70	24	292	603	6.023116438356165	4.871135608246225e-15	0.7446808510638298	0.3262569832402234	0.4184238678236063	0.3660262891809909	4.1605763549938134e-14	True	2.590510149243878
dominant_genus	Klebsiella	55	46	9	316	618	9.9957805907173	2.1364021358891005e-13	0.8363636363636363	0.3383297644539614	0.4980338719096748	0.3660262891809909	1.7382544651097685e-12	True	3.321319234341972
genus_amr_class	Escherichia + BETA-LACTAM	38	35	3	327	624	22.262996941896024	4.438981152624223e-13	0.9210526315789472	0.3438485804416404	0.5772040511373069	0.3660262891809909	3.4546853318249386e-12	True	4.476575909587976
genus_amr_class	Escherichia + AMINOGLYCOSIDE	31	30	1	332	626	56.566265060240966	7.51320496043386e-13	0.967741935483871	0.3465553235908142	0.6211866118930568	0.3660262891809909	5.603598699656919e-12	True	5.821870011194212
genus_amr_class	Escherichia + SULFONAMIDE	26	26	0	336	627	inf	2.488171649938855e-12	1.0	0.3489096573208722	0.6510903426791277	0.3660262891809909	1.6495656494039076e-11	True	29.897352853986263
replicon_amr_class	IncFIB + SULFONAMIDE	26	26	0	336	627	inf	2.488171649938855e-12	1.0	0.3489096573208722	0.6510903426791277	0.3660262891809909	1.6495656494039076e-11	True	29.897352853986263
replicon_amr_class	IncFIB + BETA-LACTAM	25	25	0	337	627	inf	7.117499912584733e-12	1.0	0.3495850622406639	0.6504149377593361	0.3660262891809909	4.3932154632850586e-11	True	29.897352853986263
replicon_amr_class	IncFIB + AMINOGLYCOSIDE	28	27	1	335	626	50.45373134328358	1.614555102225464e-11	0.9642857142857144	0.3485952133194589	0.6156905009662554	0.3660262891809909	9.031417603073687e-11	True	5.656889063750952
primary_replicon	IncFIB	38	32	6	330	621	10.036363636363635	1.0426219888379978e-09	0.8421052631578947	0.3470031545741325	0.4951021085837622	0.3660262891809909	3.9708369362128015e-09	True	3.3271647432535096
dominant_amr_gene_family	AAC	35	29	6	333	621	9.013513513513514	1.4663072984394083e-08	0.8285714285714286	0.3490566037735849	0.4795148247978437	0.3660262891809909	4.233371071300873e-08	True	3.1720895855556352
primary_replicon	IncFIA	24	22	2	340	625	20.220588235294116	2.002133376668684e-08	0.9166666666666666	0.3523316062176165	0.56433506044905	0.3660262891809909	5.4300284003590084e-08	True	4.337753062049045
dominant_genus	Salmonella	29	24	5	338	622	8.833136094674556	3.106913528126579e-07	0.8275862068965517	0.3520833333333333	0.4755028735632183	0.3660262891809909	6.865895327588365e-07	True	3.142925739682212
dominant_amr_gene_family	APH	44	32	12	330	615	4.96969696969697	1.1139259504682535e-06	0.7272727272727273	0.3492063492063492	0.3780663780663781	0.3660262891809909	2.2154749459313045e-06	True	2.3131578852596304
primary_replicon	rep_cluster_2350	12	11	1	351	626	19.618233618233617	0.00011538603259	0.9166666666666666	0.3592630501535312	0.5574036165131354	0.3660262891809909	0.0001626307073512	True	4.294123245265355
dominant_mpf_type	MPF_I	17	13	4	349	623	5.801575931232092	0.0012757321871889	0.7647058823529411	0.3590534979423868	0.4056523844105543	0.3660262891809909	0.0017169628684723	True	2.536444844955442
dominant_mpf_type	MPF_T	209	96	113	266	514	1.6416261893672233	0.0020787885790927	0.4593301435406698	0.341025641025641	0.1183045025150288	0.3660262891809909	0.0026963996786782	True	0.7151256519986569
