model_name	count_column	status	n_backbones	spearman_corr	spearman_ci_lower	spearman_ci_upper	pearson_corr	mean_count_top_25	median_count_top_25	mean_count_overall	median_count_overall
bio_clean_priority	n_new_countries_recomputed	ok	989	0.46964202377998354	0.41486450170227773	0.5205634842573909	0.46041009381432424	9.44	8.0	3.5551061678463096	2.0
parsimonious_priority	n_new_countries_recomputed	ok	989	0.4782432742974997	0.4233030350190421	0.5280760090283134	0.47999565100852326	10.84	8.0	3.5551061678463096	2.0
natural_auc_priority	n_new_countries_recomputed	ok	989	0.5462456402362267	0.49789414476965227	0.590094445391834	0.5144855849336905	14.52	12.0	3.5551061678463096	2.0
knownness_robust_priority	n_new_countries_recomputed	ok	989	0.5769161436567326	0.5294441749277764	0.621565695266752	0.5332564630276286	14.56	14.0	3.5551061678463096	2.0
support_calibrated_priority	n_new_countries_recomputed	ok	989	0.5853772423125272	0.5410701750187955	0.6279216780732421	0.5481825165747648	15.04	12.0	3.5551061678463096	2.0
support_synergy_priority	n_new_countries_recomputed	ok	989	0.6237078190887912	0.5797109569983989	0.6619436031905384	0.5723695399065826	14.48	12.0	3.5551061678463096	2.0
host_transfer_synergy_priority	n_new_countries_recomputed	ok	989	0.5800147518723382	0.5327945355678799	0.6224423534087047	0.533737674161045	14.92	14.0	3.5551061678463096	2.0
ecology_clinical_priority	n_new_countries_recomputed	ok	989	0.5709817451578204	0.5211255010764211	0.6144707735840838	0.5486316243682084	14.52	12.0	3.5551061678463096	2.0
adaptive_natural_priority	n_new_countries_recomputed	ok	989	0.581969516652884	0.5338661880280433	0.6247891833436273	0.5338889020048411	14.52	12.0	3.5551061678463096	2.0
adaptive_knownness_robust_priority	n_new_countries_recomputed	ok	989	0.592209255187335	0.5454276138603706	0.6317007767731002	0.5380920777274542	14.56	14.0	3.5551061678463096	2.0
adaptive_knownness_blend_priority	n_new_countries_recomputed	ok	989	0.5883184324561176	0.5408796278007191	0.629208432911073	0.5419866443341844	14.56	14.0	3.5551061678463096	2.0
adaptive_support_calibrated_blend_priority	n_new_countries_recomputed	ok	989	0.5961135001470235	0.548561842665138	0.6368910901010969	0.5536011794862425	15.04	12.0	3.5551061678463096	2.0
adaptive_support_synergy_blend_priority	n_new_countries_recomputed	ok	989	0.6217520387691159	0.5761431221489544	0.6596116968859704	0.579790057779241	14.48	12.0	3.5551061678463096	2.0
adaptive_host_transfer_synergy_blend_priority	n_new_countries_recomputed	ok	989	0.5904834238923244	0.5420590466784346	0.6318529052828253	0.543473795471099	14.92	14.0	3.5551061678463096	2.0
adaptive_threat_architecture_blend_priority	n_new_countries_recomputed	ok	989	0.5667556268467229	0.520545828298763	0.6095931075419279	0.5176695200829257	12.36	12.0	3.5551061678463096	2.0
baseline_both	n_new_countries_recomputed	ok	989	0.42691355866868747	0.3719162900182642	0.4804332919931749	0.5138376332811325	14.32	11.0	3.5551061678463096	2.0
