model_name	ordinal_column	status	n_backbones	spearman_corr	pearson_corr	mean_ordinal_top_25	mean_ordinal_overall
bio_clean_priority	spread_severity_bin	ok	989	0.451854300795095	0.4782236809743986	2.48	1.2922143579373104
parsimonious_priority	spread_severity_bin	ok	989	0.46222359147479763	0.4947866919234761	2.68	1.2922143579373104
natural_auc_priority	spread_severity_bin	ok	989	0.5288800155402851	0.5394034803389091	2.84	1.2922143579373104
knownness_robust_priority	spread_severity_bin	ok	989	0.5584158821717793	0.5779378681705233	2.68	1.2922143579373104
support_calibrated_priority	spread_severity_bin	ok	989	0.565657277162048	0.5881326806252513	2.84	1.2922143579373104
support_synergy_priority	spread_severity_bin	ok	989	0.6023990691478246	0.622509437901619	2.96	1.2922143579373104
host_transfer_synergy_priority	spread_severity_bin	ok	989	0.5607135821250662	0.576801669896033	2.76	1.2922143579373104
ecology_clinical_priority	spread_severity_bin	ok	989	0.5505543944722058	0.5570176560792444	2.64	1.2922143579373104
adaptive_natural_priority	spread_severity_bin	ok	989	0.5645507029631472	0.5680212871572901	2.84	1.2922143579373104
adaptive_knownness_robust_priority	spread_severity_bin	ok	989	0.5754771893139659	0.5850612324244369	2.68	1.2922143579373104
adaptive_knownness_blend_priority	spread_severity_bin	ok	989	0.5707253778889448	0.5884385585924062	2.68	1.2922143579373104
adaptive_support_calibrated_blend_priority	spread_severity_bin	ok	989	0.577825886830123	0.5960576954076097	2.84	1.2922143579373104
adaptive_support_synergy_blend_priority	spread_severity_bin	ok	989	0.6025006588962195	0.6227381524096002	2.96	1.2922143579373104
adaptive_host_transfer_synergy_blend_priority	spread_severity_bin	ok	989	0.5734430118397127	0.5879420994178911	2.76	1.2922143579373104
adaptive_threat_architecture_blend_priority	spread_severity_bin	ok	989	0.5517904868863865	0.5673780665271366	2.8	1.2922143579373104
baseline_both	spread_severity_bin	ok	989	0.41057764604243896	0.4956251200751112	2.72	1.2922143579373104
