pathogen_dataset	backbone_id	priority_group	priority_index	selection_score	selection_score_column	dominant_species	dominant_genus	top_amr_genes	top_amr_classes	pd_species_record_count	pd_matching_record_count	pd_matching_fraction	pd_matching_gene_count	pd_matched_genes	pd_top_locations	pd_any_support
environmental	AA551	high	0.8789900797683897	0.9996370109127012	primary_model_oof_prediction	Escherichia_coli	Escherichia	blaTEM-1,tet(A),aph(6)-Id,aph(3'')-Ib,blaCTX-M-1	BETA-LACTAM,AMINOGLYCOSIDE,TETRACYCLINE,AMINOGLYCOSIDE ANTIBIOTIC,SULFONAMIDE	86981	35612	0.4094227474965797	5	aph(3'')-Ib,aph(6)-Id,blaCTX-M-1,blaTEM-1,tet(A)	USA:2730,USA:PA:1334,USA:CA:1229	True
environmental	AC247	high	0.6578639856623641	0.9742972181534856	primary_model_oof_prediction	Escherichia_coli	Escherichia	tet(A),blaTEM-1,APH(3'')-Ib,aph(6)-Id,blaTEM-135	TETRACYCLINE,TETRACYCLINE ANTIBIOTIC,BETA-LACTAM,AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC	86981	35261	0.4053873834515584	4	aph(6)-Id,blaTEM-1,blaTEM-135,tet(A)	USA:2618,USA:PA:1330,USA:CA:1229	True
environmental	AB595	high	0.8464496988718903	0.9816639636699194	primary_model_oof_prediction	Escherichia_coli	Escherichia	sul2,aph(6)-Id,aph(3'')-Ib,tet(A),APH(3'')-Ib	SULFONAMIDE,AMINOGLYCOSIDE,TETRACYCLINE,AMINOGLYCOSIDE ANTIBIOTIC,TRIMETHOPRIM	86981	34540	0.3970982168519562	4	aph(3'')-Ib,aph(6)-Id,sul2,tet(A)	USA:2594,USA:PA:1298,USA:CA:1217	True
environmental	AA998	high	0.9533181488895788	0.9995815708637938	primary_model_oof_prediction	Escherichia_coli	Escherichia	blaTEM-1,floR,sul2,tet(B),tetR	AMINOGLYCOSIDE,TETRACYCLINE,BETA-LACTAM,PHENICOL,SULFONAMIDE	86981	33279	0.3826007978753981	4	blaTEM-1,floR,sul2,tet(B)	USA:2551,USA:PA:1371,USA:CA:1171	True
environmental	AA473	high	0.8786978848167143	0.9994482856972096	primary_model_oof_prediction	Escherichia_coli	Escherichia	tet(A),aadA22,ErmB,erm(B),aph(3'')-Ib	AMINOGLYCOSIDE,BETA-LACTAM,TETRACYCLINE,SULFONAMIDE,AMINOGLYCOSIDE ANTIBIOTIC	86981	32209	0.3702992607580966	4	aadA22,aph(3'')-Ib,erm(B),tet(A)	USA:2457,USA:PA:1219,USA:CA:1137	True
environmental	AA319	high	0.887663265580982	0.9774082592844732	primary_model_oof_prediction	Escherichia_coli	Escherichia	iroB,iroD,iroE,tet(A),aph(3'')-Ib	AMINOGLYCOSIDE,SULFONAMIDE,TETRACYCLINE,BETA-LACTAM,AMINOGLYCOSIDE ANTIBIOTIC	86981	31842	0.3660799484944988	2	aph(3'')-Ib,tet(A)	USA:2450,USA:PA:1209,USA:CA:1136	True
environmental	AB229	high	0.7926086834530762	0.9855238467626004	primary_model_oof_prediction	Escherichia_coli	Escherichia	blaTEM-1,aph(3'')-Ib,aph(6)-Id,tet(B),tetR	BETA-LACTAM,AMINOGLYCOSIDE,TETRACYCLINE,TETRACYCLINE ANTIBIOTIC,BLEOMYCIN	86981	31468	0.3617801588852738	4	aph(3'')-Ib,aph(6)-Id,blaTEM-1,tet(B)	USA:2522,USA:PA:1373,USA:CA:1139	True
environmental	AC305	high	0.9074769929364256	0.9820933772519778	primary_model_oof_prediction	Escherichia_coli	Escherichia	tet(A),floR,aph(3')-Ia,qnrS1,aadA2	AMINOGLYCOSIDE,TETRACYCLINE,PHENICOL,BETA-LACTAM,QUINOLONE	86981	28468	0.3272898679021855	5	aadA2,aph(3')-Ia,floR,qnrS1,tet(A)	USA:1981,USA:PA:1040,USA:CA:917	True
environmental	AC082	high	0.6202905376909498	0.8851387879448829	primary_model_oof_prediction	Escherichia_coli	Escherichia	merC,merT,qacEdelta1,sul1,aph(3'')-Ib	MERCURY,SULFONAMIDE,AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC,QUATERNARY AMMONIUM	86981	25756	0.2961106448534737	2	aph(3'')-Ib,sul1	USA:2279,USA:PA:1119,USA:CA:980	True
environmental	AA282	high	0.8170378390665459	0.9908951589771756	primary_model_oof_prediction	Escherichia_coli	Escherichia	blaCTX-M-14,sul2,qacEdelta1,sul1,Mrx	BETA-LACTAM,AMINOGLYCOSIDE,SULFONAMIDE,TRIMETHOPRIM,QUATERNARY AMMONIUM	86981	24868	0.2859015187224796	3	blaCTX-M-14,sul1,sul2	USA:2093,USA:PA:1022,USA:CA:861	True
environmental	AA352	high	0.8946499103584249	0.9481986702758848	primary_model_oof_prediction	Escherichia_coli	Escherichia	senB,aph(3'')-Ib,aph(6)-Id,sul2,merC	AMINOGLYCOSIDE,BETA-LACTAM,SULFONAMIDE,MERCURY,MACROLIDE	86981	24856	0.2857635575585472	3	aph(3'')-Ib,aph(6)-Id,sul2	USA:2125,USA:PA:953,USA:CA:897	True
environmental	AA323	high	0.937850059829916	0.9950989122465104	primary_model_oof_prediction	Escherichia_coli	Escherichia	dfrA12,qacEdelta1,sul1,ble,blaTEM-1	BETA-LACTAM,AMINOGLYCOSIDE,TRIMETHOPRIM,AMINOGLYCOSIDE ANTIBIOTIC,SULFONAMIDE	86981	24001	0.2759338246283671	4	blaTEM-1,ble,dfrA12,sul1	USA:1576,USA:PA:950,USA:CA:782	True
environmental	AA304	high	0.6748748755085202	0.9993382728378798	primary_model_oof_prediction	Escherichia_coli	Escherichia	tet(B),tetR,astA,aadA,aadA1	TETRACYCLINE,TETRACYCLINE ANTIBIOTIC,AMINOGLYCOSIDE,BETA-LACTAM,AMINOGLYCOSIDE ANTIBIOTIC	86981	23675	0.2721858796748715	2	aadA1,tet(B)	USA:1918,USA:PA:1041,USA:CA:933	True
environmental	AD529	high	0.8078847024268926	0.9105529093660673	primary_model_oof_prediction	Escherichia_coli	Escherichia	blaTEM-1,aac(6')-Ib,aadA,aadA1,blaOXA-9	BETA-LACTAM,AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC,TETRACYCLINE,AMINOGLYCOSIDE/QUINOLONE	86981	23323	0.2681390188661892	4	aac(6')-Ib,aadA1,blaOXA-9,blaTEM-1	USA:1439,USA:PA:804,Canada:Quebec:682	True
environmental	AA338	high	0.936809190944183	0.9947223328294464	primary_model_oof_prediction	Escherichia_coli	Escherichia	mphA,Mrx,mph(A),sul1,blaTEM-1	BETA-LACTAM,AMINOGLYCOSIDE,MACROLIDE ANTIBIOTIC,MACROLIDE,AMINOGLYCOSIDE ANTIBIOTIC	86981	23281	0.2676561547924259	3	blaTEM-1,mph(A),sul1	USA:1651,USA:PA:905,USA:CA:762	True
environmental	AA626	high	0.897647269412825	0.9976267712087082	primary_model_oof_prediction	Escherichia_coli	Escherichia	BRP(MBL),blaNDM-1,ble,sul1,blaTEM-1	BETA-LACTAM,BLEOMYCIN,GLYCOPEPTIDE ANTIBIOTIC,SULFONAMIDE,AMINOGLYCOSIDE	86981	23213	0.2668743748634759	4	blaNDM-1,blaTEM-1,ble,sul1	USA:1565,USA:PA:938,USA:CA:749	True
environmental	AC509	high	0.6199904361507699	0.9868149214703448	primary_model_oof_prediction	Escherichia_coli	Escherichia	blaTEM-1,aph(3')-Ia,mcr-5.1	BETA-LACTAM,AMINOGLYCOSIDE,COLISTIN	86981	20181	0.2320161874432347	3	aph(3')-Ia,blaTEM-1,mcr-5.1	USA:1454,USA:PA:879,USA:IA:563	True
environmental	AA316	high	0.8603431672204068	0.9912327484174912	primary_model_oof_prediction	Escherichia_coli	Escherichia	blaTEM-1,qnrS1,Mrx,mph(A),mphA	AMINOGLYCOSIDE,BETA-LACTAM,TETRACYCLINE,PHENICOL,MACROLIDE ANTIBIOTIC	86981	19781	0.2274174819788229	3	blaTEM-1,mph(A),qnrS1	USA:1193,USA:PA:698,China:Sichuan:475	True
environmental	AC320	high	0.7862035590229816	0.9598350197098348	primary_model_oof_prediction	Campylobacter_jejuni	Campylobacter	tet(O),aph(3')-IIIa,aad(6),SAT-4,sat4	TETRACYCLINE,AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC,NUCLEOSIDE ANTIBIOTIC,STREPTOTHRICIN	31371	18682	0.5955181537088394	3	aph(3')-IIIa,sat4,tet(O)	United Kingdom: United Kingdom:1216,USA:GA:1104,USA:CA:1043	True
environmental	AA336	high	0.850701471798215	0.9912316318696668	primary_model_oof_prediction	Escherichia_coli	Escherichia	blaTEM-1,blaCTX-M-14,Mrx,mph(A),mphA	BETA-LACTAM,AMINOGLYCOSIDE,SULFONAMIDE,TETRACYCLINE,MACROLIDE ANTIBIOTIC	86981	18288	0.210252813832906	3	blaCTX-M-14,blaTEM-1,mph(A)	USA:1193,USA:PA:700,USA:CA:452	True
environmental	AA667	high	0.7978514973337402	0.9782192844800408	primary_model_oof_prediction	Escherichia_coli	Escherichia	blaTEM-1,TEM-163,TEM-185,Mrx,mph(A)	BETA-LACTAM,MONOBACTAM; CEPHALOSPORIN; PENAM; PENEM,MACROLIDE,MACROLIDE ANTIBIOTIC,AMINOGLYCOSIDE	86981	17929	0.2061254756785965	2	blaTEM-1,mph(A)	USA:1167,USA:PA:696,USA:CA:452	True
