pathogen_dataset	backbone_id	priority_group	priority_index	selection_score	selection_score_column	dominant_species	dominant_genus	top_amr_genes	top_amr_classes	pd_species_record_count	pd_matching_record_count	pd_matching_fraction	pd_matching_gene_count	pd_matched_genes	pd_top_locations	pd_any_support
combined	AA551	high	0.8789900797683897	0.9996370109127012	primary_model_oof_prediction	Escherichia_coli	Escherichia	blaTEM-1,tet(A),aph(6)-Id,aph(3'')-Ib,blaCTX-M-1	BETA-LACTAM,AMINOGLYCOSIDE,TETRACYCLINE,AMINOGLYCOSIDE ANTIBIOTIC,SULFONAMIDE	259754	122158	0.4702834220069758	5	aph(3'')-Ib,aph(6)-Id,blaCTX-M-1,blaTEM-1,tet(A)	USA:10541,United Kingdom: United Kingdom:7817,Netherlands:3876	True
combined	AC247	high	0.6578639856623641	0.9742972181534856	primary_model_oof_prediction	Escherichia_coli	Escherichia	tet(A),blaTEM-1,APH(3'')-Ib,aph(6)-Id,blaTEM-135	TETRACYCLINE,TETRACYCLINE ANTIBIOTIC,BETA-LACTAM,AMINOGLYCOSIDE,AMINOGLYCOSIDE ANTIBIOTIC	259754	121369	0.4672459326901607	4	aph(6)-Id,blaTEM-1,blaTEM-135,tet(A)	USA:10425,United Kingdom: United Kingdom:7809,Netherlands:3721	True
combined	AA998	high	0.9533181488895788	0.9995815708637938	primary_model_oof_prediction	Escherichia_coli	Escherichia	blaTEM-1,floR,sul2,tet(B),tetR	AMINOGLYCOSIDE,TETRACYCLINE,BETA-LACTAM,PHENICOL,SULFONAMIDE	259754	116508	0.4485320726533566	4	blaTEM-1,floR,sul2,tet(B)	USA:10227,United Kingdom: United Kingdom:7531,Netherlands:3534	True
combined	AB229	high	0.7926086834530762	0.9855238467626004	primary_model_oof_prediction	Escherichia_coli	Escherichia	blaTEM-1,aph(3'')-Ib,aph(6)-Id,tet(B),tetR	BETA-LACTAM,AMINOGLYCOSIDE,TETRACYCLINE,TETRACYCLINE ANTIBIOTIC,BLEOMYCIN	259754	112690	0.4338335502051941	4	aph(3'')-Ib,aph(6)-Id,blaTEM-1,tet(B)	USA:10035,United Kingdom: United Kingdom:7582,Netherlands:3366	True
combined	AA323	high	0.937850059829916	0.9950989122465104	primary_model_oof_prediction	Escherichia_coli	Escherichia	dfrA12,qacEdelta1,sul1,ble,blaTEM-1	BETA-LACTAM,AMINOGLYCOSIDE,TRIMETHOPRIM,AMINOGLYCOSIDE ANTIBIOTIC,SULFONAMIDE	259754	107662	0.4144767741786459	4	blaTEM-1,ble,dfrA12,sul1	USA:9857,United Kingdom: United Kingdom:6696,Netherlands:3455	True
combined	AA338	high	0.936809190944183	0.9947223328294464	primary_model_oof_prediction	Escherichia_coli	Escherichia	mphA,Mrx,mph(A),sul1,blaTEM-1	BETA-LACTAM,AMINOGLYCOSIDE,MACROLIDE ANTIBIOTIC,MACROLIDE,AMINOGLYCOSIDE ANTIBIOTIC	259754	107626	0.4143381815101981	3	blaTEM-1,mph(A),sul1	USA:9818,United Kingdom: United Kingdom:6886,Netherlands:3486	True
combined	AB595	high	0.8464496988718903	0.9816639636699194	primary_model_oof_prediction	Escherichia_coli	Escherichia	sul2,aph(6)-Id,aph(3'')-Ib,tet(A),APH(3'')-Ib	SULFONAMIDE,AMINOGLYCOSIDE,TETRACYCLINE,AMINOGLYCOSIDE ANTIBIOTIC,TRIMETHOPRIM	259754	107139	0.4124633306898065	4	aph(3'')-Ib,aph(6)-Id,sul2,tet(A)	USA:9132,United Kingdom: United Kingdom:6789,Netherlands:3361	True
combined	AA282	high	0.8170378390665459	0.9908951589771756	primary_model_oof_prediction	Escherichia_coli	Escherichia	blaCTX-M-14,sul2,qacEdelta1,sul1,Mrx	BETA-LACTAM,AMINOGLYCOSIDE,SULFONAMIDE,TRIMETHOPRIM,QUATERNARY AMMONIUM	259754	106562	0.4102419981982953	3	blaCTX-M-14,sul1,sul2	USA:10331,United Kingdom: United Kingdom:7400,Netherlands:3544	True
combined	AA626	high	0.897647269412825	0.9976267712087082	primary_model_oof_prediction	Escherichia_coli	Escherichia	BRP(MBL),blaNDM-1,ble,sul1,blaTEM-1	BETA-LACTAM,BLEOMYCIN,GLYCOPEPTIDE ANTIBIOTIC,SULFONAMIDE,AMINOGLYCOSIDE	259754	106192	0.4088175735503592	4	blaNDM-1,blaTEM-1,ble,sul1	USA:9815,United Kingdom: United Kingdom:6665,Netherlands:3410	True
combined	AA473	high	0.8786978848167143	0.9994482856972096	primary_model_oof_prediction	Escherichia_coli	Escherichia	tet(A),aadA22,ErmB,erm(B),aph(3'')-Ib	AMINOGLYCOSIDE,BETA-LACTAM,TETRACYCLINE,SULFONAMIDE,AMINOGLYCOSIDE ANTIBIOTIC	259754	105116	0.4046751926823071	4	aadA22,aph(3'')-Ib,erm(B),tet(A)	USA:9117,United Kingdom: United Kingdom:6537,Netherlands:3218	True
