freeze_rank	freeze_split_year	evaluation_year_start	evaluation_year_end	backbone_assignment_mode	backbone_id	freeze_candidate_score	priority_index	spread_label	n_new_countries	n_countries_train	member_count_train	coherence_score	T_eff_norm	H_eff_norm	A_eff_norm	member_count_total	n_countries_test	refseq_share_train	insd_share_train	split_year	test_year_end	visibility_expansion_label	n_test_records_seen_in_training	test_seen_in_training_fraction	genus_purity_train	family_purity_train	mobility_purity_train	replicon_purity_train	backbone_purity_score	mean_n_replicon_types_train	multi_replicon_fraction_train	primary_replicon_diversity_train	assignment_primary_fraction	assignment_confidence_score	pmlst_presence_fraction_train	pmlst_scheme_purity_train	pmlst_st_purity_train	pmlst_allele_purity_train	pmlst_coherence_score	mean_pmid_count_train	max_pmid_count_train	clinical_context_fraction_train	environmental_context_fraction_train	host_associated_context_fraction_train	food_context_fraction_train	pathogenic_context_fraction_train	ecology_context_diversity_train	ecology_context_score	mash_neighbor_distance_train_mean	mobility_dominance	replicon_dominance	topology_dominance	relaxase_support	mpf_support	orit_support	mobilizable_support	support_shrinkage	T_raw	T_eff	host_observation_count	host_taxon_signature_count	genus_unique_count	H_genus_richness_norm	family_unique_count	order_unique_count	class_unique_count	phylum_unique_count	H_genus_norm	phylo_breadth_score	phylo_pairwise_dispersion_score	phylo_breadth_augmented_score	host_taxon_evenness_score	host_support_factor	predicted_host_range_score	reported_host_range_score	H_external_host_range_score	H_external_host_range_support	H_raw	H_phylogenetic_raw	H_augmented_raw	H_phylogenetic_augmented_raw	H_eff	H_phylogenetic_eff	H_augmented_eff	H_phylogenetic_augmented_eff	mean_amr_class_count	mean_amr_gene_count	mean_amr_clinical_threat_score	A_consistency	A_recurrence	amr_support_factor	canonical_member_count_train	amr_class_richness_norm	amr_gene_burden_norm	amr_clinical_threat_norm	A_content_raw	A_raw	A_eff	H_breadth_norm	H_specialization_norm	H_support_norm	H_external_host_range_norm	H_augmented_norm	host_phylogenetic_dispersion_norm	host_taxon_evenness_norm	H_phylogenetic_norm	H_phylogenetic_specialization_norm	H_phylogenetic_augmented_norm	H_phylogenetic_augmented_specialization_norm	H_augmented_specialization_norm	A_recurrence_norm	T_raw_norm	A_raw_norm	support_shrinkage_norm	amr_support_norm	backbone_purity_norm	assignment_confidence_norm	pmlst_coherence_norm	clinical_context_fraction_norm	pathogenic_context_fraction_norm	pmlst_presence_norm	ecology_context_diversity_norm	ecology_context_norm	mash_neighbor_distance_train_norm	clinical_context_sparse_penalty_norm	external_t_synergy_norm	T_A_synergy_norm	H_A_synergy_norm	clinical_A_synergy_norm	host_support_observed_flag	external_host_support_observed_flag	amr_support_observed_flag	pmlst_support_observed_flag	context_support_observed_flag	metadata_support_depth_norm	metadata_missingness_burden	context_support_guard_norm	mean_n_replicon_types_norm	replicon_architecture_norm	strict_priority_index	strict_operational_priority_index	legacy_geometric_priority_index	arithmetic_priority_index	operational_priority_index	bio_priority_index	evidence_support_index	log1p_member_count_train	log1p_n_countries_train	H_support_norm_residual	amr_support_norm_residual
1	2015	2016	2023	training_only	AB272	0.9999158448571768	0.6921851061108025	1.0	18	2	96	0.8532110091743119	0.9491209376664892	0.9366865986633838	0.1907477820025348	130	18	0.981651376146789	0.018348623853211	2015	2023	1.0	110	1.0	0.9230769230769232	1.0	0.5596330275229358	1.0	0.8706774876499648	1.5412844036697249	0.5229357798165137	0.0	0.0	0.5	0.9724770642201837	1.0	0.5777777777777777	0.2452830188679245	0.5909616038056404	0.0	0	0.0091743119266055	0.0	0.0	0.0	0.0	0.5	0.1772935779816513	0.0012393121577981	0.5596330275229358	1.0	1.0	1.0	0.4479166666666667	0.0416666666666666	1.0	0.9696969696969696	0.608974358974359	0.5905205905205906	13.0	5.0	2.0	0.2886024940798983	1.0	1.0	1.0	1.0	0.1381008227841363	0.2420987598590409	0.2800000000000001	0.2553641939083766	0.8810960362596494	0.9563500706224002	0.5999999999999999	0.5999999999999999	0.5999999999999999	1.0	0.1143715530490704	0.117463175438024	0.2619597904821316	0.2654767508894411	0.1093792428356721	0.1123359161256856	0.2505252641278156	0.2538887094617224	0.0208333333333333	4.15625	0.0208333333333333	0.0104166666666666	0.0	0.9696969696969696	96.0	0.0038022813688212	0.801909307875895	0.0038022813688212	0.4028557946223581	0.0647797385554791	0.06281671617501	0.9366865986633838	0.0633134013366162	0.9886894887648922	0.8631513839492809	0.950756243404854	0.362116991643454	0.1894150417827298	0.9366865986633838	0.0633134013366162	0.9489975378121702	0.0510024621878297	0.049243756595146	0.0	0.7685135855087907	0.053231939163498	0.9921580455436586	0.9779236276849642	0.7279445030915397	1.0	0.7948717948717948	0.1074766355140186	0.0	0.8589743589743589	0.9951741818730206	0.9092142964862012	0.0422503389064618	0.0008428268808217	0.8192350508820693	0.1810427137120489	0.0120768908759958	0.0205009298413939	1.0	1.0	1.0	1.0	1.0	0.9700798900517622	0.0299201099482377	0.1042609227625725	0.9001901140684411	0.5881130742665783	0.5535095509953263	0.5535095509953263	0.5535095509953263	0.6921851061108025	0.6921851061108025	0.5861440411118909	0.9850408366143114	4.574710978503383	1.0986122886681098	-0.2699303907443297	0.2279011563952425
4	2015	2016	2023	training_only	AA551	0.999759093885801	0.8789900797683897	1.0	17	3	100	0.9796535814234928	0.996803409696324	0.9500527611677804	0.6901140684410646	122	20	0.9658119658119658	0.0341880341880341	2015	2023	1.0	100	1.0	0.7272727272727273	1.0	0.9743589743589745	0.9646017699115044	0.9165583678858016	1.205128205128205	0.1794871794871795	0.0353982300884956	0.0	0.5	0.9487179487179488	1.0	0.7065217391304348	0.5855855855855856	0.7248544531153227	0.0085470085470085	1	0.0	0.0	0.0085470085470085	0.0	0.0	0.5	0.1758547008547008	0.0073374091290598	0.9743589743589745	0.9646017699115044	1.0	0.97	0.99	0.95	0.97	0.970873786407767	0.9715384615384616	0.9432412247946228	11.0	3.0	2.0	0.2886024940798983	1.0	1.0	1.0	1.0	0.150131422517231	0.2420987598590409	0.7999999999999999	0.4373641939083765	0.9189900464321512	0.9581682414296276	0.8068376068376069	0.5794871794871794	0.6931623931623931	1.0	0.1752873604517946	0.2356003501627157	0.3485722396604253	0.4041154569534378	0.1679547819089372	0.2257447731956138	0.3339908498866163	0.3872105967236058	3.45	4.19	4.64	0.1045454545454545	0.1348	0.9696969696969696	100.0	0.8276299112801014	0.8036992840095465	0.8466413181242078	0.815664597644824	0.2920171675046065	0.2831681624287093	0.9409074920858248	0.0590925079141751	0.9894435228472328	0.9327354260089686	0.9690467815687652	0.7576601671309192	0.3398328690807799	0.9437214210341188	0.056278578965881	0.9732676749912064	0.0267323250087935	0.0309532184312346	0.0935412026726058	0.9864144912093766	0.3498098859315589	0.9926104659930628	0.9779236276849642	0.7665510481073744	1.0	0.8717948717948718	0.0	0.0	0.8205128205128205	0.9951741818730206	0.9051425124415624	0.1007681879801174	0.0	0.9297538529902932	0.6879080565014555	0.0407805710510372	0.0	1.0	1.0	1.0	1.0	1.0	0.9641220927593246	0.0358779072406754	0.0	0.8521863117870723	0.4533839991423944	0.8678127770634727	0.8678127770634727	0.8678127770634727	0.8789900797683897	0.8789900797683897	0.7590439564089201	0.9852670468390136	4.61512051684126	1.3862943611198906	-0.2594048558372455	0.1953167898967063
6	2015	2016	2023	training_only	AA998	0.9997175510962386	0.9533181488895788	1.0	23	1	180	0.8210180623973727	0.9869472562599894	0.9655293703833978	0.9074778200253484	204	23	1.0	0.0	2015	2023	1.0	194	1.0	0.5714285714285714	1.0	0.9753694581280788	0.4876847290640394	0.7586206896551725	1.6108374384236452	0.4532019704433497	0.5123152709359606	0.0	0.5	0.9852216748768472	1.0	0.3197278911564626	0.235	0.510583872300973	0.4630541871921182	1	0.0049261083743842	0.0	0.0	0.0	0.0049261083743842	0.5	0.1767241379310344	0.0042319271640394	0.9753694581280788	0.4876847290640394	1.0	0.9722222222222222	1.0	0.0555555555555555	0.9722222222222222	0.9836065573770492	0.7692307692307693	0.7566204287515763	7.0	2.0	2.0	0.2886024940798983	1.0	1.0	1.0	1.0	0.1881996980024602	0.2420987598590409	0.4	0.2973641939083766	0.9852281360342516	0.9758936279529768	0.7142857142857143	0.6541871921182266	0.6842364532019705	1.0	0.2118722830675383	0.23481303432537	0.3807502324332006	0.4008336784408013	0.20676481098546	0.2291525439584322	0.3715717256731753	0.3911710326593305	9.016666666666667	12.855555555555556	11.3	0.2096899224806201	0.2427927927927927	0.9835164835164836	180.0	0.9740177439797212	0.9534606205250596	0.9759188846641318	0.9637391822523904	0.4495402033389672	0.4421301999872259	0.9440731621526556	0.0559268378473443	0.9951741818730206	0.931807638781506	0.9736194161097432	0.584958217270195	0.415041782729805	0.9433696799155822	0.0566303200844178	0.9722124516355962	0.0277875483644037	0.0263805838902567	0.2282850779510022	0.9656366542354822	0.5773130544993663	0.9963806364047656	0.9904534606205252	0.6929573216709395	1.0	0.7051282051282052	0.0514018691588785	0.0384615384615384	0.8974358974358975	0.9951741818730206	0.907404614688584	0.0723000451875282	0.0001860420539606	0.9196449924575066	0.8956327445908141	0.0507523648906191	0.0466460561695272	1.0	1.0	1.0	1.0	1.0	0.980425723000834	0.019574276999166	0.0503957147336877	0.9056558935361216	0.6686288959336193	0.952719711503193	0.952719711503193	0.952719711503193	0.9533181488895788	0.9533181488895788	0.829007623629168	0.9934170485126452	5.198497031265826	0.6931471805599453	-0.4467635101323808	0.1727350974601987
7	2015	2016	2023	training_only	AA473	0.9996966740941464	0.8786978848167143	1.0	13	2	96	0.8734335839598998	0.9986680873734683	0.9447766443897292	0.6926489226869454	120	14	1.0	0.0	2015	2023	1.0	97	1.0	0.8571428571428571	1.0	0.9736842105263158	0.7894736842105263	0.9050751879699248	1.2105263157894737	0.175438596491228	0.2105263157894736	0.0	0.5	0.9736842105263158	1.0	0.5194805194805194	0.3603603603603603	0.6101237943343207	0.0	0	0.0	0.0	0.0	0.0	0.0	0.25	0.0875	0.0055039330780701	0.9736842105263158	0.7894736842105263	0.8571428571428571	0.9895833333333334	0.9791666666666666	0.9895833333333334	1.0	0.9696969696969696	0.9879807692307692	0.958041958041958	7.0	2.0	2.0	0.2886024940798983	1.0	1.0	1.0	1.0	0.1881996980024602	0.2420987598590409	0.4	0.2973641939083766	0.5916727785823274	0.9575837079722416	0.6087719298245613	0.6070175438596491	0.6078947368421053	1.0	0.1641899376522837	0.1819678199886875	0.31592752165846	0.3325917618428857	0.157225609308805	0.1742494197963928	0.3025270476401887	0.3184844525465312	3.4270833333333335	4.635416666666667	4.1875	0.1070963541666666	0.1510416666666666	0.9642857142857144	96.0	0.8257287705956907	0.8162291169451074	0.8307984790874525	0.820978943770399	0.2965195638156285	0.2859295793936418	0.9398522687302144	0.0601477312697854	0.9892927160307646	0.9175815679604143	0.9588462891311994	0.584958217270195	0.0362116991643454	0.9398522687302144	0.0601477312697854	0.9584945480126628	0.0415054519873373	0.0411537108688006	0.111358574610245	0.9885455514118274	0.3605830164765526	0.9921580455436586	0.9725536992840096	0.7608203890815864	1.0	0.8205128205128205	0.0	0.0	0.8717948717948718	0.9054441260744984	0.903182023827477	0.0831450519656574	0.0	0.9163594294841751	0.6917263748410651	0.0416612612660807	0.0	1.0	1.0	1.0	1.0	0.0	0.8712140255119801	0.1287859744880198	0.0	0.8526615969581749	0.4872064905610032	0.8678030282356224	0.8678030282356224	0.8678030282356224	0.8786978848167143	0.8786978848167143	0.7629936122061981	0.9823558724138342	4.574710978503383	1.0986122886681098	-0.272110523466227	0.2223447988891994
8	2015	2016	2023	training_only	AA627	0.9996673097977414	0.9388083591625378	1.0	11	3	119	0.89434230393463	0.9922749067661162	0.955328877945832	0.8688212927756654	141	14	1.0	0.0	2015	2023	1.0	129	1.0	0.7272727272727273	1.0	0.697841726618705	0.9851851851851852	0.8525749097691544	1.0503597122302155	0.0575539568345323	0.0148148148148148	0.0	0.5	0.9712230215827338	0.8962962962962963	1.0	0.8740740740740741	0.8968824940047961	0.0	0	0.0503597122302158	0.0	0.0	0.0	0.0	0.5	0.1875899280575539	0.0057249297633093	0.697841726618705	0.9851851851851852	1.0	0.6890756302521008	0.9747899159663864	0.957983193277311	0.9663865546218487	0.9754098360655736	0.8817065287653523	0.8600252206809583	11.0	3.0	3.0	0.3641758009398765	1.0	1.0	1.0	1.0	0.2251971337758465	0.2420987598590409	0.4000000000000001	0.2973641939083766	0.6913698302025114	0.964196908204133	0.9769784172661872	0.9654676258992804	0.9712230215827338	0.9928057553956836	0.1941480011983939	0.2151696324293077	0.4342361205129675	0.4571407885551654	0.1871969024895037	0.2074658943277583	0.4186891248291605	0.4407737349388897	6.65546218487395	11.22689075630252	8.025210084033613	0.1848739495798319	0.200916730328495	0.9743589743589745	119.0	0.944233206590621	0.9379474940334128	0.9423320659062104	0.9410903503120168	0.4171128024571413	0.4064176023941377	0.9412592332043616	0.0587407667956384	0.9921580455436586	0.9738673264264728	0.9831164263102355	0.6323119777158774	0.0835654596100278	0.9409074920858248	0.0590925079141751	0.9817094618360886	0.0182905381639113	0.0168835736897643	0.1815144766146993	0.9757591901971232	0.5342205323193916	0.994269340974212	0.9844868735083532	0.7208565827175388	1.0	0.9615384615384616	0.4766355140186916	0.0	0.8461538461538461	0.9951741818730206	0.9372643643492686	0.0851784907365567	0.0027314356104222	0.9663441105323952	0.86210956728539	0.0510352289460204	0.4141110834725134	1.0	1.0	1.0	1.0	1.0	0.9689481178988602	0.0310518821011398	0.4618350842321669	0.8113117870722434	0.3881971520375588	0.9373572084579644	0.9373572084579644	0.9373572084579644	0.9388083591625378	0.9388083591625378	0.8170796519069587	0.9893781072412826	4.787491742782046	1.3862943611198906	-0.3049600447321753	0.1727523047214857
9	2015	2016	2023	training_only	AA543	0.9995947179013353	0.9407910859108144	1.0	9	1	57	0.8361581920903954	0.97016515716569	0.995427365459022	0.8567807351077313	65	10	0.9491525423728814	0.0508474576271186	2015	2023	1.0	55	1.0	0.4	0.6	0.8813559322033898	0.6271186440677966	0.6271186440677966	1.9491525423728813	0.7796610169491526	0.3728813559322034	0.0	0.5	0.8983050847457628	0.981132075471698	0.55	0.3773584905660377	0.5714689265536723	0.1864406779661017	1	0.0338983050847457	0.0	0.0	0.0	0.0	0.5	0.1834745762711864	0.0316174818203389	0.8813559322033898	0.6271186440677966	1.0	0.8771929824561403	0.912280701754386	0.0526315789473684	0.8947368421052632	0.95	0.7004048582995951	0.6653846153846154	5.0	5.0	4.0	0.4227950118402033	2.0	1.0	1.0	1.0	0.4453617714151233	0.2716422460108905	0.4999999999999999	0.3515674599070788	1.0	0.9172439563639282	0.8677966101694916	0.7796610169491526	0.8237288135593221	1.0	0.3409641309061539	0.3878951712682713	0.5299641299348585	0.5652613813221307	0.3127472884105489	0.3557945015485727	0.4861063952724165	0.5184825857836501	5.7894736842105265	10.719298245614034	7.035087719298246	0.1867572156196944	0.2273684210526315	0.9423076923076924	57.0	0.9220532319391636	0.9337708830548926	0.9239543726235742	0.927912057497028	0.4162862863440096	0.3922697698241629	0.9855786141399928	0.014421385860007	0.9745136480168904	0.9641255605381166	0.9936686598663385	0.6434540389972145	1.0	0.9810059795990153	0.0189940204009848	0.9929651776292648	0.0070348223707351	0.0063313401336616	0.2149220489977728	0.8375066595631326	0.532319391634981	0.9829588297391042	0.948090692124105	0.5781933343387121	1.0	0.7435897435897436	0.3925233644859813	0.0	0.782051282051282	0.9951741818730206	0.9258030462976926	0.3443289652056032	0.0066890574855852	0.9353610259669208	0.8312188165323275	0.0123559655784091	0.336306456771259	1.0	1.0	1.0	1.0	1.0	0.9481198920374176	0.0518801079625824	0.3721592099586124	0.9313212927756654	0.7665522088676936	0.9388041064266656	0.9388041064266656	0.9388041064266656	0.9407910859108144	0.9407910859108144	0.7851348884460355	0.9655247609316048	4.060443010546419	0.6931471805599453	-0.1752579682020107	0.3209068264347374
11	2015	2016	2023	training_only	AA739	0.9995150614464052	0.9642444115799824	1.0	36	2	346	0.965089802130898	0.9957378795950984	0.9901512486809708	0.9068441064638784	446	38	1.0	0.0	2015	2023	1.0	428	1.0	0.5	0.9166666666666666	0.9226666666666666	0.9726027397260274	0.8279840182648401	2.018666666666667	0.9573333333333334	0.0273972602739726	0.0	0.5	0.8853333333333333	1.0	0.990228013029316	0.9156626506024096	0.8575606225117626	0.9093333333333332	1	0.008	0.0	0.0	0.0	0.0	0.5	0.177	0.005853037144	0.9226666666666666	0.9726027397260274	1.0	0.916184971098266	0.9884393063583816	0.9046242774566474	0.916184971098266	0.991404011461318	0.9357492218763896	0.9277055322900596	12.0	6.0	5.0	0.4706903945498366	2.0	1.0	1.0	1.0	0.3593497341100431	0.2716422460108905	0.4533333333333333	0.3352341265737455	0.926992412660448	0.9866347654551918	0.6101333333333333	0.5909333333333333	0.6005333333333334	0.984	0.2823447133551156	0.3136570948132962	0.4117734958204475	0.4340063832155906	0.2785711100386379	0.3094649941744733	0.4062700464694716	0.4282057861099704	12.563583815028904	20.378612716763005	16.158959537572255	0.1994219653179191	0.3048780487804878	0.991304347826087	346.0	0.994296577946768	0.9922434367541766	0.9949302915082384	0.9932700073504724	0.4450616327624469	0.4411915316079909	0.9591980302497362	0.0408019697502638	0.9977378977529784	0.9154167310963351	0.9788955328877946	0.6350974930362117	0.3481894150417827	0.958142806894126	0.0418571931058741	0.978543791769258	0.0214562082307421	0.0211044671122053	0.3184855233853007	0.9805540756526372	0.5684410646387833	0.9980395113859146	0.9976133651551312	0.709546071482431	1.0	0.935897435897436	0.0981308411214953	0.0	0.7692307692307693	0.9951741818730206	0.9086110692203287	0.0869859918662449	0.0001923843967093	0.9115151147677414	0.902979027693654	0.0370010258001442	0.0889893749333712	1.0	1.0	1.0	1.0	1.0	0.9591314495237238	0.0408685504762762	0.094120375887842	0.9600760456273764	0.7725803392537807	0.963369888536692	0.963369888536692	0.963369888536692	0.9642444115799824	0.9642444115799824	0.8360643901803856	0.9978264382705228	5.849324779946859	1.0986122886681098	-0.5822508769488693	0.0345855719535029
12	2015	2016	2023	training_only	AA304	0.999458265005861	0.6748748755085202	1.0	14	2	60	0.9099206349206348	0.9925412892914224	0.7963418923672178	0.2357414448669201	141	16	1.0	0.0	2015	2023	1.0	159	1.0	1.0	1.0	0.9583333333333334	0.7714285714285715	0.9324404761904762	2.8472222222222223	0.9444444444444444	0.2285714285714285	0.0	0.5	0.1527777777777778	1.0	0.0	0.8181818181818182	0.1388888888888889	0.0	0	0.0	0.0	0.0	0.0	0.0	0.25	0.0875	0.0287412994611111	0.9583333333333334	0.7714285714285715	1.0	0.9666666666666668	0.9666666666666668	0.7	0.9666666666666668	0.9523809523809524	0.905128205128205	0.8620268620268619	4.0	1.0	1.0	0.1820879004699382	1.0	1.0	1.0	1.0	0.1244823994329922	0.2420987598590409	0.0	0.1573641939083766	0.0	0.9328998306762084	0.5944444444444444	0.586111111111111	0.5902777777777777	1.0	0.017360021465138	0.0139960967567938	0.1012286268434783	0.090893260977715	0.0161951610853625	0.0130569562945407	0.094436168841866	0.0847943077757187	0.4	0.6	0.4833333333333333	0.0307692307692307	0.0472222222222222	0.7692307692307693	60.0	0.2737642585551331	0.3365155131264916	0.2718631178707224	0.3051398858408123	0.0968964373149636	0.0745357210115105	0.0481885332395357	0.9518114667604642	0.9802443070426784	0.8603680222668935	0.7583538515652479	0.0	0.0	0.0386915230390432	0.9613084769609568	0.7534294759057334	0.2465705240942666	0.241646148434752	0.0133630289532293	0.9784230154501864	0.0874524714828897	0.9846177047202532	0.8215990453460621	0.7927914341728246	1.0	0.5512820512820513	0.0	0.0	0.5512820512820513	0.9054441260744984	0.903182023827477	0.3176683235427022	0.0	0.8539507860858937	0.2339831176276357	0.2243814104150144	0.0	1.0	1.0	1.0	1.0	0.0	0.7873884571054369	0.212611542894563	0.0	0.9866920152091256	0.8202812481139478	0.5711647044386114	0.5711647044386114	0.5711647044386114	0.6748748755085202	0.6748748755085202	0.3713546733908706	0.9031083750331576	4.110873864173311	1.0986122886681098	-0.1652243684715815	0.1488358002569173
16	2015	2016	2023	training_only	AA302	0.9991463819365356	0.6239656634205415	1.0	8	1	18	0.9473684210526316	0.9837506659563132	0.8881463243053113	0.0	47	9	1.0	0.0	2015	2023	1.0	60	1.0	1.0	1.0	0.8947368421052632	0.9473684210526316	0.9605263157894736	2.8421052631578947	0.8947368421052632	0.0526315789473684	0.0	0.5	0.1052631578947368	1.0	0.0	1.0	0.1052631578947368	0.0	0	0.0	0.0	0.0	0.0	0.0	0.25	0.0875	0.0295701	0.8947368421052632	0.9473684210526316	1.0	0.8888888888888888	0.9444444444444444	0.6666666666666666	0.9444444444444444	0.8571428571428571	0.8632478632478632	0.7399267399267399	1.0	1.0	1.0	0.1820879004699382	1.0	1.0	1.0	1.0	0.2489647988659845	0.2420987598590409	0.0	0.1573641939083766	0.0	0.783593224314857	0.6	0.6	0.6	1.0	0.0245507777990862	0.0197934698537438	0.1213691339651549	0.1089774376292924	0.0192378231350235	0.015510028863074	0.0951040310160575	0.0853939817295085	0.0	4.944444444444445	0.0	0.0	0.0	0.85	18.0	0.0	0.8245823389021479	0.0	0.4122911694510739	0.0	0.0	0.930355258529722	0.0696447414702778	0.9083094555873924	0.9140250502551416	0.8578965881111502	0.0	0.0	0.8909602532536054	0.1090397467463946	0.8505100246218783	0.1494899753781217	0.1421034118888497	0.0	0.9746936600958978	0.0	0.930478057608204	0.8758949880668258	0.8191826270547429	1.0	0.5128205128205128	0.0	0.0	0.4871794871794871	0.9054441260744984	0.903182023827477	0.3255761409850881	0.0	0.8991727518892481	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.7692881740148051	0.2307118259851949	0.0	0.9864543726235742	0.7675886782069241	0.0	0.0	0.0	0.6239656634205415	0.6239656634205415	0.63501630620854	0.9031865228375148	2.9444389791664403	0.6931471805599453	0.0297661737928733	0.4345307318735088
20	2015	2016	2023	training_only	AA622	0.9988869289552496	0.9093070266160762	1.0	6	1	16	0.9682539682539684	0.9547149706979222	0.9943721421034118	0.7788339670468948	21	7	1.0	0.0	2015	2023	1.0	18	1.0	0.5	0.5	0.9047619047619048	1.0	0.7261904761904762	1.238095238095238	0.3333333333333333	0.0	0.0	0.5	0.9047619047619048	0.7894736842105263	0.5	0.2105263157894736	0.4523809523809524	0.5714285714285714	1	0.0952380952380952	0.0	0.0	0.0	0.0	0.5	0.1988095238095238	0.0310640279714285	0.9047619047619048	1.0	1.0	0.9375	0.9375	0.0	0.9375	0.8421052631578947	0.7211538461538461	0.6072874493927125	4.0	4.0	3.0	0.3641758009398765	3.0	3.0	2.0	2.0	0.3734471982989769	0.431039488207261	0.7999999999999999	0.5601756673347196	1.0	0.7934675780278853	0.7809523809523811	0.7809523809523811	0.7809523809523811	0.9047619047619048	0.3903096292056044	0.4449516859353215	0.5520989351889367	0.5894794979810285	0.3096980361667328	0.3530547365785238	0.43807260493614	0.4677328695601003	3.6875	5.6875	4.4375	0.2458333333333333	0.3375	0.75	16.0	0.8422053231939164	0.8502386634844868	0.8377693282636248	0.8462219933392017	0.4561025908307841	0.3420769431230881	0.997186071051706	0.002813928948294	0.9149449555119892	0.9485078088758312	0.9964825888146324	0.7576601671309192	1.0	0.9908547309180444	0.0091452690819556	0.995427365459022	0.0045726345409778	0.0035174111853675	0.3830734966592428	0.8468300479488545	0.5830164765525983	0.9194691600060324	0.8060859188544153	0.5955361182325442	1.0	0.6538461538461539	0.616822429906542	0.0	0.7948717948717948	0.9951741818730206	0.9530990800784196	0.3386805241753276	0.049673228407494	0.9055546049576396	0.7435644480277227	0.0021915834457879	0.4804022600476173	1.0	1.0	1.0	1.0	1.0	0.8891395022406303	0.1108604977593696	0.5484411882979588	0.8555133079847909	0.5016476552598226	0.9042513972484696	0.9042513972484696	0.9042513972484696	0.9093070266160762	0.9093070266160762	0.8090108651843861	0.8627775394302237	2.833213344056216	0.6931471805599453	0.064202156067466	0.3832927125658508
