model_name	outcome_name	status	roc_auc	average_precision	positive_prevalence	precision_at_top_25	recall_at_top_25	n_backbones	n_positive
support_synergy_priority	macro_region_jump_label	ok	0.7662679693071774	0.8445399314535958	0.6097067745197169	1.0	0.04145936981757877	989	603
support_synergy_priority	host_family_jump_label	ok	0.6521089569870058	0.42850048236573746	0.2901921132457027	0.48	0.041811846689895474	989	287
support_synergy_priority	host_order_jump_label	ok	0.6334672351621504	0.3236660108575156	0.224469160768453	0.32	0.036036036036036036	989	222
support_synergy_priority	event_within_1y_label	ok	0.7943446178110742	0.3647431249830811	0.1243680485338726	0.52	0.10569105691056911	989	123
support_synergy_priority	event_within_3y_label	ok	0.7831685146339027	0.6084879215004967	0.2871587462082912	0.88	0.07746478873239436	989	284
support_synergy_priority	event_within_5y_label	ok	0.7859037328094303	0.7754900858467546	0.48533872598584427	0.96	0.05	989	480
support_synergy_priority	three_countries_within_3y_label	ok	0.8493202735793296	0.3598544527136299	0.0788675429726997	0.48	0.15384615384615385	989	78
support_synergy_priority	three_countries_within_5y_label	ok	0.8441967474153778	0.6386989042653308	0.22548028311425683	0.92	0.1031390134529148	989	223
support_synergy_priority	long_jump_label	ok	0.7662679693071774	0.8445399314535958	0.6097067745197169	1.0	0.04145936981757877	989	603
bio_clean_priority	macro_region_jump_label	ok	0.7300887617181794	0.8138270917055248	0.6097067745197169	0.96	0.03980099502487562	989	603
bio_clean_priority	host_family_jump_label	ok	0.5906146698829625	0.3524276510226866	0.2901921132457027	0.28	0.024390243902439025	989	287
bio_clean_priority	host_order_jump_label	ok	0.5647720732466495	0.26184804926674615	0.224469160768453	0.2	0.02252252252252252	989	222
bio_clean_priority	event_within_1y_label	ok	0.7222629039223417	0.26536051883884093	0.1243680485338726	0.28	0.056910569105691054	989	123
bio_clean_priority	event_within_3y_label	ok	0.7285710718209969	0.5347376057148931	0.2871587462082912	0.72	0.06338028169014084	989	284
bio_clean_priority	event_within_5y_label	ok	0.7141719875573019	0.7087534220521953	0.48533872598584427	0.88	0.04583333333333333	989	480
