permutation_index	selection_scope	n_models_in_scope	selected_model_name	selected_null_roc_auc	selected_null_average_precision
1	official_model_surface	3	phylo_support_fusion_priority	0.545080053221955	0.4146930190217054
2	official_model_surface	3	phylo_support_fusion_priority	0.5165217161436992	0.39047453131172255
3	official_model_surface	3	phylo_support_fusion_priority	0.5223197370623948	0.3800590329426946
4	official_model_surface	3	baseline_both	0.4641522817591442	0.3345776424642496
5	official_model_surface	3	phylo_support_fusion_priority	0.49819582859710804	0.3769150173041872
6	official_model_surface	3	phylo_support_fusion_priority	0.5424409844299347	0.4032230518329872
7	official_model_surface	3	phylo_support_fusion_priority	0.5382775119617225	0.3858106397978815
8	official_model_surface	3	phylo_support_fusion_priority	0.513133662886498	0.3718073398855206
9	official_model_surface	3	bio_clean_priority	0.5109946513697604	0.37300447701611655
10	official_model_surface	3	bio_clean_priority	0.4878620458730956	0.358712098148351
11	official_model_surface	3	bio_clean_priority	0.47062218580101683	0.34920584507087354
12	official_model_surface	3	phylo_support_fusion_priority	0.5308823918158027	0.393650531368709
13	official_model_surface	3	bio_clean_priority	0.47404548538599134	0.35352092862287915
14	official_model_surface	3	bio_clean_priority	0.49125670781675435	0.35985445220415957
15	official_model_surface	3	bio_clean_priority	0.5505057848035457	0.4064297652383195
16	official_model_surface	3	bio_clean_priority	0.49215108338399993	0.3489927048937666
17	official_model_surface	3	phylo_support_fusion_priority	0.5299814075620997	0.39185561288515447
18	official_model_surface	3	baseline_both	0.5250292985099615	0.38480507471375514
19	official_model_surface	3	bio_clean_priority	0.479206869509283	0.3515030727051073
20	official_model_surface	3	phylo_support_fusion_priority	0.5297523064315737	0.39201142014764767
21	official_model_surface	3	bio_clean_priority	0.5047912976816727	0.36848733114156473
22	official_model_surface	3	phylo_support_fusion_priority	0.5076660762906765	0.3677994750138412
23	official_model_surface	3	bio_clean_priority	0.5135984738340075	0.3791216003616671
24	official_model_surface	3	phylo_support_fusion_priority	0.5135389956558901	0.399438708362006
25	official_model_surface	3	phylo_support_fusion_priority	0.4987663785279371	0.3700467849638589
26	official_model_surface	3	phylo_support_fusion_priority	0.5642144034118445	0.43064505461890784
27	official_model_surface	3	phylo_support_fusion_priority	0.5305850009252161	0.3891630812158556
28	official_model_surface	3	bio_clean_priority	0.47677707578841627	0.34717583819777137
29	official_model_surface	3	phylo_support_fusion_priority	0.4999008697031378	0.36783137582735753
30	official_model_surface	3	phylo_support_fusion_priority	0.4940389648153533	0.3598728143423557
31	official_model_surface	3	bio_clean_priority	0.522075215663468	0.3744878688795967
32	official_model_surface	3	phylo_support_fusion_priority	0.5039784292474028	0.3814444353196064
33	official_model_surface	3	bio_clean_priority	0.5115167375999013	0.36693539830107047
34	official_model_surface	3	phylo_support_fusion_priority	0.49933252266779454	0.3753575274796056
35	official_model_surface	3	phylo_support_fusion_priority	0.5251394432842528	0.40119994624863614
36	official_model_surface	3	phylo_support_fusion_priority	0.534790328407659	0.4241902111175601
37	official_model_surface	3	phylo_support_fusion_priority	0.5103624203653282	0.3907645915939643
38	official_model_surface	3	phylo_support_fusion_priority	0.5115431723457312	0.3775600220332251
39	official_model_surface	3	bio_clean_priority	0.4927458651651731	0.357756550214676
40	official_model_surface	3	bio_clean_priority	0.5243948646100435	0.37687077516512146
41	official_model_surface	3	bio_clean_priority	0.506388396908897	0.36614041903838807
42	official_model_surface	3	bio_clean_priority	0.5137108215037846	0.3825777764646967
43	official_model_surface	3	bio_clean_priority	0.503136923171817	0.36736648421977125
44	official_model_surface	3	baseline_both	0.4976671336805097	0.35603738088125864
45	official_model_surface	3	phylo_support_fusion_priority	0.5166296580225048	0.3863198981648302
46	official_model_surface	3	phylo_support_fusion_priority	0.4965150193414224	0.37718123425593136
47	official_model_surface	3	bio_clean_priority	0.5122525046921674	0.39189193032129366
48	official_model_surface	3	baseline_both	0.5260183985830976	0.40842775770685863
49	official_model_surface	3	baseline_both	0.4951404125582666	0.368312493787828
50	official_model_surface	3	bio_clean_priority	0.5214826367777807	0.37035108405451805
51	official_model_surface	3	bio_clean_priority	0.5227603161595601	0.38585135033092705
52	official_model_surface	3	phylo_support_fusion_priority	0.5054675865958216	0.37311452845243404
53	official_model_surface	3	phylo_support_fusion_priority	0.5054323402680483	0.3678501567592169
54	official_model_surface	3	bio_clean_priority	0.5040335016345484	0.36355715873871236
