backbone_id	priority_group	priority_index	selection_score	selection_score_column	dominant_species	dominant_genus	amr_class_count	who_mia_mapped_class_count	who_mia_unmapped_class_count	who_mia_mapped_fraction	who_mia_top_categories	who_mia_top_classes	who_mia_scope_labels	who_mia_any_hpecia	who_mia_any_cia	who_mia_any_hia	who_mia_any_ia	who_mia_any_support
AA367	high	0.7119765373178922	0.8562437995136445	primary_model_oof_prediction	Staphylococcus_aureus	Staphylococcus	2	2	0	1.0	CIA,HIA	Aminoglycosides,Amphenicols	both_humans_and_animals	False	True	True	False	True
AC122	high	0.6714848774397669	0.6998895910430125	primary_model_oof_prediction	Providencia_stuartii	Providencia	1	1	0	1.0	HIA	Amphenicols	both_humans_and_animals	False	False	True	False	True
AB039	high	0.5942167171022733	0.6736777908111737	primary_model_oof_prediction	Salmonella_enterica	Enterobacter	1	1	0	1.0	CIA	Aminoglycosides	both_humans_and_animals	False	True	False	False	True
AC442	high	0.654929962223794	0.664899471702063	primary_model_oof_prediction	Sphingobium_yanoikuyae	Sphingobium	2	2	0	1.0	CIA,HIA	Aminoglycosides,Sulfonamides, dihydrofolate reductase inhibitors and combinations	both_humans_and_animals	False	True	True	False	True
AC570	high	0.6322181697387464	0.6643884549899803	primary_model_oof_prediction	Lacticaseibacillus_paracasei	Lacticaseibacillus	1	1	0	1.0	CIA	Aminoglycosides	both_humans_and_animals	False	True	False	False	True
AB702	high	0.7386734315407096	0.6250292365148662	primary_model_oof_prediction	Acinetobacter_baumannii	Acinetobacter	1	1	0	1.0	CIA	Aminoglycosides	both_humans_and_animals	False	True	False	False	True
AA609	high	0.4886040772013801	0.594727040595783	primary_model_oof_prediction	Sinorhizobium_meliloti	Sinorhizobium	5	5	0	1.0	CIA,HIA,HPCIA	Aminoglycosides,Quinolones,Oxazolidinones,Amphenicols,Tetracyclines	both_humans_and_animals,humans_only	True	True	True	False	True
AB976	high	0.5068445601201746	0.5778559778975361	primary_model_oof_prediction	Enterococcus_faecium	Enterococcus	2	2	0	1.0	HPCIA	Phosphonic acid derivatives,Glycopeptides and lipoglycopeptides	both_humans_and_animals,humans_only	True	False	False	False	True
AC313	high	0.5631850350184643	0.5726744047789675	primary_model_oof_prediction	Salmonella_enterica	Salmonella	2	2	0	1.0	HPCIA	Quinolones	both_humans_and_animals	True	False	False	False	True
AF449	high	0.4210207213605618	0.5660701707670812	primary_model_oof_prediction	Sinorhizobium_meliloti	Sinorhizobium	2	2	0	1.0	HPCIA,HIA	Quinolones,Tetracyclines	both_humans_and_animals	True	False	True	False	True
AB040	high	0.4669043956608309	0.5620752941835778	primary_model_oof_prediction	Enterobacter_hormaechei	Enterobacter	1	1	0	1.0	HPCIA	Quinolones	both_humans_and_animals	True	False	False	False	True
AB601	high	0.4632574668363145	0.5587324539877301	primary_model_oof_prediction	Vibrio_tubiashii	Vibrio	2	2	0	1.0	CIA,HIA	Aminoglycosides,Sulfonamides, dihydrofolate reductase inhibitors and combinations	both_humans_and_animals	False	True	True	False	True
AE052	high	0.478053773171998	0.5579814952877785	primary_model_oof_prediction	Bacillus_thuringiensis	Bacillus	2	2	0	1.0	HPCIA	Glycopeptides and lipoglycopeptides,Phosphonic acid derivatives	humans_only,both_humans_and_animals	True	False	False	False	True
AA011	high	0.4938311328976705	0.5438336383023538	primary_model_oof_prediction	Staphylococcus_aureus	Staphylococcus	1	1	0	1.0	CIA	Aminoglycosides	both_humans_and_animals	False	True	False	False	True
AC888	high	0.4077532268152263	0.495116855937237	primary_model_oof_prediction	Neisseria_gonorrhoeae	Neisseria	1	1	0	1.0	HIA	Tetracyclines	both_humans_and_animals	False	False	True	False	True
AB007	high	0.6959655507772999	0.4784378371153592	primary_model_oof_prediction	uncultured_bacterium_AST2	Actinobacillus	1	1	0	1.0	HIA	Tetracyclines	both_humans_and_animals	False	False	True	False	True
AB682	high	0.4281497424618253	0.4750553307015111	primary_model_oof_prediction	Croceicoccus_naphthovorans	Croceicoccus	2	2	0	1.0	HPCIA,HIA	Quinolones,Tetracyclines	both_humans_and_animals	True	False	True	False	True
AE538	high	0.3466399406027839	0.4747653989934697	primary_model_oof_prediction	Rhizobium_leguminosarum	Rhizobium	1	1	0	1.0	HPCIA	Phosphonic acid derivatives	both_humans_and_animals	True	False	False	False	True
AA614	high	0.3574695116855595	0.469233385306995	primary_model_oof_prediction	Sinorhizobium_meliloti	Sinorhizobium	5	5	0	1.0	CIA,HIA,HPCIA	Aminoglycosides,Quinolones,Oxazolidinones,Amphenicols,Tetracyclines	both_humans_and_animals,humans_only	True	True	True	False	True
AB631	high	0.3598079849059627	0.4641076137640628	primary_model_oof_prediction	Staphylococcus_epidermidis	Staphylococcus	1	1	0	1.0	HIA	Lincosamides	both_humans_and_animals	False	False	True	False	True
AD584	high	0.7713796300764276	0.4423446861178329	primary_model_oof_prediction	Actinobacillus_pleuropneumoniae	Actinobacillus	1	1	0	1.0	HIA	Tetracyclines	both_humans_and_animals	False	False	True	False	True
AG446	high	0.2656470018260646	0.4247540209175754	primary_model_oof_prediction	Ralstonia_solanacearum	Ralstonia	2	2	0	1.0	HPCIA,HIA	Quinolones,Tetracyclines	both_humans_and_animals	True	False	True	False	True
AC647	high	0.2032196051957507	0.4233176175668623	primary_model_oof_prediction	Vibrio_coralliilyticus	Vibrio	3	3	0	1.0	HPCIA,HIA	Quinolones,Tetracyclines	both_humans_and_animals	True	False	True	False	True
AF686	high	0.2988899338353127	0.4210085933413475	primary_model_oof_prediction	Bacillus_thuringiensis	Bacillus	1	1	0	1.0	HPCIA	Glycopeptides and lipoglycopeptides	humans_only	True	False	False	False	True
AA593	high	0.5004466074650242	0.5833997057690864	primary_model_oof_prediction	Edwardsiella_ictaluri	Edwardsiella	5	4	1	0.8	HIA,CIA	Aminoglycosides,Amphenicols,Sulfonamides, dihydrofolate reductase inhibitors and combinations,Tetracyclines	both_humans_and_animals	False	True	True	False	True
