base	extras	n_features	weight_mode	l2	roc_auc	ap	lower_half_auc	lowest_quartile_auc	knownness_spearman	objective	columns
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,A_recurrence_norm	11	source_balanced+class_balanced	5.0	0.7849026760774361	0.6875278705888817	0.7246597289590498	0.6340202702702703	0.4191688495954733	1.219050490435857	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|A_recurrence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,A_recurrence_norm	11	source_balanced+class_balanced	3.5	0.7846735749469103	0.6872307166763955	0.7244686480289267	0.6339527027027027	0.41856395142470704	1.218875330117074	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|A_recurrence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,A_recurrence_norm	11	source_balanced+class_balanced	4.0	0.7847088212746834	0.6872613862979549	0.7245421406943587	0.6338851351351351	0.41876195891775564	1.2188563915990809	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|A_recurrence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,pmlst_coherence_norm	11	source_balanced+class_balanced	5.0	0.7868500356869069	0.694900554658055	0.7230869859188053	0.6342229729729729	0.4259615323366715	1.2188404355121587	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|pmlst_coherence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,A_recurrence_norm	11	source_balanced+class_balanced	3.0	0.7844709085622141	0.6869208401656484	0.7242628685657171	0.6340202702702703	0.41825832970246063	1.2187074517562217	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|A_recurrence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,A_recurrence_norm	11	source_balanced+class_balanced	2.5	0.784321111669178	0.6867363985451581	0.7241305817679395	0.6338851351351351	0.4180709760853194	1.2184973820774376	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|A_recurrence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,pmlst_coherence_norm	11	source_balanced+class_balanced	4.0	0.786695833002899	0.6951196332003945	0.7227489196578182	0.6335472972972973	0.42572943916240724	1.2183218788763173	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|pmlst_coherence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm	10	source_balanced+class_balanced	5.0	0.7860261527752077	0.6852919614961531	0.72318987565041	0.6343581081081081	0.4257417801820704	1.2181683128559824	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,pmlst_coherence_norm	11	source_balanced+class_balanced	3.5	0.7866517750931825	0.6951946548028966	0.7226166328600405	0.633277027027027	0.42584312307611255	1.2180814779873306	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|pmlst_coherence_norm
phylo_aug_core	clinical_context_fraction_norm,ecology_context_diversity_norm,pmlst_coherence_norm	11	source_balanced+class_balanced	3.0	0.7866209345563809	0.6952037536765536	0.722557838727695	0.6332094594594595	0.42588626287142745	1.2179888691499743	T_eff_norm|H_phylogenetic_augmented_specialization_norm|A_eff_norm|coherence_score|backbone_purity_norm|assignment_confidence_norm|mash_neighbor_distance_train_norm|replicon_architecture_norm|clinical_context_fraction_norm|ecology_context_diversity_norm|pmlst_coherence_norm
