label	n_features	roc_auc	ap	lower_auc	q1_auc	spearman	cols	score
host_transfer_plus_amr_clinical_threat_norm_plus_mean_n_replicon_types_norm	16	0.8145822869579775	0.7274860496851093	0.7482729223623482	0.7482729223623482	0.5657275296432368	T_eff_norm,H_specialization_norm,A_eff_norm,coherence_score,backbone_purity_norm,assignment_confidence_norm,mash_neighbor_distance_train_norm,replicon_architecture_norm,clinical_context_fraction_norm,A_recurrence_norm,pmlst_coherence_norm,ecology_context_diversity_norm,H_external_host_range_norm,external_t_synergy_norm,amr_clinical_threat_norm,mean_n_replicon_types_norm	0.7369631238686741
host_transfer_plus_mean_n_replicon_types_norm	15	0.8148025765065602	0.7278673398685219	0.7474204074433372	0.7474204074433372	0.5661019123589643	T_eff_norm,H_specialization_norm,A_eff_norm,coherence_score,backbone_purity_norm,assignment_confidence_norm,mash_neighbor_distance_train_norm,replicon_architecture_norm,clinical_context_fraction_norm,A_recurrence_norm,pmlst_coherence_norm,ecology_context_diversity_norm,H_external_host_range_norm,external_t_synergy_norm,mean_n_replicon_types_norm	0.7367189744990128
host_transfer_plus_H_phylogenetic_specialization_norm_plus_mean_n_replicon_types_norm	16	0.813560143452554	0.7281745143058492	0.7469647529176588	0.7469647529176588	0.5657680462123604	T_eff_norm,H_specialization_norm,A_eff_norm,coherence_score,backbone_purity_norm,assignment_confidence_norm,mash_neighbor_distance_train_norm,replicon_architecture_norm,clinical_context_fraction_norm,A_recurrence_norm,pmlst_coherence_norm,ecology_context_diversity_norm,H_external_host_range_norm,external_t_synergy_norm,H_phylogenetic_specialization_norm,mean_n_replicon_types_norm	0.7361813239000987
host_transfer_plus_host_taxon_evenness_norm_plus_mean_n_replicon_types_norm	16	0.8139126067302863	0.7267993925523543	0.7468177675867949	0.7468177675867949	0.5649013335986003	T_eff_norm,H_specialization_norm,A_eff_norm,coherence_score,backbone_purity_norm,assignment_confidence_norm,mash_neighbor_distance_train_norm,replicon_architecture_norm,clinical_context_fraction_norm,A_recurrence_norm,pmlst_coherence_norm,ecology_context_diversity_norm,H_external_host_range_norm,external_t_synergy_norm,host_taxon_evenness_norm,mean_n_replicon_types_norm	0.7361262949133113
host_transfer_minus_ecology_context_diversity_norm	13	0.8116348127979416	0.7225069105487585	0.7469794514507452	0.7469794514507452	0.5646183488635869	T_eff_norm,H_specialization_norm,A_eff_norm,coherence_score,backbone_purity_norm,assignment_confidence_norm,mash_neighbor_distance_train_norm,replicon_architecture_norm,clinical_context_fraction_norm,A_recurrence_norm,pmlst_coherence_norm,H_external_host_range_norm,external_t_synergy_norm	0.7347781667555326
host_transfer	14	0.8137760272101651	0.7253785526009007	0.7454067084105006	0.7454067084105006	0.5702078206803315	T_eff_norm,H_specialization_norm,A_eff_norm,coherence_score,backbone_purity_norm,assignment_confidence_norm,mash_neighbor_distance_train_norm,replicon_architecture_norm,clinical_context_fraction_norm,A_recurrence_norm,pmlst_coherence_norm,ecology_context_diversity_norm,H_external_host_range_norm,external_t_synergy_norm	0.7347702937098599
host_transfer_plus_clinical_context_sparse_penalty_norm	15	0.8134059407685462	0.7243396956419781	0.7451568333480318	0.7451568333480318	0.5696201185478731	T_eff_norm,H_specialization_norm,A_eff_norm,coherence_score,backbone_purity_norm,assignment_confidence_norm,mash_neighbor_distance_train_norm,replicon_architecture_norm,clinical_context_fraction_norm,A_recurrence_norm,pmlst_coherence_norm,ecology_context_diversity_norm,H_external_host_range_norm,external_t_synergy_norm,clinical_context_sparse_penalty_norm	0.7344437550997133
host_transfer_plus_amr_clinical_threat_norm	15	0.8133134191581415	0.7244233165783764	0.7451862304142046	0.7451862304142046	0.5699161281595048	T_eff_norm,H_specialization_norm,A_eff_norm,coherence_score,backbone_purity_norm,assignment_confidence_norm,mash_neighbor_distance_train_norm,replicon_architecture_norm,clinical_context_fraction_norm,A_recurrence_norm,pmlst_coherence_norm,ecology_context_diversity_norm,H_external_host_range_norm,external_t_synergy_norm,amr_clinical_threat_norm	0.7344060735418374
host_transfer_plus_host_taxon_evenness_norm	15	0.8129080863887493	0.7251527308115225	0.7448481641532175	0.7448481641532175	0.5682585805370077	T_eff_norm,H_specialization_norm,A_eff_norm,coherence_score,backbone_purity_norm,assignment_confidence_norm,mash_neighbor_distance_train_norm,replicon_architecture_norm,clinical_context_fraction_norm,A_recurrence_norm,pmlst_coherence_norm,ecology_context_diversity_norm,H_external_host_range_norm,external_t_synergy_norm,host_taxon_evenness_norm	0.7344041474653769
host_transfer_plus_H_phylogenetic_specialization_norm	15	0.8125379999471305	0.7260073838550132	0.7448922597524767	0.7448922597524767	0.5694539181378362	T_eff_norm,H_specialization_norm,A_eff_norm,coherence_score,backbone_purity_norm,assignment_confidence_norm,mash_neighbor_distance_train_norm,replicon_architecture_norm,clinical_context_fraction_norm,A_recurrence_norm,pmlst_coherence_norm,ecology_context_diversity_norm,H_external_host_range_norm,external_t_synergy_norm,H_phylogenetic_specialization_norm	0.7343009196469548
