backbone_id	member_count_train	n_countries_train	n_new_countries	priority_index	spread_label_default	default_threshold	threshold_flip_count	eligible_for_threshold_audit	label_ge_1	label_ge_2	label_ge_3	label_ge_4
AA367	4	1	2	0.7110625440814422	0	3	2	True	1	1	0	0
AC570	4	2	2	0.6317944092382105	0	3	2	True	1	1	0	0
AA086	1	1	2	0.5413923062693567	0	3	2	True	1	1	0	0
AE599	1	1	2	0.4822948380809794	0	3	2	True	1	1	0	0
AA850	2	1	2	0.4751850312717514	0	3	2	True	1	1	0	0
AA767	1	1	2	0.4521597880405797	0	3	2	True	1	1	0	0
AC212	2	2	3	0.8935066681365406	1	3	1	True	1	1	1	0
AB559	2	1	3	0.5697321345804063	1	3	1	True	1	1	1	0
AB710	1	1	1	0.4082111818337955	0	3	1	True	1	0	0	0
AC202	1	1	3	0.330714095591146	1	3	1	True	1	1	1	0
AA043	1	1	1	0.3141851699713113	0	3	1	True	1	0	0	0
AE108	1	1	1	0.2856631869038737	0	3	1	True	1	0	0	0
AA739	12	2	36	0.9891820483704856	1	3	0	True	1	1	1	1
AA627	11	3	11	0.9707836424333084	1	3	0	True	1	1	1	1
AA998	7	1	23	0.9684081964003942	1	3	0	True	1	1	1	1
AA551	15	3	17	0.9568360790021648	1	3	0	True	1	1	1	1
AA338	8	2	33	0.9466043625702116	1	3	0	True	1	1	1	1
AA840	19	2	9	0.9428344281732188	1	3	0	True	1	1	1	1
AA171	3	1	34	0.9382096938935106	1	3	0	True	1	1	1	1
AE249	5	1	5	0.9240756525474972	1	3	0	True	1	1	1	1
AC297	2	2	4	0.8941111755999999	1	3	0	True	1	1	1	1
AA336	12	2	25	0.8837163060774483	1	3	0	True	1	1	1	1
AA353	2	1	0	0.8826661388296024	0	3	0	True	0	0	0	0
AC305	2	1	15	0.8402068731426323	1	3	0	True	1	1	1	1
AA919	28	3	10	0.7872430599703327	1	3	0	True	1	1	1	1
AA079	9	2	8	0.7530974694022691	1	3	0	True	1	1	1	1
AB702	6	2	7	0.7384144667903821	1	3	0	True	1	1	1	1
AB172	6	1	7	0.7301882220502116	1	3	0	True	1	1	1	1
AA842	5	3	5	0.6977276446147358	1	3	0	True	1	1	1	1
AA964	1	1	13	0.6919152875888718	1	3	0	True	1	1	1	1
AA324	3	1	25	0.6853113985784341	1	3	0	True	1	1	1	1
AA275	11	2	33	0.673869444454294	1	3	0	True	1	1	1	1
AA411	12	3	15	0.6717686094944434	1	3	0	True	1	1	1	1
AA175	2	1	19	0.6638746853788583	1	3	0	True	1	1	1	1
AA319	3	1	6	0.6591203894468691	1	3	0	True	1	1	1	1
AA083	11	2	6	0.6576627059471686	1	3	0	True	1	1	1	1
AC301	4	1	0	0.65760576128945	0	3	0	True	0	0	0	0
AC320	12	2	11	0.6571685898741186	1	3	0	True	1	1	1	1
AB460	15	1	15	0.6558903085779305	1	3	0	True	1	1	1	1
AA018	16	1	21	0.6528421286839091	1	3	0	True	1	1	1	1
AA409	4	1	6	0.6482176233399334	1	3	0	True	1	1	1	1
AA323	2	1	18	0.6472801687843418	1	3	0	True	1	1	1	1
AB735	2	1	0	0.6285911937112654	0	3	0	True	0	0	0	0
AA274	8	1	21	0.6191805064794544	1	3	0	True	1	1	1	1
AA457	4	1	12	0.6188967663722245	1	3	0	True	1	1	1	1
AA282	6	1	23	0.6161087976711678	1	3	0	True	1	1	1	1
AD100	2	1	8	0.6152318531367551	1	3	0	True	1	1	1	1
AA434	2	1	4	0.6049627190227708	1	3	0	True	1	1	1	1
AA279	7	2	9	0.5998340546033444	1	3	0	True	1	1	1	1
AB193	3	1	22	0.5791282036445596	1	3	0	True	1	1	1	1
AB169	2	1	8	0.5603523714194262	1	3	0	True	1	1	1	1
AF809	1	1	7	0.544156355623116	1	3	0	True	1	1	1	1
AA040	1	1	0	0.5415045930346669	0	3	0	True	0	0	0	0
AA276	1	1	18	0.5291923849785264	1	3	0	True	1	1	1	1
AF100	1	1	0	0.5273895214099223	0	3	0	True	0	0	0	0
AA297	1	1	10	0.520878757776401	1	3	0	True	1	1	1	1
AA346	3	1	8	0.5134517063817099	1	3	0	True	1	1	1	1
AB561	3	1	6	0.4913107957427338	1	3	0	True	1	1	1	1
AA435	1	1	4	0.4851808409669824	1	3	0	True	1	1	1	1
AA859	1	1	6	0.4807862456632961	1	3	0	True	1	1	1	1
AA316	1	1	17	0.4806880322340943	1	3	0	True	1	1	1	1
AA553	2	1	17	0.4621525914014642	1	3	0	True	1	1	1	1
AA764	1	1	5	0.4167694543737776	1	3	0	True	1	1	1	1
AA331	1	1	11	0.3975449081131299	1	3	0	True	1	1	1	1
AE264	1	1	4	0.3901736637962775	1	3	0	True	1	1	1	1
AA308	1	1	0	0.3885168860706864	0	3	0	True	0	0	0	0
AC203	1	1	6	0.367412418958481	1	3	0	True	1	1	1	1
AA045	2	1	14	0.3628478557330921	1	3	0	True	1	1	1	1
AA557	1	1	5	0.3591840392595037	1	3	0	True	1	1	1	1
AC030	2	1	4	0.3542120272206928	1	3	0	True	1	1	1	1
AA184	7	2	4	0.3475533941750806	1	3	0	True	1	1	1	1
AA295	5	3	6	0.3453031156481417	1	3	0	True	1	1	1	1
AA304	4	2	14	0.3414608712789251	1	3	0	True	1	1	1	1
AA514	1	1	10	0.2205212581255813	1	3	0	True	1	1	1	1
