backbone_id	member_count_train	n_countries_train	n_new_countries	spread_label	priority_index	bio_priority_index	evidence_support_index	coherence_score	freeze_rank	candidate_confidence_tier	primary_model_candidate_score	baseline_both_candidate_score	conservative_model_candidate_score	novelty_margin_vs_baseline	knownness_score	knownness_half	external_support_modalities_count	module_f_enriched_signature_count	risk_uncertainty	uncertainty_review_tier	portfolio_track	track_rank	recommended_monitoring_tier	freeze_candidate_score	false_positive_risk_tier	risk_flag_count	risk_flags	in_consensus_top50	in_candidate_dossier_top25	in_candidate_portfolio	in_novelty_watchlist	in_prospective_freeze	in_higher_confidence_shortlist	evidence_tier	action_tier	main_outcome_status	candidate_universe_origin	visibility_expansion_label	official_primary_model	official_conservative_model	official_governance_model	official_primary_top_10_precision	official_primary_top_10_recall	official_primary_top_25_precision	official_primary_top_25_recall	official_primary_decision_utility_score	official_primary_optimal_decision_threshold	official_governance_top_10_precision	official_governance_top_10_recall	official_governance_top_25_precision	official_governance_top_25_recall	official_governance_decision_utility_score	official_governance_optimal_decision_threshold	official_conservative_top_10_precision	official_conservative_top_10_recall	official_conservative_decision_utility_score	official_conservative_optimal_decision_threshold	official_benchmark_panel_size
AA316	1	1	17	1.0	0.43913493512544166	0.7328109533135523	0.642435489118337	1.0	1.0	watchlist	0.8523094462817126	0.2261896337179814	0.4895414112055405	0.6261198125637312	0.4455679137175599	lower_half	4.0	3.0		review	established_high_risk	9.0	low_confidence_backlog	0.9858284834431128	high	7.0	sparse_training_support_risk,narrow_geography_risk,source_concentration_risk,low_assignment_confidence_risk,amr_uncertainty_risk,proxy_gap_risk,low_candidate_confidence_risk	False	True	True	True	True	False	watchlist	low_confidence_backlog	positive	portfolio_established	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AC030	2	1	4	1.0	0.4359286644928857	0.37689619794879214	0.8155468228283762	1.0	2.0	watchlist	0.8969228823212196	0.3943191864886059	0.6542950100708665	0.5026036958326137	0.4170879676440849	lower_half	1.0	2.0		review	established_high_risk	6.0	low_confidence_backlog	0.9824721952138586	high	6.0	sparse_training_support_risk,narrow_geography_risk,low_assignment_confidence_risk,amr_uncertainty_risk,proxy_gap_risk,low_candidate_confidence_risk	False	True	True	True	True	False	watchlist	low_confidence_backlog	positive	portfolio_established	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AA171	3	1	34	1.0	0.950421761661134	0.9767966394449302	0.8777075735004538	1.0	3.0	watchlist	0.9450559159319252	0.57809768830012	0.6820616685495504	0.3669582276318052	0.4735422986181328	upper_half	4.0	7.0		review	established_high_risk	4.0	low_confidence_backlog	0.9726210346499812	high	5.0	narrow_geography_risk,low_assignment_confidence_risk,amr_uncertainty_risk,proxy_gap_risk,low_candidate_confidence_risk	False	True	True	False	True	False	watchlist	low_confidence_backlog	positive	portfolio_established	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AA302	1	1	8	1.0	0.40243661175810663	0.7328109533135523	0.642435489118337	1.0	4.0	watchlist	0.8969228823212196	0.2261601855074789	0.4546904004768036	0.6707626968137408	0.4455679137175599	lower_half	1.0	3.0		review	established_high_risk	7.0	low_confidence_backlog	0.9604378202912908	high	7.0	sparse_training_support_risk,narrow_geography_risk,source_concentration_risk,low_assignment_confidence_risk,amr_uncertainty_risk,proxy_gap_risk,low_candidate_confidence_risk	False	True	True	True	True	False	watchlist	low_confidence_backlog	positive	portfolio_established	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AA349	1	1	6	1.0	0.40243661175810663	0.7328109533135523	0.642435489118337	1.0	6.0	watchlist	0.803397873709048	0.2309998845249596	0.5464888273106098	0.5723979891840885	0.4455679137175599	lower_half	4.0	2.0		review	novel_signal	10.0	low_confidence_backlog	0.9597818559172724	high	7.0	sparse_training_support_risk,narrow_geography_risk,source_concentration_risk,low_assignment_confidence_risk,amr_uncertainty_risk,proxy_gap_risk,low_candidate_confidence_risk	False	True	True	True	True	False	watchlist	low_confidence_backlog	positive	portfolio_novel	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AB267	1	1	8	1.0	0.40243661175810663	0.7328109533135523	0.642435489118337	1.0	9.0	watchlist	0.828351961612266	0.2261896337179814	0.4895414112055405	0.6021623278942846	0.4455679137175599	lower_half	3.0	3.0		review	novel_signal	8.0	low_confidence_backlog	0.9386095426355864	high	7.0	sparse_training_support_risk,narrow_geography_risk,source_concentration_risk,low_assignment_confidence_risk,amr_uncertainty_risk,proxy_gap_risk,low_candidate_confidence_risk	False	True	True	True	True	False	watchlist	low_confidence_backlog	positive	portfolio_novel	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AA331	1	1	11	1.0	0.4692674242800905	0.7328109533135523	0.642435489118337	1.0	10.0	watchlist	0.8013627310048664	0.1577410767598199	0.4875041900193085	0.6436216542450466	0.26137512639029326	lower_half	1.0	3.0		review	established_high_risk	3.0	low_confidence_backlog	0.9360340804685886	high	7.0	sparse_training_support_risk,narrow_geography_risk,source_concentration_risk,low_assignment_confidence_risk,amr_uncertainty_risk,proxy_gap_risk,low_candidate_confidence_risk	False	True	True	True	True	False	watchlist	low_confidence_backlog	positive	portfolio_established	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AA346	3	1	8	1.0	0.5529204680726938	0.32625209399636756	0.8777075735004538	1.0	12.0	watchlist	1.0	0.6230643035916034	0.7617916397450611	0.37693569640839664	0.6223458038422649	upper_half	2.0	4.0		review	established_high_risk	2.0	low_confidence_backlog	0.91784219998795	high	7.0	narrow_geography_risk,source_concentration_risk,low_assignment_confidence_risk,amr_uncertainty_risk,stability_risk,proxy_gap_risk,low_candidate_confidence_risk	False	True	True	False	True	False	watchlist	low_confidence_backlog	positive	portfolio_established	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AA282	6	1	23	1.0	0.5874091023048057	0.4381889943698674	0.9432822211948426	0.8333333333333334	14.0	watchlist	0.8632410309227359	0.8320222057539505	0.8145838114524889	0.03121882516878538	0.5171890798786652	upper_half	4.0	11.0		review	established_high_risk	10.0	low_confidence_backlog	0.9102829707742004	high	5.0	narrow_geography_risk,low_assignment_confidence_risk,amr_uncertainty_risk,stability_risk,low_candidate_confidence_risk	False	True	True	False	True	False	watchlist	low_confidence_backlog	positive	portfolio_established	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
AA045	2	1	14	1.0	0.35424329157297246	0.42743899596633766	0.7185450591599458	0.8333333333333334	16.0	watchlist	0.9195074339507184	0.4272818931187258	0.6099382354540027	0.49222554083199266	0.5761712167172228	upper_half	3.0	3.0		review	established_high_risk	5.0	low_confidence_backlog	0.9043785159539688	high	8.0	sparse_training_support_risk,narrow_geography_risk,source_concentration_risk,low_assignment_confidence_risk,amr_uncertainty_risk,stability_risk,proxy_gap_risk,low_candidate_confidence_risk	False	True	True	False	True	False	watchlist	low_confidence_backlog	positive	portfolio_established	1.0	discovery_boosted	parsimonious_priority	governance_linear	1.0	0.027624309392265192	0.92	0.06353591160220995	-0.19817997977755308	0.21	0.9	0.024861878453038673	0.8	0.055248618784530384	-0.2679474216380182	0.0	0.8	0.022099447513812154	-0.2679474216380182	0.0	4
