consensus_shortlist_rank	selection_origin	portfolio_track	track_rank	backbone_id	candidate_confidence_tier	recommended_monitoring_tier	false_positive_risk_tier	multiverse_stability_tier	multiverse_stability_score	primary_model_candidate_score	conservative_model_candidate_score	baseline_both_candidate_score	novelty_margin_vs_baseline	bootstrap_top_10_frequency	variant_top_10_frequency	threshold_robustness_score	knownness_half	knownness_score	n_new_countries	spread_label	visibility_expansion_label
1	portfolio	established_high_risk	1	AB039	watchlist	low_confidence_backlog	high	fragile	0.37083333333333335	1.0	0.487274915982597	0.3266443146739701	0.6733556853260299	0.1	0.0	1.0	upper_half	0.5808897876643074	11	1.0	1.0
2	portfolio	established_high_risk	2	AA346	watchlist	low_confidence_backlog	high	fragile	0.5229166666666667	1.0	0.7617916397450611	0.6230643035916034	0.37693569640839664	0.125	0.1666666666666666	1.0	upper_half	0.6223458038422649	8	1.0	1.0
3	portfolio	established_high_risk	3	AA331	watchlist	low_confidence_backlog	high	moderately_stable	0.7104166666666667	0.8013627310048664	0.4875041900193085	0.1577410767598199	0.6436216542450466	0.475	0.8333333333333334	1.0	lower_half	0.26137512639029326	11	1.0	1.0
4	portfolio	established_high_risk	4	AA171	watchlist	low_confidence_backlog	high	stable	1.0	0.9450559159319252	0.6820616685495504	0.57809768830012	0.3669582276318052	1.0	1.0	1.0	upper_half	0.4735422986181328	34	1.0	1.0
5	portfolio	established_high_risk	5	AA045	watchlist	low_confidence_backlog	high	fragile	0.41458333333333336	0.9195074339507184	0.6099382354540027	0.4272818931187258	0.49222554083199266	0.175	0.0	1.0	upper_half	0.5761712167172228	14	1.0	1.0
6	portfolio	established_high_risk	6	AC030	watchlist	low_confidence_backlog	high	stable	0.9041666666666667	0.8969228823212196	0.6542950100708665	0.3943191864886059	0.5026036958326137	0.95	0.8333333333333334	1.0	lower_half	0.4170879676440849	4	1.0	1.0
7	portfolio	established_high_risk	7	AA302	watchlist	low_confidence_backlog	high	stable	0.8666666666666667	0.8969228823212196	0.4546904004768036	0.2261601855074789	0.6707626968137408	0.825	0.8333333333333334	1.0	lower_half	0.4455679137175599	8	1.0	1.0
8	portfolio	established_high_risk	8	AE249	watchlist	low_confidence_backlog	high	fragile	0.3875	0.8804710751477756	0.7043258686293469	0.7678138814651719	0.11265719368260363	0.075	0.0	1.0	upper_half	0.4823053589484328	5	1.0	1.0
9	portfolio	established_high_risk	9	AA316	watchlist	low_confidence_backlog	high	stable	0.9166666666666667	0.8523094462817126	0.4895414112055405	0.2261896337179814	0.6261198125637312	1.0	0.8333333333333334	1.0	lower_half	0.4455679137175599	17	1.0	1.0
10	portfolio	established_high_risk	10	AA282	watchlist	low_confidence_backlog	high	fragile	0.5104166666666666	0.8632410309227359	0.8145838114524889	0.8320222057539505	0.03121882516878538	0.15	0.1666666666666666	1.0	upper_half	0.5171890798786652	23	1.0	1.0
11	portfolio	novel_signal	4	AA434	novelty_watchlist	low_confidence_backlog	high	fragile	0.3333333333333333	0.7546502677836542	0.6825944039989474	0.3943191864886059	0.36033108129504826			1.0	lower_half		4	1.0	1.0
12	portfolio	novel_signal	5	AF809	novelty_watchlist	low_confidence_backlog	high	fragile	0.3333333333333333	0.8632410309227359	0.6307798868505486	0.2261896337179814	0.6370513972047545			1.0	lower_half		7	1.0	1.0
13	portfolio	novel_signal	7	AA764	novelty_watchlist	low_confidence_backlog	high	fragile	0.3333333333333333	0.8523094462817126	0.52154657618432	0.2261896337179814	0.6261198125637312			1.0	lower_half		5	1.0	1.0
14	portfolio	novel_signal	8	AB267	novelty_watchlist	low_confidence_backlog	high	fragile	0.8694444444444445	0.828351961612266	0.4895414112055405	0.2261896337179814	0.6021623278942846	0.55	0.8333333333333334	1.0	lower_half		8	1.0	1.0
15	portfolio	novel_signal	9	AA297	novelty_watchlist	low_confidence_backlog	high	fragile	0.4083333333333334	0.803397873709048	0.6500380760875363	0.2309998845249596	0.5723979891840885	0.025	0.0	1.0	lower_half		10	1.0	1.0
16	portfolio	novel_signal	10	AA349	novelty_watchlist	low_confidence_backlog	high	fragile	0.9361111111111112	0.803397873709048	0.5464888273106098	0.2309998845249596	0.5723979891840885	0.8	0.8333333333333334	1.0	lower_half		6	1.0	1.0
