model_name	top_k	n_backbones	n_selected	n_positive_total	n_positive_selected	n_negative_selected	positive_prevalence	precision_at_k	recall_at_k	precision_lift_vs_prevalence	mean_prediction_at_k	min_prediction_at_k
discovery_12f_source	5	989	5	362	5	0	0.3660262891809909	1.0	0.013812154696132596	0.6339737108190091	0.9564391182582647	0.9451949281874944
discovery_12f_source	10	989	10	362	10	0	0.3660262891809909	1.0	0.027624309392265192	0.6339737108190091	0.9457281041529658	0.9313943033485692
discovery_12f_source	25	989	25	362	23	2	0.3660262891809909	0.92	0.06353591160220995	0.5539737108190091	0.9237958752498173	0.8889470991129687
discovery_12f_source	50	989	50	362	44	6	0.3660262891809909	0.88	0.12154696132596685	0.5139737108190091	0.893886835247716	0.8417555678954306
discovery_12f_source	100	989	100	362	87	13	0.3660262891809909	0.87	0.24033149171270718	0.5039737108190091	0.8380326569550286	0.7333089077683097
parsimonious_priority	5	989	5	362	3	2	0.3660262891809909	0.6	0.008287292817679558	0.23397371081900908	0.8987878186584819	0.8901566246756106
parsimonious_priority	10	989	10	362	7	3	0.3660262891809909	0.7	0.019337016574585635	0.33397371081900906	0.8912129336343078	0.8751859388954955
parsimonious_priority	25	989	25	362	22	3	0.3660262891809909	0.88	0.06077348066298342	0.5139737108190091	0.8712265532468529	0.844269957071651
parsimonious_priority	50	989	50	362	43	7	0.3660262891809909	0.86	0.11878453038674033	0.4939737108190091	0.8368240545206608	0.7707874258184886
parsimonious_priority	100	989	100	362	80	20	0.3660262891809909	0.8	0.22099447513812154	0.43397371081900915	0.7719502524728376	0.6326679744299624
phylo_support_fusion_priority	5	989	5	362	5	0	0.3660262891809909	1.0	0.013812154696132596	0.6339737108190091	0.9931944411675525	0.991489958850362
phylo_support_fusion_priority	10	989	10	362	10	0	0.3660262891809909	1.0	0.027624309392265192	0.6339737108190091	0.9902673005741377	0.9837447005027332
phylo_support_fusion_priority	25	989	25	362	25	0	0.3660262891809909	1.0	0.06906077348066299	0.6339737108190091	0.9814140687405051	0.9693012874624604
phylo_support_fusion_priority	50	989	50	362	49	1	0.3660262891809909	0.98	0.13535911602209943	0.6139737108190091	0.9702684127064184	0.949286839658067
phylo_support_fusion_priority	100	989	100	362	91	9	0.3660262891809909	0.91	0.2513812154696133	0.5439737108190091	0.9463064554231702	0.899182251832246
knownness_robust_priority	5	989	5	362	5	0	0.3660262891809909	1.0	0.013812154696132596	0.6339737108190091	0.9721220366863186	0.9682933155913196
knownness_robust_priority	10	989	10	362	10	0	0.3660262891809909	1.0	0.027624309392265192	0.6339737108190091	0.9641891660409314	0.9514249393230392
knownness_robust_priority	25	989	25	362	21	4	0.3660262891809909	0.84	0.058011049723756904	0.4739737108190091	0.9483973339053681	0.9285107697323336
knownness_robust_priority	50	989	50	362	43	7	0.3660262891809909	0.86	0.11878453038674033	0.4939737108190091	0.9293992759581569	0.8957257641865448
knownness_robust_priority	100	989	100	362	85	15	0.3660262891809909	0.85	0.23480662983425415	0.4839737108190091	0.8996075711442765	0.8474978241629554
host_transfer_synergy_priority	5	989	5	362	5	0	0.3660262891809909	1.0	0.013812154696132596	0.6339737108190091	0.9715684764179	0.968539933985432
host_transfer_synergy_priority	10	989	10	362	10	0	0.3660262891809909	1.0	0.027624309392265192	0.6339737108190091	0.9648259127938477	0.95511785430681
host_transfer_synergy_priority	25	989	25	362	22	3	0.3660262891809909	0.88	0.06077348066298342	0.5139737108190091	0.9507073964342987	0.9314200867733818
