model_name	model_track	selection_rank	roc_auc	average_precision	matched_knownness_weighted_roc_auc	knownness_matched_gap	source_holdout_weighted_roc_auc	source_holdout_gap	spatial_holdout_roc_auc	spatial_holdout_gap	ece	selection_adjusted_empirical_p_roc_auc	matched_knownness_gate_pass	source_holdout_gate_pass	spatial_holdout_gate_pass	calibration_gate_pass	selection_adjusted_gate_pass	leakage_review_gate_pass	scientific_acceptance_scored	scientific_acceptance_flag	scientific_acceptance_status	scientific_acceptance_failed_criteria	matched_knownness_gap_min	source_holdout_gap_min	spatial_holdout_gap_min	ece_max	selection_adjusted_p_max
baseline_both	baseline	3	0.7224968498594553	0.6471951497145494	0.5939611196117038	-0.12853573024775145	0.737077811705432	0.014580961845976681	0.739834474783596	0.017337624924140704	0.0393089918413468	0.0049751243781094	False	True	True	True	True	True	True	False	fail	fail:matched_knownness	-0.005	-0.005	-0.03	0.05	0.01
baseline_member_count	baseline		0.7228757478830174	0.6491355516322392	0.5965405598725909	-0.12633518801042654	0.7362336179047617	0.013357870021744267	0.7396857185008873	0.01680997061786982			False	True	True	False	False	True	False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc	-0.005	-0.005	-0.03	0.05	0.01
baseline_country_count	baseline		0.541687594173782	0.45446424969117094	0.4490543429959865	-0.09263325117779547	0.5716220487574787	0.0299344545836967	0.5837471569328374	0.042059562759055424	0.0342408204264931		False	True	True	True	False	True	False	False	not_scored	missing:selection_adjusted_empirical_p_roc_auc	-0.005	-0.005	-0.03	0.05	0.01
source_only	baseline		0.45228087798602484	0.33889561941036755	0.4460733397808866	-0.006207538205138252	0.43352143116208275	-0.018759446823942094	0.4632058783572968	0.010925000371271976	0.0619132489815439		False	False	True	False	False	True	False	False	not_scored	missing:selection_adjusted_empirical_p_roc_auc	-0.005	-0.005	-0.03	0.05	0.01
bio_clean_priority	discovery	2	0.7454289918669099	0.6538034832512319	0.6987471388426514	-0.046681853024258535	0.7073423654930302	-0.03808662637387972	0.7309133523772844	-0.014515639489625531	0.0634492458143225	0.0049751243781094	False	False	True	False	True	True	True	False	fail	fail:matched_knownness,source_holdout,calibration	-0.005	-0.005	-0.03	0.05	0.01
parsimonious_priority	discovery		0.7505793615127724	0.6591153194245379	0.6831103876128551	-0.06746897389991724	0.73557847326372	-0.015000888249052435	0.7409561906444806	-0.009623170868291786	0.0461777627794156		False	False	True	True	False	True	False	False	not_scored	missing:selection_adjusted_empirical_p_roc_auc	-0.005	-0.005	-0.03	0.05	0.01
phylo_support_fusion_priority	governance	1	0.8276630803528158	0.7667444183653935	0.7752971921878096	-0.0523658881650062	0.7618507946622807	-0.0658122856905351	0.8212940693525795	-0.0063690110002362355	0.0853079007704895	0.0049751243781094	False	False	True	False	True	True	True	False	fail	fail:matched_knownness,source_holdout,calibration	-0.005	-0.005	-0.03	0.05	0.01
support_synergy_priority	governance		0.8216579872584525	0.7525359408300115	0.7675826086632834	-0.05407537859516909	0.7638597282748243	-0.057798258983628226	0.8167717365630887	-0.0048862506953638585			False	False	True	False	False	True	False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc	-0.005	-0.005	-0.03	0.05	0.01
structured_signal_priority	governance		0.8097403226801307	0.720685362223955	0.7511203576546109	-0.058619965025519805	0.7804000375048699	-0.029340285175260883	0.8003089719303582	-0.009431350749772527			False	False	True	False	False	True	False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc	-0.005	-0.005	-0.03	0.05	0.01
support_calibrated_priority	governance		0.8074537171658428	0.7389402271702246	0.742234816507049	-0.06521890065879377	0.7605919980995438	-0.04686171906629899	0.8046223594837162	-0.0028313576821266118			False	False	True	False	False	True	False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc	-0.005	-0.005	-0.03	0.05	0.01
host_transfer_synergy_priority	governance		0.8054006185730525	0.7145218046178778	0.7420958441814793	-0.06330477439157312	0.7602871112816332	-0.045113507291419275	0.8009483617722318	-0.00445225680082062	0.1223456700225696		False	False	True	False	False	True	False	False	not_scored	missing:selection_adjusted_empirical_p_roc_auc	-0.005	-0.005	-0.03	0.05	0.01
knownness_robust_priority	governance		0.8045987646162116	0.7125010981098948	0.7403901199477892	-0.06420864466842235	0.7600165528173994	-0.044582211798812166	0.8012042001004067	-0.0033945645158048876	0.1210828635638728		False	False	True	False	False	True	False	False	not_scored	missing:selection_adjusted_empirical_p_roc_auc	-0.005	-0.005	-0.03	0.05	0.01
ecology_clinical_priority	governance		0.798672975759338	0.7038929394199659	0.7327875001392433	-0.06588547562009472	0.790348818099599	-0.00832415765973904	0.7860737953647304	-0.012599180394607612	0.0521303158197124		False	False	True	False	False	True	False	False	not_scored	missing:selection_adjusted_empirical_p_roc_auc	-0.005	-0.005	-0.03	0.05	0.01
monotonic_latent_priority	governance		0.7958752984923383	0.7070238714493781	0.7390458079846647	-0.05682949050767361	0.7739878983763202	-0.021887400116018085	0.7877692932999296	-0.008106005192408672			False	False	True	False	False	True	False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc	-0.005	-0.005	-0.03	0.05	0.01
natural_auc_priority	governance		0.7852397190867676	0.6929323560191941	0.71699037629456	-0.06824934279220762	0.7743792564125933	-0.010860462674174287	0.7742604796177168	-0.010979239469050772			False	False	True	False	False	True	False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc	-0.005	-0.005	-0.03	0.05	0.01
threat_architecture_priority	governance		0.7776000775419211	0.6940609258368831	0.7067879499492119	-0.07081212759270916	0.7634187898113467	-0.014181287730574366	0.7674913839968752	-0.010108693545045844			False	False	True	False	False	True	False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc	-0.005	-0.005	-0.03	0.05	0.01
phylogeny_aware_priority	governance		0.7774546864398566	0.6940569247548637	0.7072126286371643	-0.07024205780269233	0.7602433266461458	-0.0172113597937108	0.7628116154348572	-0.014643071004999397			False	False	True	False	False	True	False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc	-0.005	-0.005	-0.03	0.05	0.01
full_priority	governance		0.7747891829020064	0.6867095570772024	0.6925318378529636	-0.08225734504904281	0.7468389459664756	-0.02795023693553078	0.7803650113940486	0.00557582849204219	0.0342238009825754		False	False	True	True	False	True	False	False	not_scored	missing:selection_adjusted_empirical_p_roc_auc	-0.005	-0.005	-0.03	0.05	0.01
