model_name	status	roc_auc	roc_auc_ci_lower	roc_auc_ci_upper	average_precision	average_precision_ci_lower	average_precision_ci_upper	brier_score	brier_skill_score	brier_score_ci_lower	brier_score_ci_upper	ece	permutation_p_roc_auc	n_permutations	delta_vs_baseline_roc_auc	delta_vs_baseline_ci_lower	delta_vs_baseline_ci_upper	spatial_holdout_roc_auc	spatial_holdout_regions	spatial_holdout_n_backbones	best_spatial_holdout_region	best_spatial_holdout_region_roc_auc	worst_spatial_holdout_region	worst_spatial_holdout_region_roc_auc	n_backbones	n_positive	positive_prevalence	report_visibility	error_message	average_precision_enrichment	average_precision_lift	brier_reliability	brier_resolution	brier_uncertainty	calibration_intercept	calibration_slope	decision_utility_cost	decision_utility_grid_size	decision_utility_positive_rate	decision_utility_precision	decision_utility_recall	decision_utility_score	expected_calibration_error_x	log_loss	log_loss_ci_lower	log_loss_ci_upper	max_calibration_error_x	ndcg_at_10	ndcg_at_25	novelty_adjusted_average_precision	optimal_decision_threshold	precision_at_top_10	precision_at_top_25	recall_at_top_10	recall_at_top_25	split_strategy	weighted_classification_cost	expected_calibration_error_y	max_calibration_error_y	matched_knownness_weighted_roc_auc	knownness_matched_gap	source_holdout_weighted_roc_auc	source_holdout_gap	spatial_holdout_gap	scientific_acceptance_scored	scientific_acceptance_flag	scientific_acceptance_status	scientific_acceptance_failed_criteria	matched_knownness_gate_pass	source_holdout_gate_pass	spatial_holdout_gate_pass	calibration_gate_pass	selection_adjusted_gate_pass	leakage_review_gate_pass	spatial_holdout_gap
discovery_boosted	ok	0.8106192779789756	0.7804047694251196	0.8388843330272683	0.7211783736332109	0.6753748029545873	0.7683603751062357	0.17247242394600337	0.25674791041049294	0.16002654782694614	0.18505149832034515	0.091811203710963	0.0004997501249375	2000.0	0.0740164549248443	0.0399671555261217	0.1069610132352581	0.709650770851543	5.0	952.0	Latin America and Caribbean	0.851984126984127	Oceania	0.6136363636363636	989	362	0.3660262891809909	official		1.9702911920531647	0.35515208445222	0.0098380825937303	0.06911016909947806	0.23205104480938452	-0.5282352927172506	1.0279568167444229	0.19817997977755308	181.0	0.78159757330637	0.4411384217335058	0.9419889502762431	-0.19817997977755308	0.09181121584443126	0.5252832444296641	0.4969941935298347	0.555285893900008	0.15922220706968016	1.0	0.9677007984190377	0.11828167093225382	0.21	1.0	0.96	0.027624309392265192	0.06629834254143646	stratified_repeated	0.19817997977755308	0.091811203710963	0.1592222070696801	0.8106192779789756	0.0	0.512306221944142	-0.2983130560348336	-0.10096850712743255	False	False	not_scored	missing:selection_adjusted_empirical_p_roc_auc	True	False	False	False	False	True	-0.10096850712743255
governance_linear	ok	0.6916122551481667	0.6550105583526773	0.7233094293773075	0.603515939071214	0.5486683940661313	0.6518082030284341	0.2105979063513	0.09245008345343564	0.20136317869444761	0.22138536039398424	0.1003827163977399						0.6792600825629923	5.0	952.0	North America	0.7801464254952627	Asia	0.5886855862584018	989	362	0.3660262891809909	official		1.6488322202801953	0.23748964989022314	0.013553924151356332	0.037013548240759836	0.23205104480938452	-0.4123498959434806	0.8933783550417019	0.2679474216380182	928.0	1.0	0.3660262891809909	1.0	-0.2679474216380182	0.10038271639773991	0.6147203418838618	0.5934646901913009	0.6408071740424821	0.18181607371630842	0.9363792118010483	0.8421192809464574	0.12888633091465235	0.0	0.9	0.8	0.024861878453038673	0.055248618784530384	stratified_repeated	0.2679474216380182	0.1003827163977399	0.1818160737163084	0.6916122551481667	0.0	0.6822326684319803	-0.009379586716186439	-0.012352172585174404	False	False	not_scored	missing:selection_adjusted_empirical_p_roc_auc	True	False	True	False	False	True	-0.012352172585174404
baseline_both	ok	0.7364764246125107	0.7018322583391291	0.7681946438621874	0.647844936742771	0.5988272589319804	0.7002379678373601	0.185781852285341	0.19939230423224674	0.17422899542787232	0.1981399380762463	0.0397374994342998	0.0004997501249375	2000.0				0.7374061319386842	5.0	952.0	Europe	0.7467385138967668	Oceania	0.6984848484848485	989	362	0.3660262891809909	official		1.7699410012116037	0.2818186475617801	0.0021134904152924896	0.04813860371075247	0.23205104480938452	-0.008077563844770224	0.9886280522579172	0.2679474216380182	260.0	1.0	0.3660262891809909	1.0	-0.2679474216380182	0.03973749943429983	0.5581878082888202	0.5304622611444367	0.5877781185811034	0.07344592658942106	0.9363792118010483	0.9049784337599491	0.084344503798484	0.0	0.9	0.88	0.024861878453038673	0.06077348066298342	stratified_repeated	0.2679474216380182	0.0397374994342998	0.073445926589421	0.7364764246125107	0.0	0.7330829046377315	-0.0033935199747792133	0.000929707326173479	False	False	not_scored	missing:selection_adjusted_empirical_p_roc_auc	True	True	True	True	False	True	0.000929707326173479
support_synergy_priority	ok	0.8224576383198076	0.7944244340296147	0.8471089273672261	0.7507567212234272	0.7092640906614236	0.7898262360994435	0.1691933751123523	0.270878632538224	0.15741143727497797	0.18204800248367542							0.8158540863900878	5.0	952.0	North America	0.8613025169872716	Europe	0.7885351673284174	989	362	0.3660262891809909	audit_only		2.051100544999916	0.3847304320424363	0.009411713703720317	0.07185693683252341	0.23205104480938452	-0.5413050490027101	0.9563404884178378	0.1435793731041456	1005.0	0.7411526794742164	0.4679399727148704	0.9475138121546961	-0.1435793731041456	0.08834993635871663	0.5124370950601687	0.4824026036457726	0.5429744961078017	0.16041245317699626	1.0	1.0	0.11590979431295462	0.19338236582979754	1.0	1.0	0.027624309392265192	0.06906077348066299	stratified_repeated	0.1435793731041456			0.8224576383198076	0.0	0.7637529609276663	-0.05870467739214125	-0.006603551929719731	False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc	True	False	True	False	False	True	-0.006603551929719731
discovery_graph_boosted	ok	0.8086653096830474	0.7783201431470079	0.836418924094138	0.7212150556773247	0.6749756098033903	0.7700571775153687	0.17369615783853048	0.2514743556478659	0.16133931468771442	0.18605699572016327							0.7154494963988172	5.0	952.0	Latin America and Caribbean	0.8234126984126984	Europe	0.6553814520703346	989	362	0.3660262891809909	audit_only		1.9703914090189893	0.3551887664963338	0.010806184403535358	0.0676906166904702	0.23205104480938452	-0.5185546064478423	0.9440524309485733	0.18402426693629928	174.0	0.6329625884732053	0.5143769968051118	0.8895027624309392	-0.18402426693629928	0.09033342559804315	0.5279009928657938	0.49674935480217236	0.5585497199429618	0.16349632888333748	1.0	1.0	0.1190186740517045	0.2041424886159781	1.0	1.0	0.027624309392265192	0.06906077348066299	stratified_repeated	0.18402426693629928			0.8086653096830474	0.0	0.6492696158120301	-0.15939569387101726	-0.09321581328423023	False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc	True	False	False	False	False	True	-0.09321581328423023
T_plus_H_plus_A	ok	0.7527602280437407	0.7189040396239467	0.7856435894694992	0.6683661386505251	0.6190608463450512	0.719407300844792	0.1844291136596186	0.20522179156264686	0.1724455717087846	0.19753236872288202							0.7558055557475309	5.0	952.0	Latin America and Caribbean	0.7710317460317461	Asia	0.7404779686333084	989	362	0.3660262891809909	audit_only		1.8260058318380368	0.3023398494695342	0.002680951426937767	0.05166273297516773	0.23205104480938452	0.006136669669790867	1.0076494942120353	0.2679474216380182	494.0	1.0	0.3660262891809909	1.0	-0.2679474216380182	0.04596926975378761	0.5520010534491331	0.5234174795686111	0.5832530013980332	0.07952741390102663	0.8512360941594275	0.8642358835885031	0.10315833110540776	0.0	0.8	0.84	0.022099447513812154	0.058011049723756904	stratified_repeated	0.2679474216380182			0.7527602280437407	0.0	0.7358268444560946	-0.016933383587646067	0.0030453277037902904	False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc	True	False	True	False	False	True	0.0030453277037902904
parsimonious_priority	ok	0.7469908447663609	0.7138513515977786	0.7794882842212723	0.6574204804941146	0.6083610787632772	0.7096907892329355	0.18810826393468447	0.18936687361522675	0.17669115096028695	0.201283830023087	0.0353092560330927	0.0004997501249375	2000.0				0.7433376708078903	5.0	952.0	Latin America and Caribbean	0.7948412698412698	Asia	0.7054304918382588	989	362	0.3660262891809909	audit_only		1.7961018099687276	0.2913941913131237	0.0018171665542474893	0.04509867094382274	0.23205104480938452	0.18512682297329067	1.114521488169366	0.2679474216380182	555.0	1.0	0.3660262891809909	1.0	-0.2679474216380182	0.03530925603309272	0.5608401550169693	0.5331820554354453	0.5917975257162068	0.07809660400004159	0.826813366651774	0.8700009374611027	0.10368768057372148	0.0	0.8	0.88	0.022099447513812154	0.06077348066298342	stratified_repeated	0.2679474216380182	0.0353092560330927	0.0780966040000415	0.7469908447663609	0.0	0.732513987434154	-0.014476857332206938	-0.0036531739584706457	False	False	not_scored	missing:selection_adjusted_empirical_p_roc_auc	True	False	True	True	False	True	-0.0036531739584706457
T_only	ok	0.710966894886639	0.6766287812267124	0.7467618334768935	0.6463019506681842	0.5999913138103874	0.6973100832220995	0.20172324747453604	0.13069450887308376	0.19088283404033737	0.2132789610428846							0.7233531954433076	5.0	952.0	Latin America and Caribbean	0.7742063492063492	Oceania	0.6848484848484848	989	362	0.3660262891809909	audit_only		1.765725495057553	0.2802756614871933	0.010217021550782364	0.04142571847699478	0.23205104480938452	0.008881801887354301	1.0178501913862508	0.2679474216380182	281.0	1.0	0.3660262891809909	1.0	-0.2679474216380182	0.07653089743934838	0.59260919953804	0.5680505097683842	0.6191396318614804	0.17926265949813383	1.0	0.9738376553063334	0.09881630849628896	0.0	1.0	0.96	0.027624309392265192	0.06629834254143646	stratified_repeated	0.2679474216380182			0.710966894886639	0.0	0.7200680514660412	0.009101156579402248	0.012386300556668561	False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc	True	True	True	False	False	True	0.012386300556668561
A_only	ok	0.6474618238212306	0.6099999779472963	0.6836779594886534	0.5313789640281116	0.48284129155339345	0.5913853385977537	0.21450913986282108	0.07559502677944419	0.2041436215108741	0.226358158655882							0.6648910074257407	5.0	952.0	Europe	0.7021412365286444	Asia	0.6036221060492906	989	362	0.3660262891809909	audit_only		1.4517508160878518	0.16535267484712068	0.008381038053503188	0.028402646086596088	0.23205104480938452	-0.010663062792351307	0.9788859500444362	0.2679474216380182	209.0	1.0	0.3660262891809909	1.0	-0.2679474216380182	0.07252673869769143	0.6195857489250551	0.5973142299750975	0.6447910465098908	0.20789905013923166	0.6242322474067891	0.666860639526766	0.09321244600149277	0.0	0.6	0.68	0.016574585635359115	0.04696132596685083	stratified_repeated	0.2679474216380182			0.6474618238212306	0.0	0.6612962920664806	0.01383446824524992	0.017429183604510068	False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc	True	True	True	False	False	True	0.017429183604510068
H_only	ok	0.5262188620723078	0.48240729533486143	0.5695746831077618	0.4698192921217957	0.42527820967611274	0.5270115632914193	0.21764131585918828	0.06209723796776234	0.20744846194568353	0.22789905868556024							0.5315166399957227	5.0	952.0	Oceania	0.6712121212121213	Latin America and Caribbean	0.4503968253968254	989	362	0.3660262891809909	audit_only		1.2835670715703202	0.10379300294080479	0.025402761952218536	0.03949299698627821	0.23205104480938452	0.014993482449154697	1.0269410920577529	0.2659251769464105	271.0	0.9979777553083923	0.3667679837892604	1.0	-0.2659251769464105	0.11067740551281093	0.6273246431738356	0.6057944470647851	0.6491179597996064	0.41600244477550524	0.41125017975368	0.5827312426110467	0.07871640587081818	0.27130467302441497	0.5	0.68	0.013812154696132596	0.04696132596685083	stratified_repeated	0.2659251769464105			0.5262188620723078	0.0	0.5311779644440782	0.00495910237177033	0.005297777923414904	False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc	True	True	True	False	False	True	0.005297777923414904
label_permutation	ok	0.5253332980870056	0.4897218555954233	0.5631055786875411	0.38465905390698685	0.34680404458484515	0.42995131821638954	0.256208039180899	-0.104102071125592	0.24584037783372617	0.2669857622921906														989	362	0.3660262891809909	audit_only		1.0509055367790332	0.018632764725995954	0.024136903270622213	0.0030650790041207273	0.23205104480938452	-0.5607463791750721	-0.02521438043992082	0.2679474216380182	173.0	1.0	0.3660262891809909	1.0	-0.2679474216380182	0.11546610499480536	0.9051501349839839	0.7520167751599587	1.0833718379188229	0.26717788926561853	0.33816867746367263	0.4061162161276292		0.0	0.4	0.44	0.011049723756906077	0.03038674033149171		0.2679474216380182			0.5253332980870056	0.0	0.5253332980870056	0.0		False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc,spatial_holdout_roc_auc	True	True	False	False	False	True	
random_score_control	ok	0.5007930423748975	0.46405918887170927	0.5379541100703741	0.37931626862191536	0.33902188934889393	0.4292846069640477	0.33437927996219813	-0.440972955915238	0.3154239860919049	0.35344599046595976														989	362	0.3660262891809909	audit_only		1.0363088112350118	0.013289979440924471	0.10245805486165369	0.00046546698662628815	0.23205104480938452	-0.5493193604520252	0.0007714046174667505	0.2659251769464105	1090.0	0.9979777553083923	0.3667679837892604	1.0	-0.2659251769464105	0.2728574973757245	1.0120052236993993	0.9498577844679549	1.0751940098726505	0.5886215016352812	0.48854680201562284	0.5142477704453038		0.001233062511908134	0.4	0.48	0.011049723756906077	0.03314917127071823		0.2659251769464105			0.5007930423748975	0.0	0.5007930423748975	0.0		False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc,spatial_holdout_roc_auc	True	True	False	False	False	True	
