model_name	model_track	roc_auc	average_precision	prediction_vs_knownness_spearman	ece	weighted_classification_cost	decision_utility_score	decision_utility_cost	optimal_decision_threshold	decision_utility_precision	decision_utility_recall	decision_utility_positive_rate	spatial_holdout_roc_auc	selection_adjusted_empirical_p_roc_auc	lower_half_knownness_n_backbones	lower_half_knownness_roc_auc	lowest_knownness_quartile_n_backbones	lowest_knownness_quartile_roc_auc	matched_knownness_weighted_roc_auc	source_holdout_weighted_roc_auc	source_holdout_macro_roc_auc	roc_auc_component_score	average_precision_component_score	lower_half_knownness_roc_auc_component_score	lowest_knownness_quartile_roc_auc_component_score	matched_knownness_weighted_roc_auc_component_score	source_holdout_macro_roc_auc_component_score	prediction_vs_knownness_spearman_component_score	decision_utility_score_component_score	selection_composite_score	selection_metric_count	selection_missing_metric_count	leakage_review_required	leakage_review_reason	knownness_matched_gap	source_holdout_gap	guardrail_loss	governance_priority_score	strict_knownness_acceptance_flag	spatial_holdout_gap	matched_knownness_gate_pass	source_holdout_gate_pass	spatial_holdout_gate_pass	calibration_gate_pass	selection_adjusted_gate_pass	leakage_review_gate_pass	scientific_acceptance_scored	scientific_acceptance_flag	scientific_acceptance_status	selection_metrics_complete	scientific_acceptance_failed_criteria	selection_rank	track_rank	discovery_track_rank	governance_track_rank	baseline_track_rank	governance_rank
phylo_support_fusion_priority	governance	0.827138791227189	0.7665059493881674	0.5732670244927672	0.0852389523508536	0.13549039433771487	-0.13549039433771487	0.13549039433771487	0.18399242581331562	0.4668470906630582	0.9530386740331491	0.7472194135490394	0.8211058633592307	0.0049751243781094	631	0.7598553664344299	0		0.7752971921878096	0.7618556347800043	0.7358996662499979	0.9534883720930233	1.0	0.9302325581395349		1.0	0.7142857142857143	0.2790697674418605	0.9534883720930233	0.8329378262933079	7	0	False		-0.05184159903937946	-0.06528315644718474	0.1171247554865642	0.7100140357406248	False	-0.006032927867958282	False	False	True	False	True	True	True	False	fail	True	fail:matched_knownness,source_holdout,calibration	1	1		2		2
sovereign_precision_priority	governance	0.8282534563430173	0.7657189108850624	0.5752261338213718	0.0862322443219034	0.13043478260869565	-0.13043478260869565	0.13043478260869565	0.19775949009308597	0.4731774415405777	0.9502762430939227	0.7350859453993933	0.821915747872633	0.0196078431372549	631	0.7614428080077609	0		0.7375379504668504	0.7737608601840903	0.739542733031539	1.0	0.9302325581395349	0.9767441860465116		0.6521739130434783	0.9142857142857143	0.2558139534883721	1.0	0.8184643321433731	7	0	False		-0.09071550587616684	-0.05449259615892699	0.14520810203509382	0.6830453543079235	False	-0.0063377084703842845	False	False	True	False	False	True	True	False	fail	True	fail:matched_knownness,source_holdout,calibration,selection_adjusted_null	2	2		3		4
discovery_12f_source	discovery	0.8035942442746746	0.722509742523147	0.5126561057115403	0.0491210616377955	0.16177957532861476	-0.16177957532861476	0.16177957532861476	0.16405464849785317	0.46887966804979253	0.93646408839779	0.731041456016178	0.788854508831935	0.0049751243781094	631	0.7334714995443454	0		0.7131502935696897	0.7824860062588886	0.7389043832389603	0.6744186046511628	0.7906976744186046	0.7906976744186046		0.5217391304347826	0.8571428571428572	0.6046511627906976	0.7093023255813953	0.7069499184911577	7	0	False		-0.0904439507049849	-0.021108238015785985	0.11155218872077088	0.6920420555539037	False	-0.014739735442739654	False	False	True	True	True	True	True	False	fail	True	fail:matched_knownness,source_holdout	3	1	1			3
sovereign_v2_priority	governance	0.8281917752694141	0.7664028746860702	0.5760559259603415	0.086196776422606	0.134479271991911	-0.134479271991911	0.134479271991911	0.19275192672612448	0.46747967479674796	0.9530386740331491	0.7462082912032356	0.8183928025517881	0.0196078431372549	631	0.76185436693418	0		0.737929783776121	0.8222246335948552		0.9767441860465116	0.9767441860465116	1.0		0.6956521739130435		0.2325581395348837	0.9767441860465116	0.6940632673696374	6	1	False		-0.09026199149329317	-0.005967141674558918	0.09622913316785209	0.731962642101562	False	-0.009798972717625976	False	False	True	False	False	True	True	False	fail	True	fail:matched_knownness,source_holdout,calibration,selection_adjusted_null	4	3		1		1
baseline_both	baseline	0.7224968498594553	0.6471951497145494	0.690014969139235	0.0393089918413468	0.2659251769464105	-0.2659251769464105	0.2659251769464105	0.2131140457948945	0.3667679837892604	1.0	0.9979777553083923	0.739834474783596	0.0049751243781094	631	0.49837581209395304	0		0.5939611196117038	0.737077811705432	0.6916156869971132	0.13953488372093026	0.13953488372093026	0.046511627906976716		0.17391304347826086	0.19999999999999996	0.023255813953488413	0.2790697674418605	0.14311714574606385	7	0	False		-0.12853573024775145	0.014580961845976681	0.14311669209372813	0.5793801577657272	False	0.017337624924140704	False	True	True	True	True	True	True	False	fail	True	fail:matched_knownness	5	1			1	5
support_synergy_priority	governance	0.8213936398001533	0.7522732242493788	0.5720036365538095		0.14762386248736098	-0.14762386248736098	0.14762386248736098	0.17972650600617823	0.459387483355526	0.9530386740331491	0.7593528816986855	0.817033824813191		631	0.7546814827880177	0		0.7675826086632834	0.7638573082159623	0.7338115499413178	0.8837209302325582	0.9069767441860466	0.8837209302325582		0.9565217391304348	0.6571428571428571	0.3023255813953488	0.9069767441860466	0.7853407895008357	7	0	False		-0.05381103113686991	-0.057536331584191025	0.11134736272106094	0.7100462770790924	False	-0.004359814986962363	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		4				
structured_signal_priority	governance	0.809762351634989	0.7207107167910382	0.5372310490501477		0.16683518705763398	-0.16683518705763398	0.16683518705763398	0.13847795488931874	0.46258503401360546	0.9392265193370166	0.7431749241658241	0.8003089719303582		631	0.74124702354705	0		0.7511203576546109	0.7804000375048699	0.7402598888274676	0.8372093023255813	0.7441860465116279	0.8372093023255813		0.9130434782608696	0.9428571428571428	0.5116279069767442	0.6162790697674418	0.7717731784321413	7	0	False		-0.05864199398037806	-0.029362314130119138	0.0880043081104972	0.7217580435244918	False	-0.009453379704630782	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		5				
governance_15f_pruned	governance	0.8234423326019721	0.7462138570315634	0.5511588918640711		0.1486349848331648	-0.1486349848331648	0.1486349848331648	0.17242474683694212	0.45586297760210803	0.9558011049723757	0.7674418604651163	0.8167617767223927		631	0.7605902930887497	0			0.78141601469722	0.7497394554587755	0.9069767441860466	0.8837209302325582	0.9534883720930233			1.0	0.39534883720930236	0.8837209302325582	0.717607973421927	6	1	False			-0.042026317904752086	1.0420263179047522	-0.21858398530278011	False	-0.006680555879579386	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc		6				
host_transfer_synergy_priority	governance	0.8054050243640241	0.714523609173669	0.5761862782562541	0.1223450677825351	0.14256825075834176	-0.14256825075834176	0.14256825075834176	0.27937252559034265	0.4781997187060478	0.9392265193370166	0.7189079878665319	0.8009888298416051		631	0.7263868065967016	0		0.7420958441814793	0.7612513521625696	0.7370497612039901	0.7906976744186046	0.6976744186046512	0.7441860465116279		0.8260869565217391	0.7714285714285715	0.2093023255813954	0.9302325581395349	0.709944078743732	7	0	False		-0.06330918018254472	-0.0441536722014545	0.10746285238399922	0.6979421719800248	False	-0.004416194522418926	False	False	True	False	False	True	False	False	not_scored	False	missing:selection_adjusted_empirical_p_roc_auc		7				
knownness_calibrated_fusion_priority	governance	0.8244820992712821	0.7659426523401762	0.564446700387408		0.1506572295247725	-0.1506572295247725	0.1506572295247725	0.10637491209127395	0.44903225806451613	0.9613259668508287	0.7836198179979778	0.8209467769769995		631	0.7586500867213453	0			0.7515390254432027	0.7367967283203603	0.9302325581395349	0.9534883720930233	0.9069767441860466			0.7428571428571429	0.34883720930232553	0.813953488372093	0.670906502135738	6	1	False			-0.07294307382807941	1.0729430738280794	-0.24846097455679728	False	-0.003535322294282661	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc		8				
ecology_clinical_priority	governance	0.7986773815503098	0.7038952293234496	0.5450082683831005	0.0521305478385126	0.1557128412537917	-0.1557128412537917	0.1557128412537917	0.14317594454041618	0.4489003880983182	0.9585635359116023	0.78159757330637	0.7860411294917176		631	0.7191845253843666	0		0.7327875001392433	0.7898321457294791	0.7463006082367608	0.627906976744186	0.5116279069767442	0.6046511627906976		0.6086956521739131	0.9714285714285714	0.4651162790697675	0.7906976744186046	0.6543034605146406	7	0	False		-0.06588988141106644	-0.008845235820830633	0.07473511723189707	0.7239422643184127	False	-0.012636252058592201	False	False	True	False	False	True	False	False	not_scored	False	missing:selection_adjusted_empirical_p_roc_auc		9				
discovery_15f_synergy	discovery	0.8051054305779517	0.7219453611515759	0.5088300076900197		0.16076845298281092	-0.16076845298281092	0.16076845298281092	0.14777756900823005	0.44601542416452444	0.9585635359116023	0.7866531850353893	0.7860940286936363		631	0.7380427433342153	0			0.7742520101481739	0.7373011174524442	0.7674418604651163	0.7674418604651163	0.813953488372093			0.8	0.627906976744186	0.7674418604651163	0.6491694352159468	6	1	False			-0.03085342042977779	1.0308534204297777	-0.22574798985182598	False	-0.019011401884315382	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc		2				
support_calibrated_priority	governance	0.8074537171658428	0.7389402271702246	0.5940029504619129		0.18099089989888775	-0.18099089989888775	0.18099089989888775	0.27969488299227063	0.4598639455782313	0.9337016574585635	0.7431749241658241	0.8046223594837162		631	0.7265043948613928	0		0.742234816507049	0.7605919980995438	0.7276540450068643	0.813953488372093	0.8604651162790697	0.7674418604651163		0.8695652173913043	0.48571428571428577	0.13953488372093026	0.5813953488372092	0.6454386001114297	7	0	False		-0.06521890065879377	-0.04686171906629899	0.11208061972509276	0.69537309744075	False	-0.0028313576821266118	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		10				
monotonic_latent_priority	governance	0.7958752984923383	0.7070233697347375	0.5157536555386303		0.16177957532861476	-0.16177957532861476	0.16177957532861476	0.12118994764690214	0.4567243675099867	0.9475138121546961	0.7593528816986855	0.787995100523347		631	0.7253873063468266	0		0.7390458079846647	0.7736298720433908	0.7331836853437185	0.5813953488372092	0.5581395348837209	0.7209302325581395		0.7391304347826086	0.6	0.5813953488372092	0.7093023255813953	0.6414704607828975	7	0	False		-0.05682949050767361	-0.022245426448947447	0.07907491695662106	0.7168003815357172	False	-0.00788019796899131	False	False	True	False	False	True	False	False	not_scored	False	missing:ece,selection_adjusted_empirical_p_roc_auc		11				
