backbone_id	visibility_baseline	frozen_biological_prior	sparse_calibrated_logistic	bounded_monotonic_tree	conservative_consensus_score	model_agreement	model_score_median	model_score_std	evidence_factor	uncertainty_factor	consensus_review_flag	official_supervised_model_status	official_supervised_feature_count
AA282	0.536767988743187	0.5544256456348621			0.39135826465813706	0.9750283021440623	0.5455968171890245	0.01248584892796883	1.0	0.72	True	not_fit_label_unavailable	6
AA411	1.0	0.6089350113131601			0.5311662938341252	0.44695058922979003	0.80446750565658	0.276524705385105	1.0	0.72	True	not_fit_label_unavailable	6
AA319	0.2969909131805153	0.6647752366047674			0.3192228984854197	0.4798744217852098	0.48088307489264137	0.2600627891073951	1.0	0.72	True	not_fit_label_unavailable	6
AA324	0.2969909131805153	0.6797854868383734			0.32308532429896186	0.4586467223302304	0.48838820000944433	0.2706766388348848	1.0	0.72	True	not_fit_label_unavailable	6
AA279	0.7098008578713868	0.5436738155843783			0.43534840991283125	0.765060883720784	0.6267373367278826	0.11746955813960804	1.0	0.72	True	not_fit_label_unavailable	6
AC301	0.39260063205957657	0.6420970250134711			0.35277662351433187	0.6471588173214353	0.5173488285365239	0.17642059133928237	1.0	0.72	True	not_fit_label_unavailable	6
AA409	0.39260063205957657	0.565932992852253			0.33238402923714766	0.7548710245688506	0.47926681245591474	0.12256448771557472	1.0	0.72	True	not_fit_label_unavailable	6
AD100	0.1737285472655341	0.6435711089167606			0.2649025785294827	0.33554227713271845	0.40864982809114736	0.3322288614336408	1.0	0.72	True	not_fit_label_unavailable	6
AA086	0.0	0.7985508894449524			0.2199209149531399	0.0	0.3992754447224762	0.5646607490490749	0.9	0.72	True	not_fit_label_unavailable	6
AA859	0.0	0.7460256369196999			0.20545546040768536	0.0	0.37301281845984996	0.527519786804933	0.9	0.72	True	not_fit_label_unavailable	6
AC030	0.1737285472655341	0.39068757786228325			0.19383820547799321	0.693173596450758	0.2822080625639087	0.15341320177462098	1.0	0.72	True	not_fit_label_unavailable	6
AA316	0.0	0.7096345007958871			0.1954333415191873	0.0	0.35481725039794354	0.5017873676767022	0.9	0.72	True	not_fit_label_unavailable	6
AA331	0.0	0.5744352341228252			0.16343751940167495	0.1876259011985365	0.2872176170614126	0.40618704940073175	0.9	0.72	True	not_fit_label_unavailable	6
AA434	0.1737285472655341	0.6220816382052772			0.2592434290756663	0.3659329780611177	0.39790509273540564	0.31703351096944116	1.0	0.72	True	not_fit_label_unavailable	6
AC203	0.0	0.5209893188173718			0.12011596226407628	0.26320983947695253	0.2604946594086859	0.36839508026152373	0.72	0.72	True	not_fit_label_unavailable	6
AA764	0.0	0.6916610116459838			0.1912177097815094	0.021843616765554463	0.3458305058229919	0.48907819161722277	0.9	0.72	True	not_fit_label_unavailable	6
AC202	0.0	0.510713788274518			0.11803545305780636	0.2777416341312353	0.255356894137259	0.36112918293438234	0.72	0.72	True	not_fit_label_unavailable	6
AE264	0.0	0.6563354024054958			0.1830450892403944	0.07180157245254493	0.3281677012027479	0.46409921377372754	0.9	0.72	True	not_fit_label_unavailable	6
AA514	0.0	0.4155410821927209			0.09821381216134205	0.4123361658398611	0.20777054109636045	0.29383191708006945	0.72	0.72	True	not_fit_label_unavailable	6
