operational_risk_rank	backbone_id	model_name	portfolio_track	track_rank	candidate_confidence_tier	recommended_monitoring_tier	false_positive_risk_tier	operational_risk_score	risk_spread_probability	risk_spread_severity	risk_macro_region_jump_3y	risk_event_within_3y	risk_three_countries_within_5y	risk_uncertainty	risk_uncertainty_quantile	risk_component_std	risk_abstain_flag	risk_decision_tier	risk_route_context	knownness_score	knownness_half	source_band	member_count_band	country_count_band
1	AA411	parsimonious_priority	established_high_risk	2.0	watchlist	low_confidence_backlog	high	0.8136816495874772	0.910494387513813	0.7986666666666666	0.908	0.692	0.636	0.2190584009305264	0.0020222446916076	0.1112055083654683	False	action	refseq_leaning|10_plus|3_4	0.71840242669363	upper_half	refseq_leaning	10_plus	3_4
2	AC570	parsimonious_priority						0.8110949116182321	0.9018719276163292	0.7986666666666666	0.908	0.692	0.636	0.2390382764940525	0.0101112234580384	0.1093601366229292	False	action	insd_leaning|5_9|3_4	0.6403774856757668	upper_half	insd_leaning	5_9	3_4
3	AC301	parsimonious_priority	established_high_risk	3.0	watchlist	low_confidence_backlog	high	0.8104892686221533	0.8998531176293998	0.7986666666666666	0.908	0.692	0.636	0.2397019751790298	0.0111223458038422	0.1089393327943234	False	action	refseq_leaning|5_9|1	0.6422312099764071	upper_half	refseq_leaning	5_9	1
4	AA275	parsimonious_priority						0.8080022345037446	0.8915630039013708	0.7986666666666666	0.908	0.692	0.636	0.2328018968589026	0.0080889787664307	0.1072577728281919	False	action	refseq_leaning|10_plus|3_4	0.6981799797775531	upper_half	refseq_leaning	10_plus	3_4
5	AA324	parsimonious_priority	established_high_risk	4.0	watchlist	low_confidence_backlog	high	0.8075803207360166	0.8901566246756106	0.7986666666666666	0.908	0.692	0.636	0.2487032736740346	0.0141557128412537	0.1069800796837944	False	action	refseq_leaning|3_4|1	0.6223458038422649	upper_half	refseq_leaning	3_4	1
6	AA409	parsimonious_priority	established_high_risk	5.0	watchlist	low_confidence_backlog	high	0.8071431959877874	0.8886995421815133	0.7986666666666666	0.908	0.692	0.636	0.2454893455349285	0.0131445904954499	0.1066947411747436	False	action	refseq_leaning|5_9|1	0.6422312099764071	upper_half	refseq_leaning	5_9	1
7	AA840	parsimonious_priority						0.8070660198580015	0.8884422884155605	0.7986666666666666	0.908	0.692	0.636	0.2325471273235069	0.0070778564206268	0.1066446150541597	False	action	refseq_leaning|10_plus|3_4	0.7076171216717223	upper_half	refseq_leaning	10_plus	3_4
8	AA018	parsimonious_priority						0.8061856010570468	0.8855075590790449	0.7986666666666666	0.908	0.692	0.636	0.2679979389867559	0.0293225480283114	0.1060781689042329	False	action	refseq_leaning|10_plus|1	0.5380856083586114	upper_half	refseq_leaning	10_plus	1
9	AA457	parsimonious_priority						0.8046397859192063	0.8803548419529095	0.7986666666666666	0.908	0.692	0.636	0.2817191767382886	0.0434782608695652	0.1051079536510879	False	action	refseq_leaning|5_9|1	0.4831479609032693	upper_half	refseq_leaning	5_9	1
10	AA367	parsimonious_priority						0.8030891150019757	0.8751859388954741	0.7986666666666666	0.908	0.692	0.636	0.2526735320193267	0.0161779575328614	0.1041665902682666	False	action	refseq_leaning|5_9|1	0.6422312099764071	upper_half	refseq_leaning	5_9	1
