panel_item	metric_name	metric_value
published_primary_model	model_name	bio_clean_priority
published_primary_roc_auc	roc_auc	0.7454289918669099
published_primary_ap	average_precision	0.6538034832512319
published_primary_top_10_precision	precision_at_k	0.8
published_primary_optimal_threshold	optimal_threshold	0.0
governance_model	model_name	phylo_support_fusion_priority
governance_roc_auc	roc_auc	0.8276630803528158
governance_top_10_precision	precision_at_k	1.0
governance_optimal_threshold	optimal_threshold	0.1827086709604897
conservative_model	model_name	parsimonious_priority
candidate_portfolio_size	n_rows	20
candidate_case_studies_size	n_rows	6
false_negative_audit_size	n_rows	50
phylo_support_fusion_priority_utility	optimal_threshold_utility_per_sample	-0.134479271991911
bio_clean_priority_utility	optimal_threshold_utility_per_sample	-0.2679474216380182
parsimonious_priority_utility	optimal_threshold_utility_per_sample	-0.2679474216380182
