consensus_shortlist_rank	selection_origin	portfolio_track	track_rank	backbone_id	candidate_confidence_tier	recommended_monitoring_tier	false_positive_risk_tier	consensus_rank	consensus_candidate_score	consensus_support_count	multiverse_stability_tier	multiverse_stability_score	primary_model_candidate_score	conservative_model_candidate_score	baseline_both_candidate_score	novelty_margin_vs_baseline	bootstrap_top_10_frequency	variant_top_10_frequency	threshold_robustness_score	knownness_half	knownness_score	n_new_countries	spread_label	visibility_expansion_label
1	portfolio	established_high_risk	1.0	AA282	tier_a	low_confidence_backlog	high	8.0	0.9315789473684211	2.0	fragile	0.50875	0.9336998671526274	0.8466421218073086	0.8294705301389381	0.1042293370136893	0.23	0.0	1.0	upper_half	0.5171890798786652	23	1.0	1.0
2	portfolio	established_high_risk	2.0	AA411	tier_a	low_confidence_backlog	high	1.0	0.9894736842105263	2.0	fragile	0.4975	0.9611638468597944	0.9104944194696816	0.9323083529122248	0.028855493947569588	0.24	0.0	1.0	upper_half	0.71840242669363	15	1.0	1.0
3	portfolio	established_high_risk	3.0	AA171	watchlist	low_confidence_backlog	high	15.0	0.85	2.0	fragile	0.5	0.9306600981996752	0.782580106827649	0.5917304710039887	0.33892962719568653			1.0	upper_half	0.4735422986181328	34	1.0	1.0
4	portfolio	established_high_risk	4.0	AA324	tier_a	low_confidence_backlog	high	2.0	0.9710526315789474	2.0	stable	0.90625	0.9531271615605228	0.8901566246756106	0.5819955180525731	0.3711316435079497	1.0	0.75	1.0	upper_half	0.6223458038422649	25	1.0	1.0
5	portfolio	established_high_risk	5.0	AA457	watchlist	low_confidence_backlog	high	17.0	0.881578947368421	1.0	fragile	0.5	0.8820415114285787	0.8803548829991454	0.6967576119933524	0.18528389943522627			1.0	upper_half	0.48314796090326934	12	1.0	1.0
6	portfolio	established_high_risk	6.0	AA319	tier_a	low_confidence_backlog	high	4.0	0.9631578947368421	2.0	stable	0.90625	0.9578731467404122	0.8725355769903969	0.5868102309390514	0.37106291580136086	1.0	0.75	1.0	upper_half	0.6223458038422649	6	1.0	1.0
7	portfolio	established_high_risk	7.0	AA551	watchlist	low_confidence_backlog	high	18.0	0.881578947368421	1.0	fragile	0.0625	0.9326333512830314	0.825973856228382	0.956890567055671	-0.024257215772639618	0.0	0.125	1.0	upper_half	0.713515335355578	17	1.0	1.0
8	portfolio	established_high_risk	8.0	AC301	tier_a	low_confidence_backlog	high	5.0	0.9526315789473684	2.0	stable	0.875	0.9217253076063912	0.8998531176293992	0.6937544111786546	0.2279708964277366	1.0	0.75	1.0	upper_half	0.6422312099764071	0	0.0	0.0
9	portfolio	established_high_risk	9.0	AC570	watchlist	low_confidence_backlog	high	20.0	0.8710526315789473	1.0	fragile	0.5	0.8643873755972035	0.9018719276163292	0.6442456728161137	0.2201417027810898			0.0	upper_half	0.6403774856757668	2	0.0	0.0
10	portfolio	established_high_risk	10.0	AA409	tier_a	low_confidence_backlog	high	9.0	0.9289473684210526	2.0	moderately_stable	0.65625	0.9018204452886266	0.8886995421815147	0.7133405472332421	0.18847989805538445	0.25	0.625	1.0	upper_half	0.6422312099764071	6	1.0	1.0
11	portfolio	novel_signal	1.0	AC030	novelty_watchlist	low_confidence_backlog	high				fragile	0.33666666666666667	0.8082799179943481	0.5822342814453947	0.419771183426856	0.3885087345674921	0.0	0.0	1.0	lower_half	0.4170879676440849	4	1.0	1.0
12	portfolio	novel_signal	2.0	AA316	novelty_watchlist	low_confidence_backlog	high				fragile	0.44	0.8485295668923193	0.5656274376092119	0.2212121941262889	0.6273173727660304	0.0	0.0	1.0	lower_half	0.4455679137175599	17	1.0	1.0
13	portfolio	novel_signal	3.0	AA331	novelty_watchlist	low_confidence_backlog	high				fragile		0.6108355591362906	0.407421852907957	0.2196968599494494	0.3911386991868412				lower_half	0.2613751263902932	11	1.0	1.0
14	portfolio	novel_signal	4.0	AA434	novelty_watchlist	low_confidence_backlog	high				fragile		0.6863046994507179	0.7367755295025948	0.4211950642007408	0.2651096352499771				lower_half	0.4170879676440849	4	1.0	1.0
15	portfolio	novel_signal	5.0	AA859	novelty_watchlist	low_confidence_backlog	high	43.0	0.5736842105263158	1.0	fragile	0.8566666666666666	0.7872534404737656	0.5902950896947142	0.2215266786903504	0.5657267617834152	0.04	0.0	1.0	lower_half	0.4455679137175599	6	1.0	1.0
16	portfolio	novel_signal	6.0	AC203	novelty_watchlist	low_confidence_backlog	high				fragile	0.3333333333333333	0.7089438796582487	0.449718878545968	0.2225464799094723	0.4863973997487764			1.0	lower_half	0.4455679137175599	6	1.0	1.0
17	portfolio	novel_signal	7.0	AA764	novelty_watchlist	low_confidence_backlog	high				fragile	0.5583333333333333	0.7069982648226423	0.5274854472179756	0.2215244905750974	0.4854737742475449	0.01	0.0	1.0	lower_half	0.4455679137175599	5	1.0	1.0
18	portfolio	novel_signal	8.0	AC202	novelty_watchlist	low_confidence_backlog	high				fragile		0.6765254228406891	0.4150776784767648	0.2238056219648629	0.4527198008758262				lower_half	0.4455679137175599	3	1.0	1.0
19	portfolio	novel_signal	9.0	AE264	novelty_watchlist	low_confidence_backlog	high				fragile	0.41333333333333333	0.6526854726150033	0.458780243976972	0.2192921594357698	0.4333933131792335	0.0	0.0	1.0	lower_half	0.4455679137175599	4	1.0	1.0
20	portfolio	novel_signal	10.0	AA514	novelty_watchlist	low_confidence_backlog	high				fragile		0.6402508796085704	0.3039452598513208	0.2211804661612308	0.41907041344733964				lower_half	0.4455679137175599	10	1.0	1.0
21	consensus_fill			AA840				3.0	0.9710526315789474	2.0			0.9648365079430996	0.868552708845656		-0.015237002266820787	0.06	0.0		upper_half	0.7076171216717223	9	1.0	1.0
22	consensus_fill			AA275				6.0	0.9526315789473684	2.0			0.9155208534166852	0.8926723198875011		-0.011215690566438563				upper_half	0.6981799797775531	33	1.0	1.0
23	consensus_fill			AA018				7.0	0.9342105263157895	2.0			0.8958625085174207	0.8842856661295514		-0.07868555570592939				upper_half	0.5380856083586114	21	1.0	1.0
24	consensus_fill			AA279				10.0	0.9236842105263158	2.0			0.939696782000018	0.8409684861629927		0.09175123841963928	0.17	0.0		upper_half	0.8277721604314122	9	1.0	1.0
