model_name	status	roc_auc	roc_auc_ci_lower	roc_auc_ci_upper	average_precision	average_precision_ci_lower	average_precision_ci_upper	brier_score	brier_skill_score	brier_score_ci_lower	brier_score_ci_upper	ece	selection_adjusted_empirical_p_roc_auc	permutation_p_roc_auc	n_permutations	delta_vs_baseline_roc_auc	delta_vs_baseline_ci_lower	delta_vs_baseline_ci_upper	spatial_holdout_roc_auc	spatial_holdout_regions	spatial_holdout_n_backbones	best_spatial_holdout_region	best_spatial_holdout_region_roc_auc	worst_spatial_holdout_region	worst_spatial_holdout_region_roc_auc	n_backbones	n_positive	positive_prevalence	report_visibility	error_message	average_precision_enrichment	average_precision_lift	brier_reliability	brier_resolution	brier_uncertainty	decision_utility_cost	decision_utility_grid_size	decision_utility_positive_rate	decision_utility_precision	decision_utility_recall	decision_utility_score	expected_calibration_error_x	log_loss	log_loss_ci_lower	log_loss_ci_upper	max_calibration_error_x	ndcg_at_10	ndcg_at_25	novelty_adjusted_average_precision	optimal_decision_threshold	precision_at_top_10	precision_at_top_25	recall_at_top_10	recall_at_top_25	weighted_classification_cost	mean_agreement_score	mean_logistic_nonlinear_delta	review_fraction	expected_calibration_error_y	max_calibration_error_y	n_permutations_selection_adjusted	selection_adjusted_empirical_p_average_precision	n_models_in_scope	modal_selected_model_name	modal_selected_model_share	matched_knownness_weighted_roc_auc	knownness_matched_gap	source_holdout_weighted_roc_auc	source_holdout_gap	spatial_holdout_gap	scientific_acceptance_scored	scientific_acceptance_flag	scientific_acceptance_status	scientific_acceptance_failed_criteria	matched_knownness_gate_pass	source_holdout_gate_pass	spatial_holdout_gate_pass	calibration_gate_pass	selection_adjusted_gate_pass	leakage_review_gate_pass	spatial_holdout_gap
discovery_12f_source	ok	0.8035942442746746	0.7749210933915471	0.8307329808038114	0.722509742523147	0.6775839053512377	0.7702341719157881	0.16945099635342542	0.2697684404195686	0.15693403290636457	0.18276999213933137	0.0491210616377955	0.0049751243781094	0.0004997501249375	2000.0	0.0812686492912453	0.0464370972606602	0.1162005240911674	0.788854508831935	5.0	952.0	Latin America and Caribbean	0.8615079365079366	Oceania	0.7212121212121212	989	362	0.3660262891809909	official		1.973928550705504	0.35648345334215614	0.003351612345910793	0.06542752436526608	0.23205104480938452	0.16177957532861476	1083.0	0.731041456016178	0.46887966804979253	0.93646408839779	-0.16177957532861476	0.04912106163779555	0.5141305078657379	0.4839223406422248	0.5457783992780769	0.10232580408218639	1.0	0.9430940242768815	0.11183024751459317	0.16405464849785317	1.0	0.92	0.027624309392265192	0.06353591160220995	0.16177957532861476				0.0491210616377955	0.1023258040821863	200.0	0.0049751243781094	3.0	phylo_support_fusion_priority	0.44	0.7131502935696897	-0.0904439507049849	0.7824860062588886	-0.021108238015785985	-0.014739735442739654	True	False	fail	fail:matched_knownness,source_holdout	False	False	True	True	True	True	-0.014739735442739654
phylo_support_fusion_priority	ok	0.827138791227189	0.8004357981612112	0.8519959676287502	0.7665059493881674	0.7251362395326812	0.8029526812104687	0.16618095887660686	0.28386032903616454	0.15436732748469864	0.17866571453292016	0.0852389523508536	0.0049751243781094						0.8211058633592307	5.0	952.0	Latin America and Caribbean	0.8690476190476191	Asia	0.7864077669902912	989	362	0.3660262891809909	official		2.0941281324444683	0.4004796602071765	0.009168376443402463	0.0746086028082252	0.23205104480938452	0.13549039433771487	1089.0	0.7472194135490394	0.4668470906630582	0.9530386740331491	-0.13549039433771487	0.08523895235085371	0.5038050729671097	0.47436371028828384	0.5352199534055609	0.1583484413885642	1.0	1.0	0.11535515006156133	0.18399242581331562	1.0	1.0	0.027624309392265192	0.06906077348066299	0.13549039433771487				0.0852389523508536	0.1583484413885642	200.0	0.0049751243781094	3.0	phylo_support_fusion_priority	0.44	0.7752971921878096	-0.05184159903937946	0.7618556347800043	-0.06528315644718474	-0.006032927867958282	True	False	fail	fail:matched_knownness,source_holdout,calibration	False	False	True	False	True	True	-0.006032927867958282
baseline_both	ok	0.7224968498594553	0.6885303288845395	0.7557956656227933	0.6471951497145494	0.5961715343054814	0.6978753113501718	0.18606395543277585	0.19817660986781682	0.1746158954388083	0.19859258333834587	0.0393089918413468	0.0049751243781094	0.0004997501249375	2000.0				0.739834474783596	5.0	952.0	Asia	0.7452789928518084	Oceania	0.7015151515151515	989	362	0.3660262891809909	official		1.7681657543306335	0.2811688605335585	0.0020198225464385386	0.046511970277098955	0.23205104480938452	0.2659251769464105	1047.0	0.9979777553083923	0.3667679837892604	1.0	-0.2659251769464105	0.039308991841346834	0.558266988229606	0.5308098567924769	0.5879771947280971	0.0728166764993547	0.9363792118010483	0.8969171061077192	0.08514816018103047	0.2131140457948945	0.9	0.88	0.024861878453038673	0.06077348066298342	0.2659251769464105				0.0393089918413468	0.0728166764993547	200.0	0.0049751243781094	3.0	phylo_support_fusion_priority	0.44	0.5939611196117038	-0.12853573024775145	0.737077811705432	0.014580961845976681	0.017337624924140704	True	False	fail	fail:matched_knownness	False	True	True	True	True	True	0.017337624924140704
sovereign_precision_priority	ok	0.8282534563430173	0.8011636682861031	0.8536305944728831	0.7657189108850624	0.7248585409985389	0.803738724622665	0.1655722664557389	0.28648342612830646	0.15403818588506896	0.17807652884615086	0.0862322443219034	0.0196078431372549						0.821915747872633	5.0	952.0	Latin America and Caribbean	0.8626984126984127	Asia	0.791315480635869	989	362	0.3660262891809909	audit_only		2.0919779084677534	0.3996926217040715	0.009152182233241797	0.07671255435605946	0.23205104480938452	0.13043478260869565	1089.0	0.7350859453993933	0.4731774415405777	0.9502762430939227	-0.13043478260869565	0.08651364724355763	0.5031852066273091	0.4749016083176453	0.5340321091624007	0.15891326378585768	1.0	1.0	0.11572644453311379	0.19775949009308597	1.0	1.0	0.027624309392265192	0.06906077348066299	0.13043478260869565											0.7375379504668504	-0.09071550587616684	0.7737608601840903	-0.05449259615892699	-0.0063377084703842845	True	False	fail	fail:matched_knownness,source_holdout,calibration,selection_adjusted_null	False	False	True	False	False	True	-0.0063377084703842845
sovereign_v2_priority	ok	0.8281917752694141	0.8011797612837529	0.8537691878641992	0.7664028746860702	0.7251370348309569	0.8043234042884048	0.16540691820747044	0.2871959773189475	0.15402594542059178	0.17785338000877102	0.086196776422606	0.0196078431372549						0.8183928025517881							989	362	0.3660262891809909	audit_only		2.0938465278025506	0.40037658550507926	0.008923118372046854	0.07540701636122492	0.23205104480938452	0.134479271991911	1089.0	0.7462082912032356	0.46747967479674796	0.9530386740331491	-0.134479271991911	0.08647599529520951	0.502844165883237	0.47474793304026913	0.5335111101308772	0.16861384570289828	1.0	1.0	0.11546434251512108	0.19275192672612448	1.0	1.0	0.027624309392265192	0.06906077348066299	0.134479271991911											0.737929783776121	-0.09026199149329317	0.8222246335948552	-0.005967141674558918	-0.009798972717625976	True	False	fail	fail:matched_knownness,source_holdout,calibration,selection_adjusted_null	False	False	True	False	False	True	-0.009798972717625976
knownness_calibrated_fusion_priority	ok	0.8244820992712821	0.7985111918247266	0.8484414913989907	0.7659426523401762	0.7234160915903785	0.802681598874874	0.15832953613606357	0.31769522405675255	0.14641183908275812	0.1715052094420878								0.8209467769769995	5.0	952.0	North America	0.872116948990334	Oceania	0.7878787878787878	989	362	0.3660262891809909	audit_only		2.0925891800122494	0.39991636315918533	0.0009849683981612626	0.07462611142027376	0.23205104480938452	0.1506572295247725	1089.0	0.7836198179979778	0.44903225806451613	0.9613259668508287	-0.1506572295247725	0.024182126548953093	0.483227987387933	0.45289357942894487	0.5169089094087543	0.07467585287573675	1.0	1.0	0.11446895002614907	0.10637491209127395	1.0	1.0	0.027624309392265192	0.06906077348066299	0.1506572295247725													0.7515390254432027	-0.07294307382807941	-0.003535322294282661	False	False	not_scored	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc	False	False	True	False	False	True	-0.003535322294282661
governance_15f_pruned	ok	0.8234423326019721	0.7953539214956034	0.8486444584258875	0.7462138570315634	0.6969808761515713	0.7901211538058724	0.16743244845905472	0.2784671639957922	0.1561896149629496	0.1807201836740903								0.8167617767223927	5.0	952.0	North America	0.8654655947937602	Oceania	0.7742424242424243	989	362	0.3660262891809909	audit_only		2.0386892392381664	0.3801875678505725	0.010064730149642171	0.07237542102860402	0.23205104480938452	0.1486349848331648	1083.0	0.7674418604651163	0.45586297760210803	0.9558011049723757	-0.1486349848331648	0.08956073412397655	0.511336142640448	0.4828395254349662	0.5444210265992294	0.16944344757649066	1.0	0.9685236837048787	0.1176994084697994	0.17242474683694212	1.0	0.96	0.027624309392265192	0.06629834254143646	0.1486349848331648													0.78141601469722	-0.042026317904752086	-0.006680555879579386	False	False	not_scored	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc	False	False	True	False	False	True	-0.006680555879579386
support_synergy_priority	ok	0.8213936398001533	0.7935878731804717	0.8461645478424703	0.7522732242493788	0.7113138490470905	0.7911746806356933	0.16941621810544558	0.2699183136856357	0.15787969148035885	0.18181288269067677								0.817033824813191	5.0	952.0	North America	0.8569958847736625	Oceania	0.7787878787878788	989	362	0.3660262891809909	audit_only		2.0552436982945737	0.3862469350683879	0.009945562314469011	0.07138951942158439	0.23205104480938452	0.14762386248736098	1089.0	0.7593528816986855	0.459387483355526	0.9530386740331491	-0.14762386248736098	0.08892500949726194	0.5125394228600225	0.4838188301724917	0.5425055169599908	0.17198301349237205	1.0	1.0	0.11363094668389419	0.17972650600617823	1.0	1.0	0.027624309392265192	0.06906077348066299	0.14762386248736098											0.7675826086632834	-0.05381103113686991	0.7638573082159623	-0.057536331584191025	-0.004359814986962363	False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc	False	False	True	False	False	True	-0.004359814986962363
discovery_12f_class_balanced	ok	0.8130755064456722	0.7852181454734883	0.8406123786663688	0.731619429595719	0.6867778034451413	0.7771965115887518	0.1725831520804909	0.2562707389563481	0.1611507216888937	0.18396264964908843								0.8078648956719916	5.0	952.0	North America	0.8437171021150349	Oceania	0.7454545454545455	989	362	0.3660262891809909	audit_only		1.9988166184258733	0.3655931404147281	0.010166983811209132	0.07075389427346467	0.23205104480938452	0.16177957532861476	1083.0	0.7168857431749242	0.47531734837799716	0.930939226519337	-0.16177957532861476	0.09383384809334477	0.5261693092001903	0.497761016781174	0.5540684896405852	0.1546415176833972	1.0	0.9333979224215705	0.11267831459203898	0.23775170998357917	1.0	0.92	0.027624309392265192	0.06353591160220995	0.16177957532861476													0.7758485778913846	-0.03722692855428755	-0.0052106107736805685	False	False	not_scored	missing:ece,matched_knownness_weighted_roc_auc,selection_adjusted_empirical_p_roc_auc	False	False	True	False	False	True	-0.0052106107736805685
structured_signal_priority	ok	0.809762351634989	0.7803038347573724	0.8366611598605291	0.7207107167910382	0.6709329292443214	0.7673157334162894	0.1670211824438845	0.2802394723924557	0.15490116046503036	0.18060711549849945								0.8003089719303582	5.0	952.0	North America	0.859579864101828	Asia	0.7405579857036168	989	362	0.3660262891809909	audit_only		1.969013532890433	0.35468442761004726	0.002192678845104006	0.06494978937936988	0.23205104480938452	0.16683518705763398	1086.0	0.7431749241658241	0.46258503401360546	0.9392265193370166	-0.16683518705763398	0.031342030487434974	0.5077190219696356	0.4786098113342045	0.5402235730766137	0.12458767614356048	1.0	0.9710507009056475	0.11289717023954404	0.13847795488931874	1.0	0.96	0.027624309392265192	0.06629834254143646	0.16683518705763398											0.7511203576546109	-0.05864199398037806	0.7804000375048699	-0.029362314130119138	-0.009453379704630782	False	False	not_scored	missing:ece,selection_adjusted_empirical_p_roc_auc	False	False	True	False	False	True	-0.009453379704630782
