backbone_id	visibility_baseline	frozen_biological_prior	sparse_calibrated_logistic	bounded_monotonic_tree	conservative_consensus_score	model_agreement	model_score_median	model_score_std	evidence_factor	uncertainty_factor	consensus_review_flag	official_supervised_model_status	official_supervised_feature_count
AB039	0.5394278065162754	0.5323533419128521			0.2773887649843576	0.9899951962113104	0.5358905742145638	0.005002401894344825	0.72	0.72	True	not_fit_label_unavailable	6
AA346	0.5532947556651121	0.47795211545839267			0.3653153559826547	0.8934494163946609	0.5156234355617524	0.05327529180266954	1.0	0.72	True	not_fit_label_unavailable	6
AA331	0.0	0.6445586909129486			0.1802824077395426	0.08845635756546022	0.3222793454564743	0.4557718212172699	0.9	0.72	True	not_fit_label_unavailable	6
AA171	0.5532947556651121	0.9535574231143511			0.496406724998758	0.4339431071816543	0.7534260893897315	0.28302844640917285	1.0	0.72	True	not_fit_label_unavailable	6
AA045	0.3236566839097652	0.45352116884717264			0.24486877785649494	0.8163438841309218	0.3885889263784689	0.09182805793453906	0.9	0.72	True	not_fit_label_unavailable	6
AC030	0.3236566839097652	0.4636093885618718			0.2750016101421742	0.8020769869901947	0.39363303623581847	0.09896150650490264	1.0	0.72	True	not_fit_label_unavailable	6
AA302	0.0	0.625846063406793			0.17585342650010263	0.11492000917230127	0.3129230317033965	0.44253999541384936	0.9	0.72	True	not_fit_label_unavailable	6
AE249	0.8769514395748772	0.9632292508985726			0.6503404227027914	0.877984749094163	0.9200903452367248	0.061007625452918504	1.0	0.72	True	not_fit_label_unavailable	6
AA316	0.0	0.6361215939496468			0.17829143976993464	0.10038821451801849	0.3180607969748234	0.44980589274099075	0.9	0.72	True	not_fit_label_unavailable	6
AA282	1.0	0.5607855408836462			0.5095313562221931	0.3788569551272891	0.7803927704418231	0.31057152243635544	1.0	0.72	True	not_fit_label_unavailable	6
AA434	0.3236566839097652	0.7138437033006757			0.34258509728110675	0.44819222531544056	0.5187501936052205	0.2759038873422797	1.0	0.72	True	not_fit_label_unavailable	6
AF809	0.0	0.8099049053592386			0.2230478109359343	0.0	0.4049524526796193	0.5726892506957666	0.9	0.72	True	not_fit_label_unavailable	6
AA764	0.0	0.7104264437447492			0.1956514426073039	0.0	0.3552132218723746	0.5023473559061554	0.9	0.72	True	not_fit_label_unavailable	6
AB267	0.0	0.625846063406793			0.17585342650010263	0.11492000917230127	0.3129230317033965	0.44253999541384936	0.9	0.72	True	not_fit_label_unavailable	6
AA297	0.0	0.808033642608623			0.22253246517441475	0.0	0.4040168213043115	0.5713660681154246	0.9	0.72	True	not_fit_label_unavailable	6
AA349	0.0	0.625846063406793			0.17585342650010263	0.11492000917230127	0.3129230317033965	0.44253999541384936	0.9	0.72	True	not_fit_label_unavailable	6
