Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	AF128883.1	780	1622	-	blaZ	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	INTERNAL_STOP	281	281	100.00	95.37	281	WP_000733289.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	NA	NA
NA	AF128883.1	1729	3453	+	blaR1	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	575	585	98.29	93.74	575	WP_001096386.1	beta-lactam sensor/signal transducer BlaR1	NA	NA
NA	AF128883.1	8968	9465	-	cadD	cadmium resistance transporter CadD	plus	STRESS	METAL	CADMIUM	CADMIUM	PARTIALX	166	205	80.98	97.59	166	BAB43874.1	cadmium resistance transporter CadD	NA	NA
NA	AP018569.2	33796	34029	-	merE	broad-spectrum mercury transporter MerE	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	78	78	100.00	94.87	78	AAC38236.1	broad-spectrum mercury transporter MerE	NA	NA
NA	AP018569.2	34029	34391	-	merD	mercury resistance co-regulator MerD	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	121	121	100.00	90.08	121	AAC38221.1	mercury resistance co-regulator MerD	NA	NA
NA	AP018569.2	34412	36094	-	merA	mercury(II) reductase	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	561	561	100.00	93.23	561	ACU65296.1	mercury(II) reductase	NA	NA
NA	AP018569.2	36880	37224	-	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	115	116	99.14	99.13	115	CAA70196.1	mercuric transport protein MerT	NA	NA
NA	AP018569.2	37344	37769	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	142	144	98.61	92.96	142	CAA77320.1	mercury resistance transcriptional regulator MerR	NA	NA
NA	AP018569.2	66093	66905	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	BLASTX	271	271	100.00	99.63	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
NA	AP018569.2	72186	72824	+	catA2	type A-2 chloramphenicol O-acetyltransferase CatII	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	213	213	100.00	100.00	213	WP_001011939.1	type A-2 chloramphenicol O-acetyltransferase CatII	NA	NA
NA	AP018569.2	74424	75605	+	tet(D)	tetracycline efflux MFS transporter Tet(D)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	394	394	100.00	100.00	394	WP_001039466.1	tetracycline efflux MFS transporter Tet(D)	NA	NA
NA	AP018569.2	78845	79717	-	blaCTX-M-3	extended-spectrum class A beta-lactamase CTX-M-3	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	291	291	100.00	100.00	291	WP_011091028.1	extended-spectrum class A beta-lactamase CTX-M-3	NA	NA
NA	AP018569.2	82539	83396	+	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	286	286	100.00	100.00	286	WP_000027057.1	broad-spectrum class A beta-lactamase TEM-1	NA	NA
NA	AP018569.2	84805	85371	+	dfrA19	trimethoprim-resistant dihydrofolate reductase DfrA19	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	BLASTX	189	189	100.00	98.41	189	WP_000019304.1	trimethoprim-resistant dihydrofolate reductase DfrA19	NA	NA
NA	AP018569.2	86076	86864	+	aadA2	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.00	100.00	263	WP_001261740.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2	NA	NA
NA	AP018569.2	87129	88385	+	cmlA1	chloramphenicol efflux MFS transporter CmlA1	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	419	419	100.00	100.00	419	WP_000095725.1	chloramphenicol efflux MFS transporter CmlA1	NA	NA
NA	AP018569.2	88547	89770	+	ere(A)	EreA family erythromycin esterase	core	AMR	AMR	MACROLIDE	ERYTHROMYCIN	EXACTX	408	408	100.00	100.00	408	WP_021566672.1	EreA family erythromycin esterase	NA	NA
NA	AP018569.2	89956	90288	+	qacE	quaternary ammonium compound efflux SMR transporter QacE	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	BLASTX	111	115	96.52	100.00	111	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
NA	AP018569.2	90379	91113	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	PARTIALX	245	279	87.81	99.59	245	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA
NA	AP018569.2	96699	97142	-	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	PARTIALX	148	275	54.18	97.99	149	WP_063855066.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA
NA	AP018569.2	97269	97475	-	qacE	quaternary ammonium compound efflux SMR transporter QacE	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	PARTIALX	69	110	62.73	100.00	69	WP_010890145.1	quaternary ammonium compound efflux SMR transporter QacE	NA	NA
NA	AP018569.2	97701	98150	-	arr-3	NAD(+)--rifampin ADP-ribosyltransferase Arr-3	core	AMR	AMR	RIFAMYCIN	RIFAMYCIN	EXACTX	150	150	100.00	100.00	150	WP_001749986.1	NAD(+)--rifampin ADP-ribosyltransferase Arr-3	NA	NA
NA	AP018569.2	98238	98867	-	catB3	type B-3 chloramphenicol O-acetyltransferase CatB3	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	210	210	100.00	100.00	210	WP_000186237.1	type B-3 chloramphenicol O-acetyltransferase CatB3	NA	NA
NA	AP018569.2	99008	99835	-	blaOXA-1	oxacillin-hydrolyzing class D beta-lactamase OXA-1	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	276	276	100.00	100.00	276	WP_001334766.1	oxacillin-hydrolyzing class D beta-lactamase OXA-1	NA	NA
