backbone_id	sequence_accession	is_canonical_representative	species	genus	priority_group	priority_index	selection_score
AA324	AP026531.1	True	Escherichia_coli	Escherichia	high	0.6853113985784341	0.9556071312698816
AA175	AP028811.1	True	Escherichia_fergusonii	Escherichia	high	0.6638746853788583	0.9457401103779376
AC301	NZ_CP011571.1	True	Enterobacter_hormaechei	Enterobacter	high	0.65760576128945	0.9451267241144644
AA323	CP034254.1	True	Escherichia_coli	Escherichia	high	0.6472801687843418	0.9385808419851892
AA319	CP057424.1	True	Escherichia_coli	Escherichia	high	0.6591203894468691	0.9361330821221834
AA086	CP113872.1	True	Candidatus_Megaera_polyxenophila	Candidatus_Megaera	high	0.5413923062693567	0.9237084417021976
AC305	AP027530.1	True	Escherichia_coli	Escherichia	high	0.8402068731426323	0.9212820121772166
AD100	CP063565.1	True	Enterococcus_faecium	Enterococcus	high	0.6152318531367551	0.9187125760437744
AB169	CP020526.1	True	Enterobacter_cloacae	Enterobacter	high	0.5603523714194262	0.9166655379711814
AA409	CP030461.1	True	Staphylococcus_aureus	Staphylococcus	high	0.6482176233399334	0.9140510242235684
AB559	NC_019145.1	True	Staphylococcus_aureus	Staphylococcus	high	0.5697321345804063	0.9061551783345978
AA411	AF128883.1	True	Staphylococcus_aureus	Staphylococcus	high	0.6717686094944434	0.9047286306514076
AA279	CP027673.1	True	Escherichia_coli	Escherichia	high	0.5998340546033444	0.8967676932269393
AA553	CP052417.1	True	Klebsiella_pneumoniae	Klebsiella	high	0.4621525914014642	0.8959330122159168
AA767	NC_022618.1	True	Staphylococcus_epidermidis	Staphylococcus	high	0.4521597880405797	0.894852908815081
AA282	AP026532.1	True	Escherichia_coli	Escherichia	high	0.6161087976711678	0.8918682631683593
AA045	AP018569.2	True	Citrobacter_freundii	Citrobacter	high	0.3628478557330921	0.8882931869213044
AA840	CP030376.1	True	Staphylococcus_aureus	Staphylococcus	high	0.9428344281732188	0.8881044586599179
AB710	CP023137.2	True	Klebsiella_pneumoniae	Klebsiella	high	0.4082111818337955	0.8873786988484411
AA850	CP141429.1	True	Staphylococcus_aureus	Staphylococcus	high	0.4751850312717514	0.8832081218338986
AD161	NZ_CP012265.1	True	Cronobacter_condimenti	Cronobacter	low	0.3028491030601477	0.1648537281514718
AB719	NC_013392.2	True	Staphylococcus_epidermidis	Staphylococcus	low	0.0726931644975964	0.1646637086733278
AE982	CP010860.1	True	Marinovum_algicola	Marinovum	low	0.0838316332512604	0.1646056918903876
AH080	CP052980.1	True	Staphylococcus_epidermidis	Staphylococcus	low	0.0016414585531715	0.1639751196687484
AB072	CP098978.1	True	Escherichia_coli	Escherichia	low	0.3216086293821081	0.1637098192859093
AC641	NC_015915.1	True	Borreliella_bissettiae	Borreliella	low	0.0531129088990503	0.1634282992817184
AF428	AP028203.1	True	Paraburkholderia_largidicola	Paraburkholderia	low	0.3168779014076875	0.1632995510360061
AF960	NZ_CP013335.1	True	Fusobacterium_hwasookii	Fusobacterium	low	0.0838316332512604	0.1628170395220552
AD139	NC_019766.1	True	Stanieria_cyanosphaera	Stanieria	low	0.292765857662094	0.1625444814602463
AG003	NZ_CP012010.1	True	Leuconostoc_mesenteroides	Leuconostoc	low	0.1214679329346933	0.1625044658352517
AG001	NC_010177.2	True	Acetobacter_pasteurianus	Acetobacter	low	0.2973384922030719	0.1622403169129885
AA781	CP009062.1	True	Borreliella_afzelii	Borreliella	low	0.1153710868800562	0.1607280918553504
AB152	CP095391.1	True	Natribaculum_breve	Natribaculum	low	0.3451920551974912	0.1605656876191122
AB583	CP009912.1	True	Borreliella_chilensis	Borreliella	low	0.116191816156642	0.1601111334553082
AE635	NZ_CP010837.1	True	Sphingomonas_hengshuiensis	Sphingomonas	low	0.0634306483761285	0.1592949962901774
AB575	CP043982.1	True	Candidatus_Stammera_capleta	Candidatus_Stammera	low	0.3005041622699027	0.159270190320245
AA074	NC_021187.1	True	Thermus_sp._WG	Thermus	low	0.0634306483761285	0.1585989083976701
AB146	CP012853.1	True	Persicobacter_sp._JZB09	Persicobacter	low	0.3327571606598243	0.1556567308658644
AA752	CP021897.1	True	Enterobacter_cloacae_complex_sp.	Enterobacter	low	0.3270019931996717	0.1520999145238947
AA378	AP024695.1	True	Escherichia_coli	Escherichia	low	0.3202016649079611	0.1499202468430423
