backbone_id	priority_group	priority_index	sequence_accession	existing_gene_count	amrfinder_gene_count	shared_gene_count	gene_jaccard	existing_class_count	amrfinder_class_count	shared_class_count	class_jaccard	amrfinder_hit_count	amrfinder_any_hit	any_amr_evidence
AC305	high	0.8398163487597855	AP027530.1	10	9	7	0.5833333333333334	11	8	7	0.5833333333333334	9	True	True
AA324	high	0.6842506124888571	AP026531.1	13	13	12	0.8571428571428571	8	7	7	0.875	13	True	True
AA411	high	0.6699309291538839	AF128883.1	1	3	0	0.0	1	2	0	0.0	3	True	True
AA319	high	0.6613541335232236	CP057424.1	6	6	6	1.0	0	0	0	1.0	6	True	True
AC301	high	0.6575379042158348	NZ_CP011571.1	12	10	10	0.8333333333333334	7	7	7	1.0	10	True	True
AA175	high	0.6558994019717131	AP028811.1	10	8	7	0.6363636363636364	7	7	7	1.0	8	True	True
AA409	high	0.654684817906936	CP030461.1	8	7	7	0.875	4	3	3	0.75	7	True	True
AA323	high	0.6488616540510477	CP034254.1	10	8	8	0.8	7	6	6	0.8571428571428571	8	True	True
AA282	high	0.6186845967920725	AP026532.1	1	1	1	1.0	1	1	1	1.0	1	True	True
AD100	high	0.613708531076005	CP063565.1	0	0	0	1.0	0	0	0	1.0	0	False	False
AA279	high	0.6008311381340171	CP027673.1	0	0	0	1.0	0	0	0	1.0	0	False	False
AB559	high	0.5723896391572967	NC_019145.1	1	1	1	1.0	4	1	1	0.25	1	True	True
AB169	high	0.5630098759963165	CP020526.1	2	2	1	0.3333333333333333	4	2	1	0.2	2	True	True
AA086	high	0.5437659190076528	CP113872.1	0	0	0	1.0	0	0	0	1.0	0	False	False
AA850	high	0.475050701962758	CP141429.1	3	2	0	0.0	3	2	0	0.0	2	True	True
AA553	high	0.4620999675484565	CP052417.1	8	10	7	0.6363636363636364	5	5	5	1.0	10	True	True
AA767	high	0.4545472491612463	NC_022618.1	10	8	7	0.6363636363636364	8	5	5	0.625	8	True	True
AB710	high	0.413486030678702	CP023137.2	0	0	0	1.0	0	0	0	1.0	0	False	False
AA045	high	0.3605047094360111	AP018569.2	21	20	16	0.64	13	11	11	0.8461538461538461	22	True	True
AA184	high	0.3475533941750806	CP042952.1	7	8	7	0.875	0	0	0	1.0	8	True	True
AB152	low	0.3451920551974912	CP095391.1	1	0	0	0.0	1	0	0	0.0	0	False	True
AB146	low	0.3327571606598243	CP012853.1	0	0	0	1.0	0	0	0	1.0	0	False	False
AF621	low	0.3299422627277326	HG796278.1	0	0	0	1.0	0	0	0	1.0	0	False	False
AA752	low	0.3270019931996717	CP021897.1	3	3	3	1.0	3	3	3	1.0	3	True	True
AB072	low	0.3216086293821081	CP098978.1	0	0	0	1.0	0	0	0	1.0	0	False	False
AA378	low	0.3202016649079611	AP024695.1	10	9	9	0.9	8	8	8	1.0	9	True	True
AF428	low	0.3168779014076875	AP028203.1	1	0	0	0.0	1	0	0	0.0	0	False	True
AB575	low	0.3005041622699027	CP043982.1	0	0	0	1.0	0	0	0	1.0	0	False	False
AG001	low	0.2973384922030719	NC_010177.2	0	0	0	1.0	0	0	0	1.0	0	False	False
AD139	low	0.292765857662094	NC_019766.1	0	0	0	1.0	0	0	0	1.0	0	False	False
AG003	low	0.1214679329346933	NZ_CP012010.1	0	0	0	1.0	0	0	0	1.0	0	False	False
AB583	low	0.116191816156642	CP009912.1	0	0	0	1.0	0	0	0	1.0	0	False	False
AA781	low	0.1153710868800562	CP009062.1	0	0	0	1.0	0	0	0	1.0	0	False	False
AE982	low	0.0838316332512604	CP010860.1	0	0	0	1.0	0	0	0	1.0	0	False	False
AF960	low	0.0838316332512604	NZ_CP013335.1	0	0	0	1.0	0	0	0	1.0	0	False	False
AB719	low	0.0726931644975964	NC_013392.2	0	0	0	1.0	0	0	0	1.0	0	False	False
AE635	low	0.0634306483761285	NZ_CP010837.1	0	0	0	1.0	0	0	0	1.0	0	False	False
AA074	low	0.0634306483761285	NC_021187.1	0	0	0	1.0	0	0	0	1.0	0	False	False
AC641	low	0.0531129088990503	NC_015915.1	0	0	0	1.0	0	0	0	1.0	0	False	False
AH080	low	0.0016414585531715	CP052980.1	0	0	0	1.0	0	0	0	1.0	0	False	False
